"JASID","LGC","Name","Site_no","SiteName","SiteType","Lat","Lon","P","J","Y","K","N","H","M","E","D","U"
11202500200,11202,"熊谷市",2,"新田裏遺跡","集落跡 古墳",36.13181308,139.3141092,NA,NA,NA,1,1,1,0,NA,NA,NA
11202500400,11202,"熊谷市",4,"大林遺跡","集落跡",36.12913751,139.32189,NA,NA,NA,1,1,1,0,NA,NA,NA
11202500700,11202,"熊谷市",7,"中屋敷遺跡","集落跡 城館跡",36.1296334,139.3283366,NA,NA,NA,1,1,1,1,1,NA,NA
11202500900,11202,"熊谷市",9,"権現坂遺跡","集落跡",36.12407922,139.3237933,NA,1,NA,NA,1,1,1,1,NA,NA
11202501300,11202,"熊谷市",13,"宮下遺跡","集落跡 古墳",36.12497188,139.3272929,NA,1,NA,1,1,1,0,NA,NA,NA
11202501400,11202,"熊谷市",14,"天神谷遺跡","集落跡",36.12006443,139.3193145,NA,1,NA,NA,1,1,0,NA,NA,NA
11202501700,11202,"熊谷市",17,"寺内（廃寺）","集落跡 寺院跡",36.11545194,139.3145255,NA,1,NA,NA,1,1,0,NA,NA,NA
11202501800,11202,"熊谷市",18,"西遺跡","集落跡",36.11636354,139.321069,NA,1,NA,NA,1,1,0,NA,NA,NA
11202502500,11202,"熊谷市",25,"静簡院遺跡","集落跡 古墳（円） 城館跡",36.11817119,139.3508274,NA,1,NA,NA,1,1,1,NA,NA,NA
11202502700,11202,"熊谷市",27,"成沢上原遺跡","集落跡",36.11680541,139.3543673,NA,1,NA,1,1,1,0,NA,NA,NA
11202502900,11202,"熊谷市",29,"中原遺跡","集落跡 古墳",36.11657822,139.3614993,NA,NA,NA,1,1,1,0,NA,NA,NA
11202503200,11202,"熊谷市",32,"鹿島遺跡","集落跡 城館跡",36.10749778,139.3613048,NA,1,1,NA,1,1,1,1,NA,NA
11202503300,11202,"熊谷市",33,"八軒遺跡","集落跡 寺院跡",36.10988816,139.3568138,NA,1,NA,NA,1,1,1,NA,NA,NA
11202503400,11202,"熊谷市",34,"下新田遺跡","集落跡",36.10688582,139.3680378,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202503500,11202,"熊谷市",35,"荒神脇遺跡","集落跡 古墳群",36.10373426,139.3672998,NA,NA,NA,1,1,1,0,NA,NA,NA
11202503600,11202,"熊谷市",36,"丸山浦遺跡","集落跡",36.1027121,139.3715169,NA,1,NA,1,1,1,1,NA,NA,NA
11202503700,11202,"熊谷市",37,"丸山遺跡","集落跡",36.10113625,139.3718859,NA,NA,NA,1,1,1,0,NA,NA,NA
11202503800,11202,"熊谷市",38,"熊野遺跡","集落跡 古墳群 墓",36.10139179,139.3664037,NA,NA,NA,1,1,1,1,NA,NA,NA
11202503900,11202,"熊谷市",39,"元境内遺跡","集落跡 古墳群 経塚 寺院跡 城館跡",36.10319473,139.361824,NA,1,NA,1,1,1,1,1,NA,NA
11202504000,11202,"熊谷市",40,"諏訪脇遺跡","集落跡 古墳群 寺院跡",36.10362063,139.3578179,NA,1,NA,1,1,1,1,1,NA,NA
11202504100,11202,"熊谷市",41,"野原宮脇遺跡","集落跡 古墳群 寺院跡",36.1046441,139.3546042,NA,1,NA,1,1,1,1,1,NA,NA
11202504400,11202,"熊谷市",44,"須賀広宮脇遺跡","集落跡",36.10556026,139.3409507,NA,NA,NA,1,1,1,0,NA,NA,NA
11202504500,11202,"熊谷市",45,"本田・東台遺跡","集落跡 御嶽塚",36.1057732,139.345484,NA,1,NA,1,1,1,1,1,NA,NA
11202504600,11202,"熊谷市",46,"小江川下原遺跡","集落跡",36.10749751,139.3325702,NA,1,NA,1,1,1,0,NA,NA,NA
11202504800,11202,"熊谷市",48,"田中遺跡","集落跡 古墳群",36.10632635,139.3283382,NA,NA,NA,1,1,1,0,NA,NA,NA
11202504900,11202,"熊谷市",49,"山ノ神遺跡","集落跡",36.10955034,139.3216802,NA,1,NA,NA,1,1,0,NA,NA,NA
11202505100,11202,"熊谷市",51,"板井中島遺跡","集落跡 城館跡 参道",36.11404317,139.3181356,NA,1,NA,NA,1,1,1,NA,NA,NA
11202505200,11202,"熊谷市",52,"天神（伊勢）遺跡","集落跡",36.11266078,139.3100686,1,1,NA,NA,1,1,1,NA,NA,NA
11202505300,11202,"熊谷市",53,"桜山遺跡","集落跡 古墳",36.11009344,139.3075018,1,1,NA,1,1,1,1,NA,NA,NA
11202505400,11202,"熊谷市",54,"立野遺跡","集落跡 古墳群",36.10801975,139.3078685,NA,1,NA,1,1,1,0,NA,NA,NA
11202505500,11202,"熊谷市",55,"岩比田遺跡","集落跡",36.10683476,139.3131854,NA,NA,NA,1,1,1,0,NA,NA,NA
11202505600,11202,"熊谷市",56,"氷川遺跡","集落跡 古墳群 寺院跡",36.10856287,139.3174022,NA,NA,NA,1,1,1,1,1,NA,NA
11202506000,11202,"熊谷市",60,"塩西遺跡","集落跡 古墳群 城館跡",36.10399585,139.3201129,1,1,NA,1,1,1,1,1,NA,NA
11202506400,11202,"熊谷市",64,"塩丸山遺跡","集落跡 古墳",36.10047805,139.3226848,1,1,NA,1,1,1,1,1,NA,NA
11202507100,11202,"熊谷市",71,"諏訪木遺跡","集落跡",36.09851079,139.3302825,NA,NA,NA,1,1,1,0,NA,NA,NA
11202508500,11202,"熊谷市",85,"千代西原遺跡","集落跡",36.12398003,139.3151364,1,1,NA,NA,1,1,1,NA,NA,NA
11207000900,11207,"秩父市",9,"小前田遺跡","集落跡",36.037685,139.055664,NA,NA,NA,1,1,1,0,NA,NA,NA
11207002300,11207,"秩父市",23,"","集落跡",36.02343495,139.0805447,NA,NA,NA,1,1,1,0,NA,NA,NA
11207004900,11207,"秩父市",49,"上宮地遺跡","集落跡",36.00291276,139.090038,NA,NA,NA,1,1,NA,0,NA,NA,NA
11207007400,11207,"秩父市",74,"","集落跡",35.9759845,139.0588914,NA,1,NA,NA,1,1,0,NA,NA,NA
11207024500,11207,"秩父市",245,"中道遺跡","集落跡",36.037685,139.055664,NA,NA,NA,NA,1,1,0,NA,NA,NA
11207024600,11207,"秩父市",246,"西原遺跡","集落跡",36.037685,139.055664,NA,1,NA,NA,1,1,0,NA,NA,NA
11207024700,11207,"秩父市",247,"聖原遺跡","集落跡",36.037685,139.055664,NA,NA,NA,NA,1,1,0,NA,NA,NA
11207024900,11207,"秩父市",249,"下蒔田遺跡","集落跡",36.060669,139.08783,NA,1,NA,1,1,1,0,NA,NA,NA
11207025200,11207,"秩父市",252,"","散布地",35.97324,139.076157,NA,NA,NA,NA,1,1,0,NA,NA,NA
11207026500,11207,"秩父市",265,"","集落跡",35.97324,139.076157,NA,1,NA,NA,1,1,0,NA,NA,NA
11207027600,11207,"秩父市",276,"峰沢遺跡","集落跡",36.029682,139.095734,NA,1,NA,1,1,NA,0,NA,NA,NA
11207027700,11207,"秩父市",277,"","散布地",36.029682,139.095734,NA,1,NA,1,1,NA,0,NA,NA,NA
11207028400,11207,"秩父市",284,"中村遺跡","集落跡",35.97324,139.076157,NA,1,NA,1,1,NA,0,NA,NA,NA
11207028700,11207,"秩父市",287,"柴宮裏遺跡","集落跡",36.037685,139.055664,NA,NA,NA,1,1,NA,0,NA,NA,NA
11207029400,11207,"秩父市",294,"上宮地遺跡Ⅱ","集落跡",36.037685,139.055664,NA,NA,NA,1,1,NA,0,NA,NA,NA
11207029700,11207,"秩父市",297,"熊木遺跡","集落跡",36.008816,139.080444,NA,NA,NA,NA,1,NA,0,NA,NA,NA
11207302300,11207,"秩父市",23,"根古屋遺跡","集落跡",36.060764,139.0439,NA,1,NA,NA,1,1,1,NA,NA,NA
11207302500,11207,"秩父市",25,"井上遺跡","集落跡",36.037281,139.025421,NA,1,1,1,1,1,0,NA,NA,NA
11207305100,11207,"秩父市",51,"西ッ原遺跡","集落跡",36.037281,139.025421,NA,1,NA,NA,1,1,1,NA,NA,NA
11207305900,11207,"秩父市",59,"塚越向山遺跡","集落跡",36.064865,138.965881,NA,1,NA,1,1,1,0,NA,NA,NA
11207306100,11207,"秩父市",61,"若宮遺跡","集落跡",36.060764,139.0439,NA,1,NA,NA,1,1,0,NA,NA,NA
11207307000,11207,"秩父市",70,"夏梅遺跡","集落跡",36.037281,139.025421,NA,1,NA,NA,1,1,0,NA,NA,NA
11207307100,11207,"秩父市",71,"吉田町役場周辺遺跡","集落跡",36.037281,139.025421,NA,1,NA,NA,1,1,0,NA,NA,NA
11207309000,11207,"秩父市",90,"原田遺跡","集落跡",36.037281,139.025421,NA,1,NA,NA,1,1,0,NA,NA,NA
11207500500,11207,"秩父市",5,"","集落跡",35.96341431,139.0470255,NA,1,NA,1,1,1,0,NA,NA,NA
11208000200,11208,"所沢市",2,"所沢市No.2遺跡","集落跡",35.78394157,139.4246455,NA,1,NA,1,1,1,0,NA,NA,NA
11208000300,11208,"所沢市",3,"所沢市No.3遺跡","集落跡",35.78244066,139.4117486,NA,1,NA,1,1,1,0,NA,NA,NA
11208001200,11208,"所沢市",12,"西上遺跡","集落跡",35.82707955,139.4759994,NA,1,NA,NA,1,1,0,NA,NA,NA
11208001400,11208,"所沢市",14,"東京道南遺跡","集落跡",35.79936425,139.4126775,NA,1,NA,NA,1,NA,0,NA,NA,NA
11208001600,11208,"所沢市",16,"山際遺跡","散布地",35.80912532,139.5030281,NA,1,NA,1,1,1,0,1,NA,NA
11208001900,11208,"所沢市",19,"所沢市No.19遺跡","集落跡",35.80578417,139.38953,NA,1,NA,NA,1,1,0,NA,NA,NA
11208002300,11208,"所沢市",23,"東の上遺跡","集落跡",35.79562186,139.406035,NA,1,1,1,1,1,0,NA,NA,NA
11208003500,11208,"所沢市",35,"山口城跡","城跡",35.78934659,139.4029038,NA,NA,NA,1,1,1,1,NA,NA,NA
11208003800,11208,"所沢市",38,"畦の前遺跡","集落跡",35.79499353,139.4133035,NA,1,NA,1,1,1,0,NA,NA,NA
11208003900,11208,"所沢市",39,"所沢市No.39遺跡","集落跡",35.79183743,139.420437,NA,1,NA,1,1,1,0,NA,NA,NA
11208004100,11208,"所沢市",41,"日向遺跡","集落跡",35.7870967,139.4147931,1,1,1,1,1,1,0,NA,NA,NA
11208004200,11208,"所沢市",42,"南打出遺跡","集落跡",35.78852712,139.4039888,NA,1,NA,1,1,1,0,NA,NA,NA
11208004300,11208,"所沢市",43,"砂川遺跡","旧石器 散布地",35.79544285,139.4285968,1,1,NA,1,1,1,0,NA,NA,NA
11208004700,11208,"所沢市",47,"上北向遺跡","集落跡",35.79921704,139.4196121,NA,1,NA,1,1,1,0,NA,NA,NA
11208004800,11208,"所沢市",48,"宮林遺跡","集落跡",35.7980466,139.417119,NA,1,NA,1,1,1,0,NA,NA,NA
11208004900,11208,"所沢市",49,"寺前遺跡","集落跡",35.79192016,139.4387101,NA,1,NA,1,1,1,0,NA,NA,NA
11208005800,11208,"所沢市",58,"中村前遺跡","集落跡",35.78260056,139.4413178,NA,1,NA,1,1,1,0,NA,NA,NA
11208008000,11208,"所沢市",80,"所沢市No.80遺跡","集落跡",35.79729967,139.4952701,NA,NA,NA,1,1,1,0,NA,NA,NA
11208008400,11208,"所沢市",84,"南山遺跡","集落跡",35.79991469,139.4912162,NA,1,NA,NA,1,1,0,NA,NA,NA
11208010100,11208,"所沢市",101,"所沢市No.101遺跡","集落跡",35.77985467,139.407041,1,1,NA,NA,1,1,0,NA,NA,NA
11208010500,11208,"所沢市",105,"所沢市No.105遺跡","集落跡",35.78846156,139.3863669,NA,1,NA,1,1,1,0,NA,NA,NA
11208010600,11208,"所沢市",106,"北久米遺跡","旧石器 集落跡",35.78509858,139.3963232,NA,1,NA,1,1,1,0,NA,NA,NA
