"JASID","LGC","Admin_no","Site_no","SiteName","SiteType","Note","P","J","Y","K","N","H","Ka","Na","Mu","Se","E","D","U","Lon","Lat"
11341028200,11341,39,282,"溝半田II遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3584149,36.04725982
11341028000,11341,39,280,"築地遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3561104,36.04812905
11341027900,11341,39,279,"古屋敷II遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3564058,36.04859715
11341027800,11341,39,278,"古屋敷I遺跡","集落跡","",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.3564745,36.0496242
11341035600,11341,39,356,"東平II遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3547288,36.05140985
11341024800,11341,39,248,"平遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3548104,36.05419481
11341035800,11341,39,358,"稲荷前II遺跡","集落跡","",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,139.3580948,36.0499198
11341035700,11341,39,357,"東平III遺跡","散布地","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",139.3568279,36.05114837
11341024900,11341,39,249,"平沼下遺跡","集落跡","",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,139.358445,36.05420791
11341025000,11341,39,250,"五厘沼窯跡群","窯跡","",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,139.3578733,36.05435345
11341025400,11341,39,254,"平谷窯跡","窯跡","",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,139.3563372,36.05492578
11341025600,11341,39,256,"平谷古墳群","古墳群","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3544625,36.05531816
11341028700,11341,39,287,"両家II遺跡","集落跡","",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.369835,36.04689236
11341034200,11341,39,342,"川田遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3698494,36.04997145
11341028800,11341,39,288,"両家南遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.372266,36.04644643
11341028900,11341,39,289,"両家I遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3723069,36.04741977
11341033700,11341,39,337,"糠ヶ谷戸III遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3729452,36.04994401
11341007400,11341,39,74,"西ノ谷遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3779114,36.04660232
11341007100,11341,39,71,"東ノ谷II遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.38024,36.04688539
11341007200,11341,39,72,"東ノ谷III遺跡","集落跡","",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.3788596,36.04764878
11341036700,11341,39,367,"蟹山遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3775254,36.04861339
11341007000,11341,39,70,"東ノ谷遺跡","集落跡","",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3805877,36.04806
11341033400,11341,39,334,"植松遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3745455,36.05304371
11341033300,11341,39,333,"山屋敷南遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3733495,36.05308894
11341006500,11341,39,65,"西打越遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3767367,36.05486023
11341006300,11341,39,63,"打越東遺跡","集落跡","",NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3780589,36.05739927
11341006400,11341,39,64,"打越遺跡","集落跡","",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3738653,36.05742324
11341033200,11341,39,332,"山屋敷遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3737537,36.05425713
11341006600,11341,39,66,"羽尾遺跡","城跡","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,139.3787467,36.05255866
11341006000,11341,39,60,"城原遺跡","集落跡","",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,139.3809719,36.05811741
11341006200,11341,39,62,"照ヶ谷遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3774358,36.06010998
11341006700,11341,39,67,"蟹山遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3771891,36.05062884
11341006900,11341,39,69,"東金光地遺跡","集落跡","",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.3833479,36.0508045
11341006800,11341,39,68,"金光地遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3808281,36.05094683
11341033500,11341,39,335,"糠ヶ谷戸I遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3735037,36.05181246
11341033600,11341,39,336,"糠ヶ谷戸II遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3727432,36.05079101
11341036100,11341,39,361,"東両家原遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3769417,36.04408866
11341007600,11341,39,76,"新宿遺跡","集落跡","",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3801814,36.0446651
11341029000,11341,39,290,"両家原I遺跡","その他","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3730622,36.04472713
11341036200,11341,39,362,"十三塚遺跡","散布地","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.382703,36.0455859
11341007500,11341,39,75,"東ノ谷南遺跡","集落跡","",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3803354,36.0455992
11341032700,11341,39,327,"西谷シノ遺跡","集落跡","",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,139.369835,36.05748846
11341032900,11341,39,329,"東谷ツ遺跡","集落跡","",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,139.3708046,36.0567337
11341033000,11341,39,330,"東谷ツI遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3717942,36.05676693
11341033100,11341,39,331,"東谷ツII遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3726242,36.05592879
11341032800,11341,39,328,"内田遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3713505,36.0575323
11341031200,11341,39,312,"新道南遺跡","集落跡","",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3663199,36.04127677
11341031300,11341,39,313,"都遺跡","その他","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3679143,36.0407973
11341029100,11341,39,291,"東部敷地内遺跡","集落跡 その他","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3680497,36.04525457
11341028600,11341,39,286,"又五良遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3683521,36.04719592
11341004800,11341,39,48,"三本木遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.375389,36.0788629
11341004600,11341,39,46,"中里前I遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3756235,36.08164876
