"JASID","LGC","Name","Site_no","SiteName","SiteType","Lat","Lon","P","J","Y","K","N","H","M","E","D","U"
11202500200,11202,"熊谷市",2,"新田裏遺跡","集落跡 古墳",36.13181308,139.3141092,NA,NA,NA,1,1,1,0,NA,NA,NA
11202500300,11202,"熊谷市",3,"富士山遺跡","集落跡 古墳",36.12655881,139.3175922,NA,1,NA,1,NA,NA,0,NA,NA,NA
11202500400,11202,"熊谷市",4,"大林遺跡","集落跡",36.12913751,139.32189,NA,NA,NA,1,1,1,0,NA,NA,NA
11202500700,11202,"熊谷市",7,"中屋敷遺跡","集落跡 城館跡",36.1296334,139.3283366,NA,NA,NA,1,1,1,1,1,NA,NA
11202500800,11202,"熊谷市",8,"権現坂埴輪窯跡群","集落跡 古墳",36.12521984,139.3220128,NA,1,NA,1,NA,NA,0,NA,NA,NA
11202501300,11202,"熊谷市",13,"宮下遺跡","集落跡 古墳",36.12497188,139.3272929,NA,1,NA,1,1,1,0,NA,NA,NA
11202502200,11202,"熊谷市",22,"上前原遺跡","集落跡 古墳（円）",36.12254183,139.3386513,NA,1,NA,1,NA,NA,0,NA,NA,NA
11202502300,11202,"熊谷市",23,"行人塚（古墳群）","集落跡 古墳（方）",36.12038422,139.3435847,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11202502700,11202,"熊谷市",27,"成沢上原遺跡","集落跡",36.11680541,139.3543673,NA,1,NA,1,1,1,0,NA,NA,NA
11202502800,11202,"熊谷市",28,"向原遺跡","集落跡",36.11341859,139.3580655,1,1,NA,1,NA,NA,0,NA,NA,NA
11202502900,11202,"熊谷市",29,"中原遺跡","集落跡 古墳",36.11657822,139.3614993,NA,NA,NA,1,1,1,0,NA,NA,NA
11202503000,11202,"熊谷市",30,"天神山遺跡","集落跡 古墳群",36.11726112,139.3653563,NA,1,NA,1,NA,NA,0,NA,NA,NA
11202503500,11202,"熊谷市",35,"荒神脇遺跡","集落跡 古墳群",36.10373426,139.3672998,NA,NA,NA,1,1,1,0,NA,NA,NA
11202503600,11202,"熊谷市",36,"丸山浦遺跡","集落跡",36.1027121,139.3715169,NA,1,NA,1,1,1,1,NA,NA,NA
11202503700,11202,"熊谷市",37,"丸山遺跡","集落跡",36.10113625,139.3718859,NA,NA,NA,1,1,1,0,NA,NA,NA
11202503800,11202,"熊谷市",38,"熊野遺跡","集落跡 古墳群 墓",36.10139179,139.3664037,NA,NA,NA,1,1,1,1,NA,NA,NA
11202503900,11202,"熊谷市",39,"元境内遺跡","集落跡 古墳群 経塚 寺院跡 城館跡",36.10319473,139.361824,NA,1,NA,1,1,1,1,1,NA,NA
11202504000,11202,"熊谷市",40,"諏訪脇遺跡","集落跡 古墳群 寺院跡",36.10362063,139.3578179,NA,1,NA,1,1,1,1,1,NA,NA
11202504100,11202,"熊谷市",41,"野原宮脇遺跡","集落跡 古墳群 寺院跡",36.1046441,139.3546042,NA,1,NA,1,1,1,1,1,NA,NA
11202504200,11202,"熊谷市",42,"野原古墳群","集落跡 古墳群 寺院跡 戦争遺跡掩体壕",36.10749778,139.3613048,NA,1,NA,1,NA,NA,1,NA,NA,NA
11202504300,11202,"熊谷市",43,"田村陣屋跡","集落跡 城館跡",36.10668269,139.3379603,NA,NA,NA,1,NA,NA,1,1,NA,NA
11202504400,11202,"熊谷市",44,"須賀広宮脇遺跡","集落跡",36.10556026,139.3409507,NA,NA,NA,1,1,1,0,NA,NA,NA
11202504500,11202,"熊谷市",45,"本田・東台遺跡","集落跡 御嶽塚",36.1057732,139.345484,NA,1,NA,1,1,1,1,1,NA,NA
11202504600,11202,"熊谷市",46,"小江川下原遺跡","集落跡",36.10749751,139.3325702,NA,1,NA,1,1,1,0,NA,NA,NA
11202504700,11202,"熊谷市",47,"小江川上原遺跡","集落跡 古墳群",36.10575141,139.3317795,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11202504800,11202,"熊谷市",48,"田中遺跡","集落跡 古墳群",36.10632635,139.3283382,NA,NA,NA,1,1,1,0,NA,NA,NA
11202505000,11202,"熊谷市",50,"原谷遺跡","集落跡 古代官道",36.11488246,139.3315195,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11202505300,11202,"熊谷市",53,"桜山遺跡","集落跡 古墳",36.11009344,139.3075018,1,1,NA,1,1,1,1,NA,NA,NA
11202505400,11202,"熊谷市",54,"立野遺跡","集落跡 古墳群",36.10801975,139.3078685,NA,1,NA,1,1,1,0,NA,NA,NA
11202505500,11202,"熊谷市",55,"岩比田遺跡","集落跡",36.10683476,139.3131854,NA,NA,NA,1,1,1,0,NA,NA,NA
11202505600,11202,"熊谷市",56,"氷川遺跡","集落跡 古墳群 寺院跡",36.10856287,139.3174022,NA,NA,NA,1,1,1,1,1,NA,NA
11202505700,11202,"熊谷市",57,"向比遺跡","集落跡 古墳",36.1047365,139.3140627,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11202505900,11202,"熊谷市",59,"荒井遺跡","古墳",36.10335395,139.3154072,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11202506000,11202,"熊谷市",60,"塩西遺跡","集落跡 古墳群 城館跡",36.10399585,139.3201129,1,1,NA,1,1,1,1,1,NA,NA
11202506100,11202,"熊谷市",61,"塩古墳群","集落跡 古墳（方） 前方後方墳",36.10058879,139.3161406,NA,1,NA,1,NA,NA,0,NA,NA,NA
11202506200,11202,"熊谷市",62,"塩新田遺跡","集落跡 古墳",36.09821857,139.3155294,NA,1,NA,1,NA,NA,0,NA,NA,NA
11202506400,11202,"熊谷市",64,"塩丸山遺跡","集落跡 古墳",36.10047805,139.3226848,1,1,NA,1,1,1,1,1,NA,NA
11202506500,11202,"熊谷市",65,"栗崎遺跡","集落跡 古墳 寺院跡",36.0934766,139.3212054,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11202506600,11202,"熊谷市",66,"神田遺跡","集落跡",36.09599549,139.3235302,NA,1,NA,1,NA,NA,0,NA,NA,NA
11202506700,11202,"熊谷市",67,"船川遺跡","集落跡",36.10359435,139.3271229,NA,1,NA,1,NA,NA,0,NA,NA,NA
11202506800,11202,"熊谷市",68,"新山遺跡","集落跡 古墳群 塚",36.1011184,139.3271229,NA,1,NA,1,NA,NA,1,1,NA,NA
11202506900,11202,"熊谷市",69,"内神遺跡","集落跡",36.10312478,139.3307157,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11202507000,11202,"熊谷市",70,"西古墳群","集落跡 古墳群",36.1018868,139.3307157,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11202507100,11202,"熊谷市",71,"諏訪木遺跡","集落跡",36.09851079,139.3302825,NA,NA,NA,1,1,1,0,NA,NA,NA
11202507200,11202,"熊谷市",72,"漆畑遺跡","集落跡 古墳",36.10141172,139.3402834,NA,1,NA,1,NA,NA,0,NA,NA,NA
11202507300,11202,"熊谷市",73,"石橋山遺跡","集落跡 古墳群",36.1002591,139.3435063,NA,1,NA,1,NA,NA,0,NA,NA,NA
11202507400,11202,"熊谷市",74,"高根横穴墓群","古墳群",36.09603268,139.3403891,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11202507800,11202,"熊谷市",78,"唐人山遺跡","集落跡 古墳",36.08954318,139.3383813,NA,1,NA,1,NA,NA,0,NA,NA,NA
11202508100,11202,"熊谷市",81,"釜場遺跡","集落跡 寺院跡",36.09851079,139.333664,NA,NA,NA,1,NA,NA,1,1,NA,NA
11202508400,11202,"熊谷市",84,"北方遺跡","墓",36.12288898,139.3200481,NA,1,NA,1,NA,NA,0,NA,NA,NA
11207000100,11207,"秩父市",1,"","集落跡",36.060669,139.08783,NA,1,NA,1,NA,NA,0,NA,NA,NA
11207000300,11207,"秩父市",3,"","集落跡",36.060669,139.08783,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207000500,11207,"秩父市",5,"氷雨塚","古墳",36.060669,139.08783,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207000600,11207,"秩父市",6,"","集落跡",36.037685,139.055664,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207000900,11207,"秩父市",9,"小前田遺跡","集落跡",36.037685,139.055664,NA,NA,NA,1,1,1,0,NA,NA,NA
11207001000,11207,"秩父市",10,"","集落跡",36.04932354,139.1031066,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207001100,11207,"秩父市",11,"","古墳",36.037685,139.055664,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207001300,11207,"秩父市",13,"","古墳群",36.02688307,139.0842288,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207001400,11207,"秩父市",14,"","集落跡 古墳",36.03588468,139.0884289,NA,1,NA,1,NA,NA,0,NA,NA,NA
11207001701,11207,"秩父市",NA,"大野原古墳群","古墳群",36.04148054,139.100632,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207001702,11207,"秩父市",NA,"大野原古墳群","古墳群",36.04039786,139.100323,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207001703,11207,"秩父市",NA,"大野原古墳群３号墳","古墳群",36.03656673,139.1036876,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207001704,11207,"秩父市",NA,"大野原古墳群４号墳","古墳群",36.03598642,139.1029964,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207001705,11207,"秩父市",NA,"大野原古墳群５号墳","古墳群",36.03498971,139.1032022,NA,NA,NA,1,NA,NA,0,NA,NA,NA
