JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Unnamed: 12,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13115014000,13115,140,,杉並区No.140遺跡,杉並区 井草五丁目,[縄文時代][奈良時代][平安時代],包蔵地,,縄文土器　土師器,139.6070632,35.72651585,,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13115014100,13115,141,,杉並区No.141遺跡,杉並区 井草五丁目　 上井草二丁目,[奈良時代][平安時代],包蔵地,,土師器,139.6058959,35.72478781,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13115014200,13115,142,,杉並区No.142遺跡,杉並区 上井草二丁目,[縄文時代（早期・中期）],包蔵地,,縄文土器,139.6082283,35.7242618,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115014300,13115,143,,杉並区No.143遺跡,杉並区 井草四丁目,[縄文時代（中期）][奈良時代][平安時代][近世],包蔵地,,縄文土器　土師器　陶器,139.6106337,35.72843895,,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
13115014400,13115,144,かきのきやまいせき,柿ノ木山遺跡,杉並区 井草四丁目,[縄文時代（草創期〜後期）],包蔵地,[縄文時代]土坑,縄文土器　打斧　有舌尖頭器　石鏃　掻器　剥片,139.6098441,35.72698966,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115014500,13115,145,,杉並区No.145遺跡,杉並区 上井草一丁目,[縄文時代（早期・中期）],包蔵地,,縄文土器,139.6116294,35.72308759,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115014600,13115,146,,杉並区No.146遺跡,杉並区 上井草一丁目,[古墳時代],包蔵地,,土師器,139.6119384,35.72060689,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115014700,13115,147,,杉並区No.147遺跡,杉並区 下井草五丁目,[古墳時代],包蔵地,,土師器,139.6147537,35.72004576,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115014800,13115,148,,杉並区No.148遺跡,杉並区 下井草五丁目　 清水三丁目,[縄文時代（早期）],包蔵地,,縄文土器,139.61623,35.71929316,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115014900,13115,149,,杉並区No.149遺跡,杉並区 井草二丁目　 井草三丁目,[縄文時代（前期）][近世],包蔵地,,縄文土器　陶器　銭貨,139.6164703,35.72614985,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13115015000,13115,150,,杉並区No.150遺跡,杉並区 井草二丁目,[縄文時代],包蔵地,,縄文土器,139.6208215,35.72986307,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115015100,13115,151,,杉並区No.151遺跡,杉並区 井草一丁目,[縄文時代][古墳時代],包蔵地,,縄文土器　土師器,139.6232935,35.72874825,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115015200,13115,152,,杉並区No.152遺跡,杉並区 井草一丁目,[奈良時代][平安時代],包蔵地,,土師器,139.6226755,35.72707599,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13115015300,13115,153,,杉並区No.153遺跡,杉並区 井草一丁目,[近世],包蔵地,,銭貨,139.6247698,35.72498563,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13115015400,13115,154,,杉並区No.154遺跡,杉並区 天沼二丁目　 天沼三丁目,[縄文時代],包蔵地,,縄文土器,139.6228535,35.70812475,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
