JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13206003712,13206,37,みたけづかこふんぐん12ごうふん,御嶽塚古墳群12号墳,府中市 西府町一丁目,[古墳],古墳,[古墳]石室,[古墳]土師器甕、刀子、鉄鏃,139.454576,35.671558,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13206003713,13206,37,みたけづかこふんぐん13ごうふん,御嶽塚古墳群13号墳,府中市 西府町一丁目,[古墳],古墳,[古墳]周溝、石室,,139.455211,35.671698,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13206003714,13206,37,みたけづかこふんぐん14ごうふん,御嶽塚古墳群14号墳,府中市 西府町一丁目,[古墳],古墳,[古墳]周溝,,139.455997,35.671583,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13206003715,13206,37,みたけづかこふんぐん15ごうふん,御嶽塚古墳群15号墳,府中市 本宿町一丁目,[古墳],古墳,[古墳]周溝,,139.457928,35.670641,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13206003716,13206,37,みたけづかこふんぐん16ごうふん,御嶽塚古墳群16号墳,府中市 本宿町一丁目,[古墳],古墳,[古墳]周溝,[古墳]埴輪、土師器,139.457413,35.67106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13206003717,13206,37,みたけづかこふんぐん17ごうふん,御嶽塚古墳群17号墳,府中市 本宿町一丁目,[古墳],古墳,[古墳]周溝,,139.457585,35.670485,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13206003718,13206,37,みたけづかこふんぐん18ごうふん,御嶽塚古墳群18号墳,府中市 西府町一丁目,[古墳],古墳,[古墳]周溝,,139.453254,35.672566,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13206003719,13206,37,みたけづかこふんぐん19ごうふん,御嶽塚古墳群19号墳,府中市 西府町一丁目,[古墳],古墳,[古墳]周溝,[古墳]土師器,139.453486,35.672664,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13206003720,13206,37,みたけづかこふんぐん20ごうふん,御嶽塚古墳群20号墳,府中市 西府町一丁目,[古墳],古墳,[古墳]周溝,,139.45664,35.670328,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13206003721,13206,37,みたけづかこふんぐん21ごうふん,御嶽塚古墳群21号墳,府中市 西府町一丁目,[古墳],古墳,[古墳]周溝,[古墳]土師器,139.452825,35.672601,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13206003800,13206,38,,府中第八小学校遺跡,府中市 是政一丁目,[中世],集落・その他（水田）,[中世]掘立柱建物跡　水田跡等,陶磁器　土師器　カワラケ等,139.4954382,35.66213784,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
