JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13110004700,13110,47,おおはしいせき,大橋遺跡,目黒区 大橋二丁目,[旧石器時代][縄文時代（草創期〜晩期）][弥生時代（後期）][古墳時代][平安時代][中世][近世][近代],集落　その他（軍施設）,[旧石器時代]石器集中　礫集中部　[縄文時代]住居　集石　炉穴　土坑　小穴　埋甕　土器敷き遺構　[弥生時代][古墳時代]住居　[平安時代]火葬墓　[中世]土坑　[近世]溝　小穴　[近代]煉瓦構造物,ナイフ形石器　角錐状石器　剥片　礫器　縄文土器　打斧　磨斧　耳栓　有舌尖頭器　石鏃　掻器　石匙　石皿　石棒　磨石　敲石　土製円盤　けつ状耳飾　土偶　弥生土器　陶磁器　銭貨　彫刻刀形石器　管状土錘　土師器　中世土器　瓦　（近世）陶磁器　金属製品　銭貨　(近代)陶磁器　金属製品　ガラス製品　煉瓦,139.684373,35.65446715,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0
13110004800,13110,48,こまばごようやしきあといせき,駒場御用屋敷跡遺跡,目黒区 大橋二丁目,[近世],屋敷,[近世]空堀　柵跡　溝,近世陶磁器,139.685094,35.65307231,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13110004900,13110,49,えんゆうじいせき,円融寺遺跡,目黒区 碑文谷一丁目,[縄文時代（早期〜前期）][中世][近世],包蔵地・社寺,掘立柱建物　井戸　土坑　溝状遺構　集石遺構　墓域関連遺構　小穴,縄文土器　石皿　磨石　打製石斧　剥片　陶磁器　土器　板碑　砥石　石臼　銅製仏飯具　煙管　錠前　銭貨,139.6898324,35.62014271,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13110005000,13110,50,ちゃやざかいせき,茶屋坂遺跡,目黒区 中目黒二丁目,[旧石器時代][近世][近代],包蔵地・その他（用水　軍施設）,[旧石器時代]礫群　[近世]用水遺構　[近代]用水遺構　煉瓦構造物,ナイフ形石器　陶磁器　鉄釘　煙管　泥面子　銭貨　[近代]磁器　煉瓦,139.705872,35.640827,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
13110005100,13110,51,えびすいせき,恵比寿遺跡,目黒区 三田一丁目,[旧石器時代][縄文時代（前期〜後期）][弥生時代（後期）][近世],集落,[弥生時代]住居　[近世]溝状遺構,ナイフ形石器　角錐状石器　剥片　縄文土器　弥生土器　陶磁器,139.713776,35.640392,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13110005200,13110,52,じゃくずれいせき,蛇崩遺跡,目黒区 上目黒五丁目,[縄文時代（中期）],集落,[縄文時代]住居　土坑,縄文土器　打斧,139.6855066,35.64154572,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110005300,13110,53,かわらけづかいせき,土器塚遺跡,目黒区 大橋二丁目　駒場一丁目　駒場二丁目,[旧石器時代][縄文時代（中期）][弥生時代（後期）][近世][近代],集落　その他（軍施設）,[縄文時代]土坑　落とし穴　小穴　焼土　[弥生時代]住居　掘立柱建物跡　環濠　道路状遺構　[近世]土壙　溝状遺構　小穴　区画溝　土坑・柱穴列　[近代]煉瓦構造物　地下式遺構,[旧石器時代]石刃　ナイフ形石器　剥片 [縄文時代]縄文土器　打製石斧　土器片錘　石鏃　スタンプ形石器　石錘 [弥生時代]弥生土器　土製品　砥石　土製品　石鏃　双角有孔土製品　土製勾玉　土玉　ガラス小玉　炭化種子 [近世]陶磁器　火打ち石 [近代]陶磁器　ガラス製品　金属製品　銭貨,139.6816957,35.65566243,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
13110005400,13110,54,はちやまちょう・さるがくちょう17ばんいせき,鉢山町・猿楽町17番遺跡,目黒区 青葉台一丁目,[旧石器時代][縄文時代（早期〜中期・晩期）][弥生時代（後期）][近世],集落,[旧石器時代]石器集中部　 [縄文時代]住居　土坑　小穴　集石　 [弥生時代]住居　環濠　小穴　 [近世]溝,掻器　ナイフ形石器　角錐状石器　尖頭器　抉入石器　剥片　縄文土器　石鏃　打製石斧　スタンプ形石器　磨石　石皿　弥生土器　土師器　陶磁器　煙管　銭貨,139.6977975,35.64944134,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13110005600,13110,56,すげかりいせき,菅刈遺跡,目黒区 青葉台二丁目,[縄文時代（前期〜中期）][中世][近世][近代],包蔵地・屋敷跡・その他（庭園）,[縄文時代]ピット　[中世]土坑　[近世]溝状遺構　池　ピット　[近代]池跡　滝跡　屋敷跡,縄文土器　打斧　陶磁器　せっ器　[近代]木製品,139.6939523,35.65030619,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
13110005700,13110,57,こまばきたいせき,駒場北遺跡,目黒区 駒場四丁目,[縄文時代（中期）],包蔵地,,縄文土器　打製石斧,139.6802875,35.66160835,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110005800,13110,58,しもめぐろいせき,下目黒遺跡,目黒区 下目黒五丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.7063806,35.62608701,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110005900,13110,59,ほりのうちいせき,堀ノ内遺跡,目黒区 目黒本町二丁目　碑文谷二丁目,[中世][近世],包蔵地,[近世]土坑　溝状遺構,土器　陶器　磁器,139.6893861,35.62388237,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13110006000,13110,60,ほんごういせき,本郷遺跡,目黒区 碑文谷二丁目　碑文谷四丁目,[縄文時代],包蔵地,,打製石斧　石鏃,139.6854036,35.62086833,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110006100,13110,61,しもめぐろきたいせき,下目黒北遺跡,目黒区 下目黒五丁目,[縄文時代]　[中世]　[近世],包蔵地,[縄文時代]小穴　[近世]溝,陶器　磁器　土器,139.7016427,35.62991011,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13110006200,13110,62,しもめぐろひがしいせき,下目黒東遺跡,目黒区 下目黒四丁目,縄文,集落,［縄文］竪穴建物跡　竪穴建物状遺構,［縄文］土器　石器,139.7054191,35.62865815,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110006300,13110,63,めぐろふどうきたいせき,目黒不動北遺跡,目黒区 下目黒四丁目,[縄文],包蔵地,,［縄文］土器、石器,139.7069602,35.63036419,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
