JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Unnamed: 12,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13114003600,13114,36,,中野区No.36遺跡,中野区 江原町二丁目,[縄文時代（後期）][古墳時代],包蔵地,,縄文土器　石鏃　石片　石斧　石皿　土師器,139.6708783,35.73038265,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114003700,13114,37,,中野区No.37遺跡,中野区 江原町二丁目,[縄文時代],包蔵地,,石斧　石鏃　石槌　石棒,139.6683034,35.7310794,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114003800,13114,38,えごたべんてんいせき,江古田弁天遺跡,中野区 江原町二丁目,[縄文時代（中期）],集落,[縄文時代]住居跡,縄文土器　打製石斧　磨製石斧　石鏃　石匙　石槌　凹石　石棒,139.668784,35.73211058,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114003900,13114,39,ほりのていかほういせき,堀野邸下方遺跡,中野区 江原町二丁目,[縄文時代],包蔵地,,縄文土器　石片,139.6700887,35.73160893,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114004000,13114,40,,中野区No.38遺跡,中野区 江原町二丁目,[縄文時代（中期）],包蔵地,,縄文土器　石斧　石槍　石鏃　石匙,139.6713246,35.73174827,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114004100,13114,41,てんじんやまいせき,天神山遺跡,中野区 江原町二丁目,[縄文時代（中期）],集落,[縄文時代]竪穴住居跡,縄文土器　磨製石斧　石槍　石鏃　石匙　石片,139.669814,35.73238927,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114004200,13114,42,かたやまにしいせき,片山西遺跡,中野区 松が丘一丁目,[古墳時代][奈良時代],包蔵地,,,139.67115,35.7183753,,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13114004300,13114,43,てつがくどうこうえんないいせき,哲学堂公園内遺跡,中野区 松が丘一丁目,[縄文時代（中期）][近世],包蔵地,[近世]溝状遺構　道路状遺構,縄文土器　須恵器　陶磁器　土製品　石製品　銅製品　ガラス製品,139.6742399,35.72255633,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13114004400,13114,44,かたやまいせき,片山遺跡,中野区 松が丘二丁目,[縄文時代（早期・後期）][弥生時代][中世][近世],集落,[弥生時代][古墳時代]竪穴住居跡　土坑　溝状遺構,縄文土器　打製石斧　磨製石斧　礫器　石鏃　砥石　弥生土器,139.6697081,35.72252846,,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13114004500,13114,45,,中野区No.45遺跡,中野区 松が丘二丁目,[縄文時代（早期・後期）],包蔵地,,縄文土器,139.6702231,35.72342038,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114004600,13114,46,,中野区No.46遺跡,中野区 沼袋一丁目,[縄文時代（中期〜後期）],包蔵地,,縄文土器,139.6688841,35.71887704,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114004700,13114,47,ぬまぶくろちょうひかわじんじゃふきんいせき,沼袋町氷川神社付近遺跡,中野区 沼袋一丁目,[縄文時代（中期〜後期）][弥生時代][古墳時代][奈良時代],集落,[時代不明]竪穴住居跡,縄文土器　石器　弥生土器　土師器　須恵器　蔵骨器　鉄滓,139.6667898,35.71985262,,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13114004800,13114,48,ていげんじふきんいせき,貞源寺付近遺跡,中野区 沼袋二丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6672362,35.72336464,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114004900,13114,49,ぜんじょういんいせき,禅定院遺跡,中野区 沼袋二丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6652792,35.72107906,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114005000,13114,50,,中野区No.50遺跡,中野区 沼袋三丁目,[縄文時代（早期）],包蔵地,,縄文土器,139.6580866,35.71681433,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114005100,13114,51,じっそういんけいだいふきんいせき,実相院境内付近遺跡,中野区 沼袋四丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6622237,35.72110693,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114005200,13114,52,（かしょう）のがたしょうがっこういせき,野方小学校遺跡,中野区 新井三丁目,[縄文時代（早期）],包蔵地,,縄文土器　石鏃,139.6595972,35.71530908,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114005300,13114,53,へいわのもりこうえんきたいせき,平和の森公園北遺跡,中野区 新井三丁目　 新井四丁目,[旧石器時代][縄文時代（早期〜後期）][弥生時代][古墳時代][近世],集落,[縄文時代]竪穴住居跡　土坑　小形円形竪穴　[弥生時代]竪穴住居跡　土坑　[古墳時代]竪穴住居跡　溝　[近世]空堀　方形竪穴,縄文土器　弥生土器　炭化物　土師器　滑石製紡錘車　陶磁器　高田徳利　キセル　燈明皿　擂り鉢　寛永通宝　ミニチュア製品,139.6622065,35.71639621,,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13114005400,13114,54,あらいきたのじんじゃいせき,新井北野神社遺跡,中野区 新井四丁目,[奈良時代][平安時代],包蔵地,,土師器,139.6665324,35.71508607,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13114005500,13114,55,あらいしょうがっこういせき,新井小学校遺跡,中野区 新井四丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6684206,35.71720458,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114005600,13114,56,,中野区No.56遺跡,中野区 上高田四丁目,[縄文時代（早期）],包蔵地,,縄文土器,139.6810182,35.71287992,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114005700,13114,57,えんどうやまいせき,遠藤山遺跡,中野区 上高田五丁目,[縄文時代],集落,,縄文土器,139.6756819,35.71887704,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114005800,13114,58,こうとくいんいせき,光徳院遺跡,中野区 上高田五丁目,[縄文時代（早期〜前期）],包蔵地,,縄文土器,139.6764372,35.71815231,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114005900,13114,59,しろやまいせき,城山遺跡,中野区 中野一丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6759027,35.70462815,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114006000,13114,60,,中野区No.60遺跡,中野区 中野二丁目,[古墳時代],包蔵地,,土師器,139.6713708,35.70412632,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
