JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Unnamed: 12,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13208002300,13208,23,じんだいじしろやまいせき,深大寺城山遺跡,調布市 深大寺元町二丁目,[縄文時代（早期〜中期）][弥生時代][古墳時代][奈良時代][平安時代][中世],包蔵地・集落・城館,[縄文時代]炉穴　陥し穴　[弥生時代]〜[平安時代]住居　[中世]掘立柱建物　地下式坑　堀　土塁,縄文土器　石器　弥生土器　土師器　須恵器　鉄製品　カワラケ　銭貨　陶磁器　舶載陶磁器　鉄製品　銭貨,139.5504021,35.66519745,,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
13208002400,13208,24,おとうざかおうけつぼぐん,御塔坂横穴墓群,調布市 深大寺元町三丁目,[古墳時代][奈良時代],横穴墓群,6基,刀子　人骨　木片,139.546148,35.6658855,,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13208002500,13208,25,うえのはらいせき,上野原遺跡,調布市 深大寺南町一丁目　 深大寺南町二丁目　 深大寺南町三丁目　 深大寺南町四丁目　　 深大寺南町五丁目　 佐須町五丁目　 柴崎二丁目,[旧石器時代][縄文時代（早期・後期）][古墳時代][奈良時代][平安時代][近世],集落,[旧石器時代]礫群　[縄文時代]住居　集石　集石土坑　炉穴　陥し穴　土坑　[古墳時代]土壙墓　[平安時代]住居溝　[中世]土坑　地下室　濠　[中世][近世]溝　堀　[時代不明]掘立柱建物,ナイフ形石器　縄文土器　打斧　土師器　須恵器　陶器（灰釉）　鉄製品　木製品　陶磁器　ガラス,139.5588752,35.66405133,,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
13208002600,13208,26,かねこもとやま,金子本山遺跡,調布市 西つつじケ丘一丁目,[縄文時代][古墳時代][奈良時代][中世],包蔵地,[中世]地下式土壙,縄文土器　土師器　鉄片　漆喰,139.5692242,35.66035436,,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
13208002700,13208,27,のがわいせき,野川遺跡,調布市 野水一丁目　野水二丁目,[旧石器時代][縄文時代（早期〜後期）][弥生時代],包蔵地,[旧石器時代]礫群　配石　[縄文時代]住居　三鷹2に接続,ナイフ形石器　尖頭器　細石器　礫器　縄文土器　石器　弥生土器,139.5248308,35.68457177,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13208002800,13208,28,みやたまえいせき,宮田前遺跡,調布市 深大寺元町二丁目　佐須一丁目,[縄文時代][古墳時代][奈良時代][平安時代][中世],集落,[奈良時代]竪穴住居　溝状遺構　小穴　[古墳時代]竪穴住居　溝状遺構　[古代]竪穴住居　小穴,縄文土器　土師器　蔵骨器　陶磁器　カワラケ　板碑　石製品（砥石）　須恵器　種子,139.5514406,35.66175237,,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
13208002901,13208,29,ませぐちいせき,ませぐち遺跡,調布市 佐須町二丁目,[縄文時代（草創期〜早期・中期〜後期）][奈良時代][中世],集落・城館・その他,[縄文時代]炉穴 [奈良時代][平安時代]住居 掘立柱建物 [近世]溝,縄文土器 石槍 土製品 土師器 須恵器 鉄製品 陶磁器 瓦,139.553741,35.66039332,,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
13208002902,13208,29,ませぐちこせんしゅつどち,ませぐち古銭出土地,調布市 佐須町二丁目,[中世],その他,埋納銭出土地,"銭貨4,395枚",139.5522325,35.65998484,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13208003000,13208,30,ぎおんじみなみいせき,祇園寺南遺跡,調布市 佐須町四丁目,[縄文時代（中期）][奈良時代][平安時代][中世],包蔵地,,縄文土器 土師器 須恵器 陶磁器,139.556169,35.65751362,,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
13208003100,13208,31,はらやまいせき,原山遺跡,調布市 佐須町四丁目 佐須町五丁目 柴崎一丁目,[縄文時代（中期）][奈良時代][平安時代][中世][近世],包蔵地・集落,[縄文時代]住居 集石 集石土坑 土坑 埋甕 [平安時代]住居 溝,縄文土器 打斧 磨斧 石鏃 石錘 石皿 土錘 耳飾 土偶 垂飾 土製品 土師器 須恵器 カワラケ 陶磁器,139.5596349,35.65741136,,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
13208003200,13208,32,しみずいせき,清水遺跡,調布市 菊野台三丁目,[奈良時代],包蔵地,,土師器,139.5699756,35.65401984,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13208003300,13208,33,ほんむらいせき,本村遺跡,調布市 菊野台三丁目,[奈良時代][平安時代],包蔵地,,土師器,139.5705303,35.6512732,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13208003400,13208,34,かねこれんぞうじいせき,金子蓮蔵寺遺跡,調布市 西つつじケ丘四丁目 菊野台三丁目,[縄文時代][奈良時代][平安時代],包蔵地,,縄文土器 土師器,139.5734335,35.6527501,,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13208003500,13208,35,なかごうちいせき,中耕地遺跡,調布市 調布ヶ丘二丁目 調布ヶ丘三丁目,[縄文時代（中期）][奈良時代][平安時代][近世],集落,[縄文時代]集石 土坑 [奈良時代][平安時代]住居 掘立柱建物 柵列 [近世]井戸 野鍛冶 溝,縄文土器 石器 土師器 須恵器 墨書土器 陶器（灰釉） 陶磁器 鉄製品 焼印 木製品,139.5492385,35.65605693,,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
13208003600,13208,36,きたうらいせき,北浦遺跡,調布市 八雲台一丁目 八雲台二丁目,[旧石器時代][縄文時代（草創期〜中期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落,[旧石器時代]遺物集中箇所 炭化物集中箇所 [縄文時代]集石 土坑 埋甕 [奈良時代][平安時代]住居 [近世]ピット 土坑 溝,尖頭器 礫器 剥片 縄文土器 有舌尖頭器 土師器 須恵器 陶磁器,139.5582019,35.653348,,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
13208003700,13208,37,ちょうふおかいせき,調布岡遺跡,調布市 国領町八丁目,[縄文時代（前期〜中期）][古墳時代],集落,[縄文時代]集石 土坑 [古墳時代]住居 [時代不明]溝,縄文土器 打斧 焼礫 土師器,139.5663076,35.64808642,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13208003800,13208,38,とびたきゅういせき,飛田給遺跡,調布市 飛田給一丁目 飛田給二丁目,[旧石器時代][縄文時代（前期〜晩期）][古墳時代][奈良時代][平安時代][近世],集落,[縄文時代]住居 敷石住居 集石 陥し穴 土坑 土器 棺墓 配石墓 埋甕 [古墳時代][奈良時代][平安時代]住居 掘立柱建物 土坑 溝 祭祀遺構 [中世][近世]住居 掘立柱建物 地下式土壙 土坑 溝,尖頭器 掻器 縄文土器 打斧 土錘 耳飾 土師器 須恵器 墨書土器 砥石 鉄鎌 刀子 鉄錐 鉄鏃 陶磁器 装身具 銭貨 人骨,139.5229111,35.65969456,,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
13208003900,13208,39,かみいしわらいせき,上石原遺跡,調布市 上石原二丁目,[縄文時代（早期〜前期・後期〜晩期）][古墳時代][平安時代][中世],集落,[縄文時代]住居集石 陥し穴 [古墳時代]住居 掘立柱建物 ピット 溝 [奈良時代]住居 [平安時代]住居 掘立柱建物 ピット 土坑 集石土坑 溝 [中世]カワラケ工房,尖頭器 縄文土器 打斧 石錘 土製円板 土師器 須恵器 陶器(灰釉・二彩) 墨書土器 土製支脚 砥石 鉄鎌 鉄鏃 刀子 ヤリガンナ 紡錘車 <U+9299>帯 こう具 金属製品 銭貨 焼礫 カワラケ,139.528214,35.655678,,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
13208004000,13208,40,しもいしはらいせき,下石原遺跡,調布市 下石原三丁目,[縄文時代（早期・中期〜後期）][古墳時代][奈良時代][平安時代][中世][近世],城館,[縄文時代]住居 敷石住居 集石 炉穴 陥し穴 土壙墓 配石 [古墳時代]方形周溝墓 溝 [奈良時代][平安時代]住居 掘立柱建物 ピット 溝 井戸 火葬墓 [中世][近世]掘立柱建物 井戸 地下式土坑 溝 [近世]土坑,縄文土器 打斧 土師器 須恵器 墨書土器 陶器 支脚 砥石 台石 刀子 鉄鏃 鉄製紡錘車 土錘 銅製品 馬具 銭貨 石臼 板碑 蔵骨器 人骨 獣骨,139.53389,35.65073,,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
13208004100,13208,41,ももきばたいせき,百木畑遺跡,調布市 布田三丁目 布田四丁目,[古墳時代][奈良時代][平安時代][近世],包蔵地,[時代不明]焼土 土坑,石器 土師器 須恵器 陶磁器,139.5469021,35.6494191,,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
13208004200,13208,42,ふじむかいいせき,富士向遺跡,調布市 国領町五丁目,[縄文時代][奈良時代][中世][近世],包蔵地,[縄文時代]集石土坑 土坑 [近世]掘立柱建物 土坑,縄文土器 石器 土師器 陶磁器 焼礫,139.5527996,35.6487906,,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
13208004300,13208,43,あげきゅうきたいせき,上ヶ給北遺跡,調布市 国領町一丁目 国領町四丁目 国領町五丁目,[奈良時代],包蔵地,,土師器,139.5561086,35.64930531,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13208004400,13208,44,こじまちょういせき,小島町遺跡,調布市 小島町三丁目,[縄文時代（中期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落,[縄文時代]住居炉穴 陥し穴 [古墳時代]住居 [奈良時代]住居 溝 鍛冶工房 [平安時代]住居 掘立柱建物 溝 [中世]住居 土坑 地下式土坑,縄文土器 石器 土製品 土師器 須恵器 墨書土器 鉄製品 羽口 鉄滓 陶器（灰釉) 陶磁器 銭貨,139.5386634,35.64730895,,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
13208004500,13208,45,かみふだいせき,上布田遺跡,調布市 布田三丁目 布田五丁目 布田六丁目 小島町三丁目,[旧石器時代][縄文時代（早期〜晩期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[縄文時代]住居 竪穴状遺構 集石 土坑 炉 柱穴 土壙墓 埋甕 配石 [古墳時代]住居 溝 円形周溝 [奈良時代][平安時代]住居 掘立柱建物 柱穴 土坑 竈 溝 道路状遺構 鍛冶工房 火葬墓 井戸 [中世]地下式土坑 土壙墓 [中世][近世]掘立柱建物 集石 土坑 溝 [近世]土壙墓 溝 道路遺構 [平安時代]蔵骨器,縄文土器 石器 土製品 石製品 土師器 須恵器 墨書土器 陶器（灰釉） 土製支脚 鎌 刀子 土錘 羽口 <U+9299>帯 銅製丸鞘 陶磁器 カワラケ 硯 砥石 石臼 瓦 板碑 銭貨 鉄滓 人骨 打製石斧 敲石 石皿 石棒 金銅製巡方 鉄製品 石器及び焼礫 土師器甕及び須恵器蓋（人骨、墨書土器を含む） 木製品,139.5445643,35.64632794,,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
13208004600,13208,46,しもふだいせき,下布田遺跡,調布市 布田三丁目 布田六丁目,[縄文時代（早期〜晩期）][古墳時代][奈良時代][平安時代][近世],包蔵地・集落・古墳,[縄文時代]陥し穴 甕棺墓 土壙墓 埋甕 配石 [平安時代]住居 掘立柱建物 土坑 [奈良時代][平安時代][中世]土坑 土壙墓,縄文土器 石器 耳飾 石剣 石刀 石冠 土偶 土版 土師器 須恵器 墨書土器 石製品 鉄製品 紡錘車 陶磁器 板碑 五輪塔 鉄滓 獣骨,139.5495276,35.64537974,,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
