JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13113007800,13113,78,,渋谷区No.78遺跡,渋谷区 広尾二丁目,[古墳時代],古墳,円墳2基,,139.7170498,35.65128839,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113007900,13113,79,はねざわかいづか,羽沢貝塚,渋谷区 広尾三丁目　広尾四丁目,[縄文時代（後期）],貝塚,,縄文土器　打斧　敲石,139.7175648,35.6556961,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113008100,13113,81,,渋谷区No.81遺跡,渋谷区 代々木四丁目,[古墳時代],古墳,,,139.6897185,35.68206753,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113008200,13113,82,,渋谷区No.82遺跡,渋谷区 代々木神園町,[縄文時代（中期）],包蔵地,,縄文土器　打斧　石鏃　石皿　凹石　石棒,139.6987359,35.67572944,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113009300,13113,93,かわさきしょうじろうやかた（せのおしやかた）あと,河崎庄司郎館(妹尾氏館)跡,渋谷区 渋谷三丁目,[時代不明],城館,,,139.7046705,35.65744555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13113009400,13113,94,,渋谷区No.94遺跡,渋谷区 神南二丁目,[縄文時代][古墳時代][奈良時代][平安時代],包蔵地,,縄文土器　土師器　須恵器,139.6987766,35.66623784,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13113009500,13113,95,せいしんじょしだいがくこうないこふん,聖心女子大学構内古墳,渋谷区 広尾四丁目,[古墳時代],古墳,円墳,,139.720174,35.65193003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113009600,13113,96,はちやまちょう・さるがくちょう17ばんいせき,鉢山町・猿楽町17番遺跡,渋谷区 鉢山町　 猿楽町,[旧石器時代][縄文時代][弥生時代][中世][近世],集落,[旧石器時代]土坑　[縄文時代]住居　土坑　[弥生時代]環濠　住居　土坑　[中世]溝　[近世]掘立柱建物　溝,掻器　剥片　縄文土器　打斧　石鏃　削器　弥生土器　陶磁器,139.6984231,35.65017962,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13113009700,13113,97,えびすいせき,恵比寿遺跡,渋谷区 恵比寿四丁目,[旧石器時代][縄文時代][古墳時代][近世],集落,[縄文時代]土坑　[古墳時代]住居　[近世]土坑　溝,ナイフ形石器　掻器　剥片　縄文土器　打斧　石槍　土師器　陶磁器　砥石　玩具　人形,139.7135822,35.64322554,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13113009800,13113,98,きたあおやまいせき,北青山遺跡,渋谷区 神宮前五丁目,[旧石器時代][縄文時代（後期）][近世],包蔵地・屋敷,[縄文時代]土坑　[近世]掘立柱建物　土坑　地下室　井戸　溝,ナイフ形石器　石鏃　縄文土器　打製石斧　陶磁器,139.708212,35.66314738,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13113009900,13113,99,はつだいいせき,初台遺跡,渋谷区 本町一丁目,[近世],集落,[近世]建物　土坑　地下室　井戸,縄文土器　陶磁器　煙管　銭貨,139.6859763,35.6825695,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13113010000,13113,100,あおやまがくいんこうないいせき,青山学院構内遺跡,渋谷区 渋谷四丁目,[縄文時代][近世],包蔵地・屋敷,伊予西条藩松平家上屋敷　[近世]土坑　水路　池　板塀状遺構　道路状遺構,縄文土器　陶磁器　瓦　石製品　鉄製品　青銅製品　鉛玉　木製品　ガラス製品　銭貨,139.7102323,35.66003979,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13113010100,13113,101,せんだがやごちょうめいせき,千駄ヶ谷五丁目遺跡,渋谷区 千駄ヶ谷五丁目,[旧石器時代][縄文時代][近世],その他（武家屋敷跡）,[縄文時代]陥穴　土坑　[近世]堀　溝　柵列　地下室　墓壙　井戸,ナイフ形石器　縄文土器　陶磁器　せっ器　漆器　木製品　金属製品　有舌尖頭器　土製品,139.7030381,35.68387873,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13113010200,13113,102,じんぐうまえいっちょうめいせき,神宮前一丁目遺跡,渋谷区 神宮前一丁目,[縄文時代][近世],集落,[縄文時代]住居,縄文土器　打斧　陶磁器,139.7069691,35.67258397,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13113010400,13113,104,せんだがやきたのわきいせき,千駄ヶ谷北ノ脇遺跡,渋谷区 千駄ヶ谷一丁目　 千駄ヶ谷二丁目,[縄文時代][弥生時代][近世],包蔵地,[縄文時代]〜[弥生時代]自然流路　[近世]杭跡　土坑,縄文土器　弥生土器　陶磁器,139.7131918,35.67816183,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
