JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Unnamed: 12,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13307002500,13307,25,,檜原村No.25遺跡,檜原村 大ダワ,[時代不明],包蔵地,,剥片,139.1036033,35.77795986,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13307002600,13307,26,,檜原村No.26遺跡,檜原村 三都郷,[時代不明],包蔵地,,土器,139.1320304,35.74698086,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13307002700,13307,27,,檜原村No.27遺跡,檜原村 三都郷,[縄文時代（中期）],包蔵地,,縄文土器　石錘,139.1409169,35.73932615,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307002800,13307,28,ちょうじゃやしきいせき,長者屋敷遺跡,檜原村 笹平,[縄文時代（中期）],包蔵地,,縄文土器,139.1578961,35.68831996,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307002900,13307,29,ひがしがわいせき,東川遺跡,檜原村 南郷,[縄文時代（前期〜後期）],包蔵地,,縄文土器　打斧　石錘　剥片,139.1267739,35.70396177,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307003000,13307,30,こにしいせき,小西遺跡,檜原村 南郷,[縄文時代（中期）],包蔵地,,縄文土器,139.1201134,35.70479815,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307003100,13307,31,こもりはらいせき,子守原遺跡,檜原村 人里,[縄文時代（早期・中期）],包蔵地,,縄文土器　石鏃　剥片,139.0833418,35.7200623,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307003200,13307,32,せんげんだいいせき,浅間台遺跡,檜原村 樋里,[縄文時代（早期〜中期）][中世],包蔵地,,縄文土器　経石,139.1059035,35.72042181,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13307003300,13307,33,しろいわいせき,白岩遺跡,檜原村 倉掛,[縄文時代（前期〜中期）],包蔵地,,縄文土器,139.0688215,35.74127604,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307003400,13307,34,しんめいいせき,神明遺跡,檜原村 大沢,[縄文時代（中期〜後期）],包蔵地,,縄文土器,139.1212995,35.73727677,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307003500,13307,35,,檜原村No.35遺跡,檜原村 三都郷,[縄文時代（中期〜後期）],包蔵地,,縄文土器,139.1440068,35.73835081,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307003600,13307,36,おうじがじょうびーちてんいせき,王子ヶ城B地点遺跡,檜原村 樋里,[縄文時代（中期）],包蔵地,,縄文土器,139.1138686,35.73115239,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307003700,13307,37,なかざといせき,中里遺跡,檜原村 三都郷,[縄文時代（中期〜後期）],包蔵地,,縄文土器,139.1408482,35.74010642,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307003800,13307,38,かずましょうがっこういせき,数馬小学校遺跡,檜原村 数馬,[時代不明],包蔵地,,,139.0498679,35.72669596,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13307003900,13307,39,くまのじんじゃびーちてんいせき,熊野神社B地点遺跡,檜原村 上川乗,[縄文時代],包蔵地,,縄文土器,139.1099708,35.70297044,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307004000,13307,40,なつじばらいせき,夏地原遺跡,檜原村 下川乗,[縄文時代],包蔵地,,縄文土器,139.1200447,35.70582967,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307004100,13307,41,しもだいらいせき,下平遺跡,檜原村 南郷,[縄文時代（後期）],包蔵地,,縄文土器,139.1467896,35.70454724,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307004200,13307,42,ささのばんばいせき,笹野馬場遺跡,檜原村 笹野,[縄文時代（中期）],包蔵地,,縄文土器,139.1520279,35.71431665,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
