JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13112019300,13112,193,うなねかわはらいせき,宇奈根河原遺跡,世田谷区 宇奈根二丁目,[中世],包蔵地,,板碑,139.5990337,35.61960627,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13112019400,13112,194,いしいどいせき,石井土遺跡,世田谷区 砧五丁目 砧七丁目,[縄文時代],包蔵地,,縄文土器 石器,139.6072457,35.63671774,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112019500,13112,195,にしざんやきたいせき,西山野北遺跡,世田谷区 砧三丁目,[古墳時代],包蔵地,,土師器,139.6107476,35.63635501,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112019600,13112,196,あんどうけはかあと,安藤家墓跡,世田谷区 大蔵一丁目,[近世],墓地,[近世]墓壙6,釘 木片 銭貨 人骨,139.617511,35.63322982,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13112019700,13112,197,いしいどみなみおうけつ,石井土南横穴,世田谷区 大蔵四丁目,[古墳時代][奈良時代],横穴墓,,人骨,139.6109078,35.62903015,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13112019900,13112,199,べんてんづか・てんじんづか,弁天塚・天神塚,世田谷区 岡本二丁目,[時代不明],塚,,,139.6199715,35.62231512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13112020000,13112,200,かわらけづかいせき,土器塚遺跡,世田谷区 代沢一丁目 池尻四丁目,[旧石器時代][縄文時代（中期）][弥生時代（後期）][古墳時代],集落,[弥生時代]後期住居跡 [近世以降]溝,縄文土器 弥生土器 石器 陶磁器類,139.6803853,35.65597217,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112020100,13112,201,きへいやまいせき,騎兵山遺跡,世田谷区 池尻四丁目,[縄文時代（早期・中期）][古墳時代][近世][近代],集落,[縄文時代]炉穴 住居 ピット [古墳時代]住居 [近世]建物基礎,縄文土器 陶磁器,139.679939,35.65312672,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
13112020200,13112,202,しんがんじふじづかいせき,森厳寺富士塚遺跡,世田谷区 代沢三丁目,[近世],塚,,,139.6682249,35.65709041,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13112020300,13112,203,だいたくりはらいせき,代田栗原遺跡,世田谷区 代田三丁目,[縄文時代][古墳時代][近世],包蔵地,,縄文土器 石器 土師器 板碑,139.6583617,35.65471759,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13112020400,13112,204,くりはらづか,栗原塚,世田谷区 代田三丁目,[近世],その他（塚）,,,139.6560271,35.65329485,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13112020500,13112,205,わかばやしほんむらいせき,若林本村遺跡,世田谷区 若林五丁目,[縄文時代],包蔵地,,石器,139.6578811,35.64964026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112020600,13112,206,わかばやしさんかくやまいせき,若林三角山遺跡,世田谷区 若林二丁目 若林三丁目,[縄文時代],包蔵地,,縄文土器 石器,139.660559,35.64994714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112020700,13112,207,ときわづか,常盤塚,世田谷区 上馬五丁目,[中世],塚,※遺跡範囲のすべてが、世田谷区指定史跡常盤塚となっています。,鏡 くし,139.6587008,35.64156211,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13112020800,13112,208,あみだまるいせき,阿弥陀丸遺跡,世田谷区 弦巻二丁目,[中世],包蔵地,,甕 石櫃 板碑,139.6532077,35.63405636,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13112020900,13112,209,せきやづか,関屋塚,世田谷区 桜新町一丁目,[中世][近世],塚,,銭貨,139.6405734,35.62920097,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13112021000,13112,210,ながさきづかいせき,長崎塚遺跡,世田谷区 桜新町一丁目,[中世][近世],その他（塚）,,陶磁器,139.641466,35.62864286,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13112021100,13112,211,うさまえみなみいせき,宇佐前南遺跡,世田谷区 用賀一丁目,[縄文時代],包蔵地,,土錘,139.6385478,35.62389877,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112021200,13112,212,せんぶづかいせき,千部塚遺跡,世田谷区 深沢五丁目,[中世][近世],その他（塚）,,土師器,139.6508388,35.62021492,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
