fid,JASID,SiteName,Lon,Lat,P,J,Y,K,N,H,M,Alt,属性1
"18","11202400700",杉原遺跡,139.4168821,36.08262475,"0","0","1","0","0","0","0",22.2000007629395,低地
"19","11202400800",船木遺跡,139.4219143,36.07979555,"0","1","1","1","1","0","0",20.2999992370605,低地
"20","11202400900",とうかん山古墳,139.4118813,36.08711417,"0","0","1","0","0","0","0",22.2000007629395,低地
"21","11202401000",東山遺跡,139.412198,36.07827024,"1","0","1","0","0","0","0",45,低地
"22","11202401100",根岸友山墓,139.4088051,36.07636592,"0","0","0","0","0","0","1",44,丘陵地
"23","11202401200",円山遺跡,139.4187325,36.07989523,"0","1","0","1","1","0","0",25.1000003814697,低地
"24","11202401300",原遺跡1号墳,139.3819099,36.10897797,"0","0","1","0","0","0","0",31.7999992370605,低地
"25","11202401400",原遺跡2号墳,139.3813301,36.10872245,"0","0","1","0","0","0","0",37,低地
"26","11202401500",原遺跡3号墳,139.3806975,36.10850952,"0","0","1","0","0","0","0",40.2000007629395,低地
"27","11202401600",原遺跡4号墳,139.3802231,36.10850952,"0","0","1","0","0","0","0",40.5999984741211,低地
"28","11202401700",冑山遺跡,139.4063547,36.07842259,"1","0","0","0","0","0","0",55,丘陵地
"29","11202401800",北廓遺跡,139.413048,36.08858217,"1","1","0","1","1","0","0",21.2000007629395,低地
"30","11202401900",塚本遺跡,139.3806271,36.12089454,"0","0","1","1","1","0","0",26.8999996185303,低地
"31","11202402000",西浦遺跡,139.378624,36.11944679,"0","0","0","1","1","0","0",27.1000003814697,低地
"32","11202402100",腰廻遺跡,139.3826829,36.11855259,"0","0","0","1","1","0","0",25.2999992370605,低地
"33","11202402200",三分一遺跡,139.3811719,36.11476956,"0","0","0","1","1","0","0",25.2999992370605,低地
"34","11202402300",西内手遺跡,139.3845456,36.11161831,"1","1","0","1","1","0","0",24.5,低地
"35","11202402400",高田遺跡,139.3877611,36.11344945,"0","0","0","1","1","0","0",24.1000003814697,低地
"36","11202402500",原北遺跡,139.3769549,36.11102211,"0","0","0","1","1","0","0",42.7000007629395,低地
"37","11202402600",原南遺跡,139.3791161,36.10948901,"1","0","1","1","1","0","0",40.2000007629395,低地
"38","11202402700",北方遺跡,139.3998929,36.11309364,"0","0","0","1","1","0","0",23,低地
