JASID,LGC,Site_no,SiteName,Address,Chronology,Lat,Lon,P,J,Y,K,N,H,M,E,D,U
14134000300,14134,高津区No.3,二子塚古墳,高津区二子6-5,古墳,35.60043943,139.6214275,0,0,0,1,0,0,0,0,0,0
14134000400,14134,高津区No.4,七面山北横穴墓・溝口西耕地横穴墓群,高津区溝口2-31,古墳,35.60347283,139.6086354,0,0,0,1,0,0,0,0,0,0
14134000500,14134,高津区No.5,宗隆寺古墳群,高津区溝口2-28,古墳,35.60237369,139.6087888,0,0,0,1,0,0,0,0,0,0
14134000600,14134,高津区No.6,七面山南横穴墓群,高津区下作延1-10,古墳,35.60202824,139.6085152,0,0,0,1,0,0,0,0,0,0
14134000700,14134,高津区No.7,,高津区下作延1-13,古墳,35.60266331,139.6074037,0,0,0,1,0,0,0,0,0,0
14134000800,14134,高津区No.8,法泉坊横穴,高津区久地1-1,古墳,35.60454043,139.6074763,0,0,0,1,0,0,0,0,0,0
14134000900,14134,高津区No.9,久地西前田横穴墓群,高津区久地1-1,弥生　古墳,35.60471489,139.6065772,0,0,1,1,0,0,0,0,0,0
14134001000,14134,高津区No.10,西前田横穴墓群（久地浄元寺裏横穴墓群）,高津区久地1-31,古墳,35.6062565,139.6055834,0,0,0,1,0,0,0,0,0,0
14134001100,14134,高津区No.11,浄元寺裏横穴墓,高津区久地1-28,古墳,35.60674498,139.6050169,0,0,0,1,0,0,0,0,0,0
14134001200,14134,高津区No.12,久地神社裏横穴墓群,高津区久地1-39,古墳,35.60762861,139.6044761,0,0,0,1,0,0,0,0,0,0
14134001300,14134,高津区No.13,久地不動台遺跡,高津区久地1-27,古墳,35.60586048,139.6042187,0,0,0,1,0,0,0,0,0,0
14134001400,14134,高津区No.14,津田山坂下横穴墓群,高津区下作延7-29,古墳,35.60401704,139.6064055,0,0,0,1,0,0,0,0,0,0
14134001500,14134,高津区No.15,,高津区下作延7-27,古墳,35.60394028,139.6055966,0,0,0,1,0,0,0,0,0,0
14134001600,14134,高津区No.16,,高津区下作延7-8,古墳,35.602886,139.605469,0,0,0,1,0,0,0,0,0,0
14134001700,14134,高津区No.17,日向古墳,高津区下作延7-12,古墳,35.60363348,139.6039349,0,0,0,1,0,0,0,0,0,0
14134001800,14134,高津区No.18,平瀬川隧道際横穴墓・平瀬川隧道際西横穴墓,高津区下作延7-12,古墳,35.604122,139.603516,0,0,0,1,0,0,0,0,0,0
14134001900,14134,高津区No.19,日向横穴墓群,高津区下作延7-12,古墳,35.604598,139.6033414,0,0,0,1,0,0,0,0,0,0
14134002000,14134,高津区No.20,中之橋横穴墓群,高津区下作延6-7,古墳,35.60382189,139.6024827,0,0,0,1,0,0,0,0,0,0
14134002100,14134,高津区No.21,久地西前田耕地西遺跡,高津区久地1-47,縄文　弥生,35.60748032,139.6020257,0,1,1,0,0,0,0,0,0,0
14134002200,14134,高津区No.22,,高津区下作延6-32,古墳,35.60817814,139.5986611,0,0,0,1,0,0,0,0,0,0
14134002300,14134,高津区No.23,北の谷遺跡,高津区下作延6-30,縄文　弥生,35.60952879,139.597319,0,1,1,0,0,0,0,0,0,0
14134002400,14134,高津区No.24,久地伊屋之免遺跡・久地伊屋之免古墳,高津区久地4-18,縄文　弥生　古墳,35.608223,139.591995,0,1,1,1,0,0,0,0,0,0
14134002500,14134,高津区No.25,緑ヶ丘霊園内遺跡・ビシャモン塚,高津区上作延5-7,縄文　弥生　古墳　平安,35.60728778,139.5887808,0,1,1,1,0,1,0,0,0,0
14134002600,14134,高津区No.26,稲荷塚古墳,高津区下作延1605,古墳,35.60665492,139.592603,0,0,0,1,0,0,0,0,0,0
14134002700,14134,高津区No.27,,高津区下作延5-35,縄文,35.60727599,139.5944409,0,1,0,0,0,0,0,0,0,0
14134002800,14134,高津区No.28,伊屋之免出土板碑,高津区下作延6-21,古墳,35.60619,139.597473,0,0,0,1,0,0,0,0,0,0
14134002900,14134,高津区No.29,津田山古墳,高津区下作延1514ほか,中世,35.605125,139.595062,0,0,0,0,0,0,1,0,0,0
14134003000,14134,高津区No.30,,高津区下作延1329ほか,古墳,35.60200287,139.595767,0,0,0,1,0,0,0,0,0,0
14134003100,14134,高津区No.31,緑ヶ丘霊園内遺跡,高津区上作延26-1,縄文　弥生　古墳,35.604164,139.591476,0,1,1,1,0,0,0,0,0,0
14134003200,14134,高津区No.32,,高津区上作延60,古墳,35.60209533,139.5889306,0,0,0,1,0,0,0,0,0,0
14134003300,14134,高津区No.33,,高津区下作延23付近,奈良　平安,35.60159719,139.5993309,0,0,0,0,1,1,0,0,0,0
14134003400,14134,高津区No.34,,高津区上作延139,奈良　平安,35.60132767,139.5944581,0,0,0,0,1,1,0,0,0,0
14134003500,14134,高津区No.35,,高津区下作延5-10,古墳,35.60026689,139.5992431,0,0,0,1,0,0,0,0,0,0
14134003600,14134,高津区No.36,上作延横穴墓群,高津区下作延5-10,古墳,35.59971556,139.5993118,0,0,0,1,0,0,0,0,0,0
14134003700,14134,高津区No.37,下作延巳ノ谷遺跡・下作延神明神社東南遺跡,高津区下作延4-17,縄文　弥生　古墳　奈良　平安 中世,35.59948169,139.6034538,0,1,1,1,1,1,1,0,0,0
14134003800,14134,高津区No.38,下作延遺跡,高津区下作延2-31,弥生　古墳　奈良　平安,35.59868609,139.6049902,0,0,1,1,1,1,0,0,0,0
14134003900,14134,高津区No.39,,高津区上作延722ほか,縄文　古墳　奈良　平安　中世,35.59823646,139.5875362,0,1,0,1,1,1,1,0,0,0
14134004000,14134,高津区No.40,板碑,高津区上作延755,中世,35.59819065,139.589306,0,0,0,0,0,0,1,0,0,0
14134004100,14134,高津区No.41,上作延南原遺跡,高津区上作延796ほか,縄文　弥生　古墳　奈良　平安,35.59682616,139.5894934,0,1,1,1,1,1,0,0,0,0
14134004200,14134,高津区No.42,上作延南原古墳,高津区上作延814ほか,古墳,35.59846727,139.5914456,0,0,0,1,0,0,0,0,0,0
14134004300,14134,高津区No.43,上作延南原遺跡,高津区上作延824ほか,縄文　弥生　古墳　奈良　平安,35.59735657,139.5912615,0,1,1,1,1,1,0,0,0,0
14134004400,14134,高津区No.44,向ヶ丘南原遺跡,高津区上作延904ほか,縄文,35.59593282,139.593167,0,1,0,0,0,0,0,0,0,0
14134004500,14134,高津区No.45,,高津区向ヶ丘129ほか,縄文,35.59318644,139.5939309,0,1,0,0,0,0,0,0,0,0
