"自治体コード","区市町村名","遺跡数合計","P","J","Y","K","N","H","M","E","D","U"
14131,"川崎市川崎区",8,0,0,0,2,2,2,1,5,0,0
14132,"川崎市幸区",11,1,2,3,7,1,1,4,0,0,0
14133,"川崎市中原区",20,0,5,6,14,2,1,4,3,0,0
14134,"川崎市高津区",151,1,59,46,106,40,41,14,3,0,0
14135,"川崎市多摩区",67,1,46,7,14,25,29,7,1,0,0
14136,"川崎市宮前区",197,1,148,44,54,66,88,7,0,0,1
14137,"川崎市麻生区",162,1,121,43,53,67,72,7,4,0,0
14130,"川崎市",616,5,381,149,250,203,234,44,16,0,1
