activity_domain,phase_code,domain_status,n_unresolved
general_activity,Ya,temporally_ambiguous_due_to_specialized,1
general_activity,Ya,temporally_ambiguous_general_candidate,13
general_activity,Ko,temporally_ambiguous_due_to_specialized,9
general_activity,Ko,temporally_ambiguous_general_candidate,22
general_activity,Na,temporally_ambiguous_due_to_specialized,58
general_activity,Na,temporally_ambiguous_general_candidate,3
general_activity,He,temporally_ambiguous_due_to_specialized,52
general_activity,He,temporally_ambiguous_general_candidate,8
general_activity,Me,temporally_ambiguous_due_to_specialized,25
general_activity,Me,temporally_ambiguous_general_candidate,35
institutional,Na,temporally_ambiguous,47
institutional,He,temporally_ambiguous,49
institutional,Me,temporally_ambiguous,23
monument,Ya,temporally_ambiguous,1
monument,Ko,temporally_ambiguous,4
monument,Me,temporally_ambiguous,4
production,Ko,temporally_ambiguous,8
production,Na,temporally_ambiguous,12
production,He,temporally_ambiguous,12
production,Me,temporally_ambiguous,7
