row_id,place_id,activity_domain,phase_code,assignment_status,evidence_source,evidence_value,compatible_phases,evidence_body
54,13101005700,general_activity,Jo,present,ArchaeologicalFeatures_single_observed_phase,建物址　地下室　井戸　溝　土坑　小穴　麹室　上水跡　柱穴　墓壙　埋甕　井戸址　礎石,Jo,建物址　地下室　井戸　溝　土坑　小穴　麹室　上水跡　柱穴　墓壙　埋甕　井戸址　礎石
55,13101005800,general_activity,Jo,present,SiteType_unique_compatible_phase,屋敷,Jo,NA
55,13101005800,institutional,NA,incompatible,SiteType,社寺,,NA
56,13101006000,general_activity,NA,temporally_ambiguous,SiteType,屋敷,Jo;Ko;Na;He,NA
59,13101006300,institutional,NA,incompatible,SiteType,城館,,NA
60,13101006400,general_activity,NA,incompatible,SiteType,町屋,,NA
61,13101006500,general_activity,Jo,present,SiteType_unique_compatible_phase,屋敷,Jo,NA
62,13101006600,general_activity,Ko,present,SiteType_unique_compatible_phase,屋敷,Ko,NA
63,13101006700,general_activity,NA,incompatible,SiteType,町屋,,NA
64,13101006800,general_activity,NA,incompatible,SiteType,屋敷,,NA
66,13101007000,general_activity,NA,incompatible,SiteType,屋敷,,NA
70,13101007400,institutional,NA,incompatible,SiteType,城館,,NA
71,13101007500,general_activity,He,present,SiteType_unique_compatible_phase,屋敷,He,NA
71,13101007500,institutional,NA,incompatible,SiteType,城館,,NA
72,13101007600,general_activity,NA,incompatible,SiteType,屋敷,,NA
73,13101007700,general_activity,NA,incompatible,SiteType,屋敷,,NA
74,13101007800,general_activity,Ya,present,SiteType_unique_compatible_phase,集落,Ya,NA
74,13101007800,general_activity,Ya,present,SiteType_unique_compatible_phase,屋敷,Ya,NA
74,13101007800,general_activity,Ya,present,ArchaeologicalFeatures_tagged,[弥生時代]住居址　,Ya,住居址　
75,13101007900,general_activity,NA,incompatible,SiteType,屋敷,,NA
76,13101008000,general_activity,NA,incompatible,SiteType,屋敷,,NA
77,13101008100,general_activity,NA,incompatible,SiteType,屋敷,,NA
78,13101008200,general_activity,NA,incompatible,SiteType,屋敷,,NA
79,13101008300,general_activity,NA,incompatible,SiteType,屋敷,,NA
81,13101008500,general_activity,NA,incompatible,SiteType,屋敷跡,,NA
82,13101008600,institutional,NA,incompatible,SiteType,社寺,,NA
83,13101008700,general_activity,NA,incompatible,SiteType,屋敷,,NA
84,13101008800,general_activity,NA,incompatible,SiteType,屋敷,,NA
85,13101008900,general_activity,NA,incompatible,SiteType,その他(町屋),,NA
87,13101009100,general_activity,NA,incompatible,SiteType,屋敷,,NA
89,13101009300,general_activity,NA,incompatible,SiteType,屋敷,,NA
90,13101009400,general_activity,NA,incompatible,SiteType,屋敷,,NA
91,13101009500,general_activity,NA,incompatible,SiteType,屋敷,,NA
93,13101009700,general_activity,NA,incompatible,SiteType,屋敷,,NA
94,13101009800,general_activity,NA,incompatible,SiteType,屋敷,,NA
95,13101009900,general_activity,Jo,present,SiteType_unique_compatible_phase,集落,Jo,NA
95,13101009900,general_activity,Jo,present,SiteType_unique_compatible_phase,屋敷,Jo,NA
95,13101009900,general_activity,Jo,present,ArchaeologicalFeatures_single_observed_phase,(縄文)住居跡　(近世)大型土坑　建物基礎　池跡　井戸　溝状遺構　土坑　礎石　小穴等,Jo,(縄文)住居跡　(近世)大型土坑　建物基礎　池跡　井戸　溝状遺構　土坑　礎石　小穴等
97,13101010100,institutional,NA,incompatible,SiteType,城館跡,,NA
98,13101010200,general_activity,Jo,present,ArchaeologicalFeatures_tagged,[縄文]竪穴住居跡、土坑、風倒木、,Jo,竪穴住居跡、土坑、風倒木、
98,13101010200,general_activity,Ya,present,ArchaeologicalFeatures_tagged,[弥生]竪穴住居跡、,Ya,竪穴住居跡、
98,13101010200,general_activity,NA,temporally_ambiguous,SiteType,集落,Jo;Ya,NA
98,13101010200,general_activity,NA,temporally_ambiguous,SiteType,屋敷,Jo;Ya,NA
99,1311010300,general_activity,NA,incompatible,SiteType,屋敷,,NA
100,13102000100,general_activity,Jo,present,SiteType_unique_compatible_phase,集落,Jo,NA
101,13102000200,general_activity,Me,present,SiteType_unique_compatible_phase,貝塚,Me,NA
103,13102000400,general_activity,NA,incompatible,SiteType,屋敷,,NA
105,13102000600,general_activity,NA,incompatible,SiteType,屋敷,,NA
105,13102000600,institutional,NA,incompatible,SiteType,社寺,,NA
106,13102000700,institutional,NA,incompatible,SiteType,社寺,,NA
107,13102000800,general_activity,NA,incompatible,SiteType,屋敷,,NA
111,13102001200,general_activity,NA,incompatible,SiteType,屋敷,,NA
118,13102001900,general_activity,NA,incompatible,SiteType,屋敷,,NA
119,13102002000,institutional,NA,incompatible,SiteType,社寺,,NA
120,13102002100,institutional,NA,incompatible,SiteType,社寺,,NA
121,13102002200,general_activity,NA,incompatible,SiteType,屋敷,,NA
121,13102002200,institutional,NA,incompatible,SiteType,社寺,,NA
122,13102002300,institutional,NA,incompatible,SiteType,社寺,,NA
124,13102002500,institutional,NA,incompatible,SiteType,社寺,,NA
125,13102002600,institutional,NA,incompatible,SiteType,社寺,,NA
126,13102002700,institutional,NA,incompatible,SiteType,社寺,,NA
127,13102002800,institutional,NA,incompatible,SiteType,社寺,,NA
129,13102003000,general_activity,NA,incompatible,SiteType,屋敷,,NA
130,13102003100,general_activity,NA,incompatible,SiteType,屋敷,,NA
131,13102003200,general_activity,NA,incompatible,SiteType,屋敷,,NA
132,13102003300,general_activity,NA,incompatible,SiteType,屋敷,,NA
133,13102003400,general_activity,NA,incompatible,SiteType,屋敷,,NA
134,13102003500,general_activity,NA,incompatible,SiteType,その他(町屋),,NA
135,13102003600,general_activity,NA,incompatible,SiteType,屋敷,,NA
135,13102003600,institutional,NA,incompatible,SiteType,社寺,,NA
136,13102003700,general_activity,NA,incompatible,SiteType,屋敷,,NA
136,13102003700,institutional,NA,incompatible,SiteType,社寺,,NA
137,13102003800,general_activity,NA,incompatible,SiteType,屋敷,,NA
138,13102003900,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
139,13102004000,institutional,NA,incompatible,SiteType,社寺,,NA
142,13102004300,institutional,NA,incompatible,SiteType,社寺,,NA
143,13102004400,institutional,NA,incompatible,SiteType,社寺,,NA
144,13102004500,institutional,NA,incompatible,SiteType,社寺,,NA
146,13102004700,general_activity,NA,incompatible,SiteType,屋敷,,NA
146,13102004700,institutional,NA,incompatible,SiteType,社寺,,NA
149,13102005000,institutional,NA,incompatible,SiteType,社寺,,NA
150,13102005100,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
150,13102005100,institutional,NA,incompatible,SiteType,社寺,,NA
151,13102005200,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
159,13102006000,institutional,NA,incompatible,SiteType,社寺,,NA
161,13102006200,institutional,NA,incompatible,SiteType,社寺,,NA
162,13102006300,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
168,13102006900,general_activity,NA,incompatible,SiteType,屋敷(町屋屋敷),,NA
171,13102007200,general_activity,NA,incompatible,SiteType,屋敷,,NA
172,13102007300,general_activity,NA,incompatible,SiteType,屋敷(町屋屋敷),,NA
173,13102007400,general_activity,NA,incompatible,SiteType,屋敷(町屋屋敷),,NA
174,13102007500,general_activity,NA,incompatible,SiteType,屋敷(町屋屋敷),,NA
175,13102007600,general_activity,NA,incompatible,SiteType,屋敷,,NA
176,13102007700,general_activity,NA,temporally_ambiguous,SiteType,屋敷,Jo;Ya;Ko;Na;He;Me,NA
178,13102007900,general_activity,NA,incompatible,SiteType,屋敷,,NA
179,13102008000,general_activity,NA,incompatible,SiteType,屋敷,,NA
180,13102008100,general_activity,NA,incompatible,SiteType,屋敷,,NA
181,13102008200,general_activity,NA,incompatible,SiteType,屋敷,,NA
182,13102008300,general_activity,NA,incompatible,SiteType,屋敷,,NA
184,13102008500,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
187,13102008800,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
189,13102009000,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
190,13102009100,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
191,13102009200,institutional,NA,incompatible,SiteType,社寺,,NA
192,13102009300,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
193,13102009400,general_activity,NA,incompatible,SiteType,屋敷,,NA
194,13102009500,general_activity,NA,incompatible,SiteType,屋敷,,NA
195,13102009600,general_activity,NA,incompatible,SiteType,屋敷,,NA
196,13102009700,institutional,NA,incompatible,SiteType,社寺,,NA
197,13102009800,general_activity,NA,incompatible,SiteType,屋敷,,NA
198,13102009900,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
200,13102010100,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
201,13102010200,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
203,13102010400,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
204,13102010500,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
205,13102010600,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
206,13102010700,general_activity,NA,incompatible,SiteType,屋敷,,NA
207,13102010800,general_activity,NA,incompatible,SiteType,屋敷,,NA
209,13102011000,general_activity,NA,incompatible,SiteType,屋敷,,NA
210,13102011100,general_activity,NA,incompatible,SiteType,屋敷,,NA
211,13102011200,general_activity,NA,incompatible,SiteType,屋敷,,NA
212,13102011300,general_activity,NA,incompatible,SiteType,屋敷,,NA
213,13102011400,general_activity,NA,incompatible,SiteType,屋敷,,NA
214,13102011500,general_activity,NA,incompatible,SiteType,屋敷,,NA
215,13102011600,general_activity,NA,incompatible,SiteType,屋敷,,NA
216,13102011700,general_activity,NA,incompatible,SiteType,屋敷,,NA
217,13102011800,general_activity,NA,incompatible,SiteType,屋敷,,NA
218,13102011900,general_activity,NA,incompatible,SiteType,屋敷,,NA
219,13102012000,general_activity,NA,incompatible,SiteType,屋敷,,NA
220,13102012100,general_activity,NA,incompatible,SiteType,屋敷,,NA
221,13102012200,general_activity,NA,incompatible,SiteType,屋敷,,NA
222,13102012300,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
223,13102012400,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
225,13102012600,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
226,13102012700,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
227,13102012800,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
228,13102012900,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
231,13102013200,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
232,13102013300,general_activity,NA,incompatible,SiteType,屋敷(町屋),,NA
233,13102013400,general_activity,NA,incompatible,SiteType,屋敷,,NA
234,13102013500,general_activity,NA,incompatible,SiteType,屋敷,,NA
235,13102013600,general_activity,NA,incompatible,SiteType,屋敷,,NA
236,13102013700,general_activity,NA,incompatible,SiteType,屋敷,,NA
237,13102013800,general_activity,NA,incompatible,SiteType,屋敷,,NA
238,13102013900,general_activity,NA,incompatible,SiteType,屋敷,,NA
239,13102014000,general_activity,NA,incompatible,SiteType,屋敷,,NA
240,13102014100,general_activity,NA,incompatible,SiteType,屋敷,,NA
241,13102014200,general_activity,NA,incompatible,SiteType,屋敷,,NA
242,13102014300,general_activity,NA,incompatible,SiteType,屋敷,,NA
243,13102014400,general_activity,NA,incompatible,SiteType,屋敷,,NA
244,13102014500,general_activity,NA,incompatible,SiteType,屋敷,,NA
245,13102014600,general_activity,NA,incompatible,SiteType,屋敷,,NA
247,13102014800,general_activity,NA,incompatible,SiteType,屋敷,,NA
248,13102014900,general_activity,NA,incompatible,SiteType,屋敷,,NA
249,13102015000,general_activity,NA,incompatible,SiteType,屋敷,,NA
250,13102015100,general_activity,NA,incompatible,SiteType,屋敷,,NA
251,13102015200,general_activity,NA,incompatible,SiteType,屋敷,,NA
252,13102015300,general_activity,NA,incompatible,SiteType,屋敷,,NA
253,13102015400,general_activity,NA,incompatible,SiteType,屋敷,,NA
254,13102015500,general_activity,NA,incompatible,SiteType,屋敷,,NA
255,13102015600,general_activity,NA,incompatible,SiteType,屋敷,,NA
256,13102015700,general_activity,NA,incompatible,SiteType,屋敷,,NA
257,13102015800,general_activity,NA,incompatible,SiteType,屋敷,,NA
258,13102015900,general_activity,NA,incompatible,SiteType,屋敷,,NA
259,13102016000,general_activity,NA,incompatible,SiteType,屋敷,,NA
259,13102016000,general_activity,NA,incompatible,SiteType,その他(町屋),,NA
260,13102016100,general_activity,NA,incompatible,SiteType,その他(町屋),,NA
261,13102016200,general_activity,NA,incompatible,SiteType,屋敷,,NA
262,13102016300,general_activity,NA,incompatible,SiteType,屋敷,,NA
263,13102016400,general_activity,NA,incompatible,SiteType,屋敷,,NA
264,13102016500,general_activity,NA,incompatible,SiteType,屋敷,,NA
265,13102016600,general_activity,NA,incompatible,SiteType,屋敷,,NA
266,13102016700,general_activity,NA,incompatible,SiteType,屋敷,,NA
267,13102016800,general_activity,NA,incompatible,SiteType,屋敷,,NA
268,13102016900,general_activity,NA,incompatible,SiteType,屋敷,,NA
269,13102017000,general_activity,NA,incompatible,SiteType,屋敷,,NA
270,13102017100,general_activity,NA,incompatible,SiteType,屋敷,,NA
271,13102017200,general_activity,NA,incompatible,SiteType,屋敷,,NA
272,13102017300,general_activity,NA,incompatible,SiteType,屋敷,,NA
273,13102017400,general_activity,NA,incompatible,SiteType,屋敷,,NA
274,13102017500,general_activity,NA,incompatible,SiteType,屋敷,,NA
275,13102017600,general_activity,NA,incompatible,SiteType,屋敷,,NA
277,13102017800,general_activity,NA,incompatible,SiteType,屋敷,,NA
279,13103000100,general_activity,Jo,present,SiteType_unique_compatible_phase,貝塚,Jo,NA
280,13103000200,general_activity,NA,temporally_ambiguous,SiteType,貝塚,Jo;Ya,NA
281,13103000300,general_activity,Jo,present,SiteType_unique_compatible_phase,貝塚,Jo,NA
284,13103000600,institutional,NA,incompatible,SiteType,社寺,,NA
285,13103000700,institutional,Me,present,SiteType_unique_compatible_phase,城館,Me,NA
286,13103000800,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
287,13103000900,general_activity,Ko,present,ArchaeologicalFeatures_tagged,[古墳時代]住居　,Ko,住居　
287,13103000900,general_activity,NA,temporally_ambiguous,SiteType,集落,Pa;Jo;Ko,NA
288,13103000902,general_activity,Jo,present,SiteType_unique_compatible_phase,屋敷,Jo,NA
291,13103001102,general_activity,NA,incompatible,SiteType,屋敷,,NA
294,13103001401,institutional,NA,incompatible,SiteType,社寺,,NA
295,13103001402,institutional,NA,incompatible,SiteType,社寺,,NA
297,13103001404,institutional,NA,incompatible,SiteType,社寺,,NA
298,13103001500,institutional,Me,present,SiteType_unique_compatible_phase,城館,Me,NA
299,13103001601,general_activity,NA,incompatible,SiteType,町屋跡,,NA
300,13103001602,general_activity,NA,incompatible,SiteType,町屋跡,,NA
301,13103001700,institutional,Me,present,SiteType_unique_compatible_phase,城館,Me,NA
302,13103001800,general_activity,Jo,present,SiteType_unique_compatible_phase,貝塚,Jo,NA
304,13103002000,general_activity,NA,incompatible,SiteType,屋敷,,NA
306,13103002201,institutional,NA,incompatible,SiteType,社寺,,NA
307,13103002202,institutional,NA,incompatible,SiteType,社寺,,NA
308,13103002203,institutional,NA,incompatible,SiteType,社寺,,NA
309,13103002204,institutional,NA,incompatible,SiteType,社寺,,NA
310,13103002205,institutional,NA,incompatible,SiteType,社寺,,NA
311,13103002206,institutional,NA,incompatible,SiteType,社寺,,NA
312,13103002300,general_activity,Jo,present,SiteType_unique_compatible_phase,貝塚,Jo,NA
313,13103002400,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
313,13103002400,monument,Ko,present,ArchaeologicalFeatures_single_observed_phase,※遺跡範囲のすべてが、都指定史跡芝丸山古墳となっています。 　 前方後円墳,Ko,※遺跡範囲のすべてが、都指定史跡芝丸山古墳となっています。 　 前方後円墳
314,13103002500,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
315,13103002501,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
315,13103002501,monument,Ko,present,ArchaeologicalFeatures_tagged,[古墳時代]横穴式石室,Ko,横穴式石室
316,13103002502,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
316,13103002502,monument,Ko,present,ArchaeologicalFeatures_single_observed_phase,円墳,Ko,円墳
317,13103002503,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
317,13103002503,monument,Ko,present,ArchaeologicalFeatures_single_observed_phase,円墳,Ko,円墳
318,13103002504,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
318,13103002504,monument,Ko,present,ArchaeologicalFeatures_tagged,[古墳時代]竪穴式石室?,Ko,竪穴式石室?
319,13103002505,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
319,13103002505,monument,Ko,present,ArchaeologicalFeatures_tagged,[古墳時代]横穴式石室,Ko,横穴式石室
320,13103002506,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
320,13103002506,monument,Ko,present,ArchaeologicalFeatures_tagged,[古墳時代]横穴式石室,Ko,横穴式石室
321,13103002507,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
321,13103002507,monument,Ko,present,ArchaeologicalFeatures_tagged,[古墳時代]横穴式石室,Ko,横穴式石室
322,13103002508,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
322,13103002508,monument,Ko,present,ArchaeologicalFeatures_tagged,[古墳時代]横穴式石室,Ko,横穴式石室
323,13103002509,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
323,13103002509,monument,Ko,present,ArchaeologicalFeatures_tagged,[古墳時代]横穴式石室,Ko,横穴式石室
324,13103002600,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
326,13103002800,monument,Ko,present,SiteType_unique_compatible_phase,横穴墓,Ko,NA
327,13103002900,general_activity,NA,temporally_ambiguous,SiteType,集落,Jo;Ya;Ko,NA
327,13103002900,general_activity,NA,temporally_ambiguous,SiteType,貝塚,Jo;Ya;Ko,NA
328,13103003000,general_activity,Jo,present,SiteType_unique_compatible_phase,貝塚,Jo,NA
329,13103003100,institutional,NA,incompatible,SiteType,社寺,,NA
331,13103003300,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
331,13103003300,monument,Ko,present,ArchaeologicalFeatures_single_observed_phase,円墳,Ko,円墳
333,13103003501,institutional,NA,incompatible,SiteType,社寺,,NA
334,13103003502,institutional,NA,incompatible,SiteType,社寺,,NA
335,13103003600,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
335,13103003600,monument,Ko,present,ArchaeologicalFeatures_single_observed_phase,円墳,Ko,円墳
340,13103004100,general_activity,Jo,present,SiteType_unique_compatible_phase,貝塚,Jo,NA
342,13103004300,general_activity,Jo,present,SiteType_unique_compatible_phase,貝塚,Jo,NA
345,13103004600,general_activity,Jo,present,SiteType_unique_compatible_phase,貝塚,Jo,NA
348,13103004900,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
348,13103004900,monument,Ko,present,ArchaeologicalFeatures_single_observed_phase,前方後円墳?,Ko,前方後円墳?
350,13103005100,general_activity,Jo,present,SiteType_unique_compatible_phase,貝塚,Jo,NA
351,13103005200,general_activity,Na,present,SiteType_unique_compatible_phase,貝塚,Na,NA
352,13103005300,institutional,NA,incompatible,SiteType,社寺,,NA
353,13103005400,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
353,13103005400,monument,Ko,present,ArchaeologicalFeatures_single_observed_phase,円墳,Ko,円墳
355,13103005600,general_activity,Ya,present,SiteType_unique_compatible_phase,集落,Ya,NA
356,13103005700,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
356,13103005700,monument,Ko,present,ArchaeologicalFeatures_single_observed_phase,※遺跡範囲のすべてが、都指定史跡亀塚となっています。 円墳,Ko,※遺跡範囲のすべてが、都指定史跡亀塚となっています。 円墳
357,13103005800,institutional,NA,incompatible,SiteType,社寺,,NA
358,13103005900,institutional,NA,incompatible,SiteType,社寺,,NA
359,13103006000,general_activity,He,present,ArchaeologicalFeatures_tagged,[平安時代]住居 ,He,住居 
359,13103006000,general_activity,Jo,present,ArchaeologicalFeatures_tagged,[縄文時代]住居　土坑　,Jo,住居　土坑　
359,13103006000,general_activity,Ko,present,ArchaeologicalFeatures_tagged,[古墳時代]住居　,Ko,住居　
359,13103006000,general_activity,NA,temporally_ambiguous,SiteType,集落,Jo;Ya;Ko;He,NA
359,13103006000,general_activity,NA,temporally_ambiguous,SiteType,貝塚,Jo;Ya;Ko;He,NA
359,13103006000,institutional,He,present,SiteType_unique_compatible_phase,社寺,He,NA
359,13103006000,monument,Ya,present,ArchaeologicalFeatures_tagged,[弥生時代]方形周溝墓　,Ya,方形周溝墓　
360,13103006100,monument,Ko,present,SiteType_unique_compatible_phase,古墳,Ko,NA
365,13103006300,institutional,NA,incompatible,SiteType,社寺,,NA
366,13103006400,general_activity,NA,temporally_ambiguous,SiteType,集落,Jo;Ya;Na;He;Me,NA
366,13103006400,general_activity,NA,temporally_ambiguous,SiteType,屋敷,Jo;Ya;Na;He;Me,NA
369,13103006700,general_activity,NA,temporally_ambiguous,SiteType,屋敷,Jo;Me,NA
369,13103006700,institutional,Me,present,SiteType_unique_compatible_phase,城館,Me,NA
372,13103007000,general_activity,Jo,present,SiteType_unique_compatible_phase,貝塚,Jo,NA
373,13103007100,monument,Ko,present,SiteType_unique_compatible_phase,横穴墓,Ko,NA
374,13103007200,institutional,NA,incompatible,SiteType,社寺,,NA
375,13103007300,general_activity,NA,incompatible,SiteType,町屋跡,,NA
376,13103007400,general_activity,Ya,present,SiteType_unique_compatible_phase,集落,Ya,NA
376,13103007400,general_activity,Ya,present,ArchaeologicalFeatures_tagged,[弥生時代]住居,Ya,住居
377,13103007500,general_activity,Ko,present,ArchaeologicalFeatures_tagged,[古墳時代]住居,Ko,住居
377,13103007500,general_activity,Ya,present,ArchaeologicalFeatures_tagged,[弥生時代]?　住居　,Ya,?　住居　
377,13103007500,general_activity,NA,temporally_ambiguous,SiteType,集落,Pa;Jo;Ya;Ko;Na;He,NA
378,13103007600,general_activity,NA,incompatible,SiteType,町屋跡,,NA
379,13103007700,general_activity,NA,incompatible,SiteType,町屋跡,,NA
380,13103007800,institutional,NA,incompatible,SiteType,社寺,,NA
381,13103007900,general_activity,NA,incompatible,SiteType,町屋跡,,NA
383,13103008100,institutional,NA,incompatible,SiteType,社寺,,NA
385,13103008202,general_activity,NA,incompatible,SiteType,屋敷,,NA
386,13103008300,general_activity,NA,incompatible,SiteType,屋敷,,NA
389,13103008600,general_activity,NA,incompatible,SiteType,町屋跡,,NA
390,13103008700,institutional,Me,present,SiteType_unique_compatible_phase,社寺,Me,NA
392,13103008900,general_activity,NA,incompatible,SiteType,町屋跡,,NA
393,13103009000,general_activity,NA,incompatible,SiteType,町屋跡,,NA
397,13103009400,general_activity,NA,incompatible,SiteType,町屋跡,,NA
399,1310309502,general_activity,NA,incompatible,SiteType,屋敷,,NA
400,13103009600,institutional,NA,incompatible,SiteType,社寺,,NA
403,13103009900,general_activity,Ya,present,ArchaeologicalFeatures_tagged,[弥生時代]住居　溝,Ya,住居　溝
403,13103009900,general_activity,NA,temporally_ambiguous,SiteType,集落,Jo;Ya;Ko,NA
405,13103010100,general_activity,NA,incompatible,SiteType,町屋跡,,NA
410,13103010600,institutional,NA,incompatible,SiteType,社寺,,NA
416,13103011100,general_activity,NA,incompatible,SiteType,町屋,,NA
418,13103011300,general_activity,NA,incompatible,SiteType,町屋跡,,NA
420,13103011500,general_activity,NA,temporally_ambiguous,SiteType,集落,Jo;Ya;Ko;Me,NA
