row_id,place_id,activity_domain,phase_code,assignment_status,evidence_source,evidence_value,compatible_phases,evidence_body
1,13101000100,institutional,NA,incompatible,SiteType,城館,,NA
2,13101000200,general_activity,Jo,present,SiteType_unique_compatible_phase,貝塚,Jo,NA
6,13101000600,general_activity,NA,incompatible,SiteType,貝塚,,NA
7,13101000800,general_activity,NA,temporally_ambiguous,SiteType,貝塚,Jo;Ya;Ko;Na;He,NA
8,13101000900,general_activity,Ya,present,ArchaeologicalFeatures_tagged,[弥生時代]V字溝　住居,Ya,V字溝　住居
8,13101000900,general_activity,NA,temporally_ambiguous,SiteType,貝塚,Jo;Ya;He,NA
9,13101001000,general_activity,Ya,present,ArchaeologicalFeatures_tagged,[弥生時代]住居跡　土坑　環壕　溝　,Ya,住居跡　土坑　環壕　溝　
9,13101001000,general_activity,NA,temporally_ambiguous,SiteType,集落,Jo;Ya,NA
9,13101001000,general_activity,NA,temporally_ambiguous,SiteType,貝塚,Jo;Ya,NA
9,13101001000,general_activity,NA,temporally_ambiguous,SiteType,屋敷,Jo;Ya,NA
11,13101001200,general_activity,Jo,present,SiteType_unique_compatible_phase,貝塚,Jo,NA
19,13101002000,general_activity,NA,incompatible,SiteType,集落,,NA
19,13101002000,institutional,NA,incompatible,SiteType,社寺,,NA
21,13101002200,general_activity,Ko,present,ArchaeologicalFeatures_tagged,[古墳時代]住居　,Ko,住居　
21,13101002200,general_activity,Me,present,ArchaeologicalFeatures_tagged,[中世]井戸　土坑群　地下式土坑　溝状遺構　堀　,Me,井戸　土坑群　地下式土坑　溝状遺構　堀　
21,13101002200,general_activity,NA,temporally_ambiguous,SiteType,集落,Pa;Jo;Ya;Ko;Me,NA
21,13101002200,institutional,Me,present,SiteType_unique_compatible_phase,城館,Me,NA
22,13101002400,general_activity,NA,incompatible,SiteType,井戸跡,,NA
26,13101002800,institutional,NA,incompatible,SiteType,城館,,NA
27,13101002900,general_activity,NA,incompatible,SiteType,屋敷,,NA
27,13101002900,institutional,NA,incompatible,SiteType,城館,,NA
28,13101003000,institutional,NA,incompatible,SiteType,城館,,NA
29,13101003100,institutional,NA,incompatible,SiteType,城館,,NA
30,13101003200,institutional,NA,incompatible,SiteType,城館,,NA
31,13101003300,institutional,NA,incompatible,SiteType,城館,,NA
34,13101003700,general_activity,NA,incompatible,SiteType,屋敷,,NA
39,13101004200,general_activity,NA,temporally_ambiguous,SiteType,集落,Pa;Jo;Ya;Me,NA
39,13101004200,general_activity,NA,temporally_ambiguous,SiteType,屋敷,Pa;Jo;Ya;Me,NA
40,13101004300,institutional,NA,incompatible,SiteType,社寺,,NA
42,13101004500,general_activity,Ya,present,SiteType_unique_compatible_phase,集落,Ya,NA
42,13101004500,general_activity,Ya,present,ArchaeologicalFeatures_tagged,[弥生時代]住居　,Ya,住居　
43,13101004600,general_activity,NA,incompatible,SiteType,屋敷跡,,NA
44,13101004700,general_activity,NA,incompatible,SiteType,屋敷,,NA
46,13101004900,monument,Ya,present,ArchaeologicalFeatures_tagged,[弥生時代]方形周溝墓　,Ya,方形周溝墓　
47,13101005000,institutional,NA,incompatible,SiteType,城館,,NA
49,13101005200,general_activity,NA,incompatible,SiteType,屋敷,,NA
49,13101005200,institutional,NA,incompatible,SiteType,城館,,NA
50,13101005300,institutional,Me,present,SiteType_unique_compatible_phase,社寺,Me,NA
53,13101005600,general_activity,Jo,present,ArchaeologicalFeatures_tagged,[縄文時代]貝塚　ピット　住居址　,Jo,貝塚　ピット　住居址　
53,13101005600,general_activity,Ya,present,ArchaeologicalFeatures_tagged,[弥生時代]ピット　住居址　,Ya,ピット　住居址　
53,13101005600,general_activity,NA,temporally_ambiguous,SiteType,集落,Jo;Ya,NA
53,13101005600,general_activity,NA,temporally_ambiguous,SiteType,貝塚,Jo;Ya,NA
53,13101005600,general_activity,NA,temporally_ambiguous,SiteType,屋敷,Jo;Ya,NA
54,13101005700,general_activity,Jo,present,SiteType_unique_compatible_phase,屋敷,Jo,NA
