activity_domain,phase_code,domain_resolution,n_records
general_activity,Pa,resolved,6520
general_activity,Jo,resolved,6520
general_activity,Ya,resolved,6506
general_activity,Ya,temporally_unresolved,14
general_activity,Ko,resolved,6489
general_activity,Ko,temporally_unresolved,31
general_activity,Na,resolved,6459
general_activity,Na,temporally_unresolved,61
general_activity,He,resolved,6460
general_activity,He,temporally_unresolved,60
general_activity,Me,resolved,6460
general_activity,Me,temporally_unresolved,60
institutional,Pa,resolved,6520
institutional,Jo,resolved,6520
institutional,Ya,resolved,6520
institutional,Ko,resolved,6520
institutional,Na,resolved,6473
institutional,Na,temporally_unresolved,47
institutional,He,resolved,6471
institutional,He,temporally_unresolved,49
institutional,Me,resolved,6497
institutional,Me,temporally_unresolved,23
monument,Pa,resolved,6520
monument,Jo,resolved,6520
monument,Ya,resolved,6519
monument,Ya,temporally_unresolved,1
monument,Ko,resolved,6516
monument,Ko,temporally_unresolved,4
monument,Na,resolved,6520
monument,He,resolved,6520
monument,Me,resolved,6516
monument,Me,temporally_unresolved,4
production,Pa,resolved,6520
production,Jo,resolved,6520
production,Ya,resolved,6520
production,Ko,resolved,6512
production,Ko,temporally_unresolved,8
production,Na,resolved,6508
production,Na,temporally_unresolved,12
production,He,resolved,6508
production,He,temporally_unresolved,12
production,Me,resolved,6513
production,Me,temporally_unresolved,7
