activity_domain,n_places_with_domain,n_phase_presence_assignments,n_temporally_unresolved_phase_status,n_places_with_temporal_unresolved
general_activity,4718,10606,226,138
institutional,152,152,119,49
monument,789,798,9,6
production,123,128,39,17
