"JASID","自治体コード","遺跡番号","遺跡名","種類","所在地","時代","旧市番号","地図","経度","緯度","平安"
14137003600,14137,"麻生区No.36","","散布地","川崎市麻生区古沢246ほか","縄文　奈良　平安","百合丘-5",80,139.4992,35.60434,1
14137003800,14137,"麻生区No.38","","散布地","川崎市麻生区五力田249ほか","縄文　弥生　古墳　奈良　平安","五力田-7",80,139.491,35.60442,1
14137004000,14137,"麻生区No.40","","散布地","川崎市麻生区古沢564ほか","縄文　奈良　平安","五力田-2",80,139.496,35.6047,1
14137004200,14137,"麻生区No.42","古沢都古遺跡","散布地","川崎市麻生区古沢287ほか","奈良　平安","百合丘-6",80,139.4993,35.60299,1
14137004500,14137,"麻生区No.45","","散布地","川崎市麻生区五力田3-16ほか","縄文　弥生　古墳　奈良　平安","五力田-5",80,139.4958,35.6007,1
14137004600,14137,"麻生区No.46","","散布地","川崎市麻生区五力田3-4ほか","縄文　弥生　古墳　奈良　平安","五力田-4",80,139.4979,35.60021,1
14137004700,14137,"麻生区No.47","菓積台遺跡","集落跡","川崎市麻生区片平1-8ほか","縄文　奈良　平安","百合丘-8",80,139.4994,35.59961,1
14137004800,14137,"麻生区No.48","山口台遺跡群上台遺跡","集落跡","川崎市麻生区上麻生4-41","縄文　弥生　古墳　奈良　平安","王禅寺-3",75,139.5021,35.59659,1
14137005000,14137,"麻生区No.50","大ヶ谷戸遺跡","集落跡","川崎市麻生区上麻生5-21ほか","縄文　弥生　古墳　奈良　平安","王禅寺-5",81,139.5002,35.59132,1
14137005400,14137,"麻生区No.54","東柿生小学校北遺跡","散布地","川崎市麻生区王禅寺133ほか","縄文　弥生　古墳　奈良　平安","早野-10",76,139.5109,35.58037,1
14137005500,14137,"麻生区No.55","","散布地","川崎市麻生区王禅寺24-2","縄文　古墳　奈良　平安","早野-11",77,139.513,35.57968,1
14137005600,14137,"麻生区No.56","","散布地","川崎市麻生区王禅寺183ほか","縄文　弥生　古墳　奈良　平安","早野-12",77,139.5139,35.57956,1
14137005700,14137,"麻生区No.57","","散布地","川崎市麻生区王禅寺288","縄文　弥生　古墳　奈良　平安","早野-1",77,139.5176,35.57916,1
14137006000,14137,"麻生区No.60","","散布地","川崎市麻生区早野28","縄文　弥生　古墳　奈良　平安","早野-14",77,139.5141,35.57684,1
14137006100,14137,"麻生区No.61","東柿生小学校内遺跡","散布地","川崎市麻生区王禅寺94ほか","縄文　弥生　古墳　奈良　平安 中世","早野-13",77,139.5111,35.57849,1
14137006500,14137,"麻生区No.65","","散布地","川崎市麻生区早野950ほか","縄文　弥生　古墳　奈良　平安","早野-5",77,139.5153,35.57314,1
14137006600,14137,"麻生区No.66","","散布地","川崎市麻生区早野932ほか","縄文　古墳　奈良　平安","早野-6",77,139.5164,35.57213,1
14137006800,14137,"麻生区No.68","早野上ノ原遺跡","散布地","川崎市麻生区早野798ほか","旧石器　縄文　弥生　古墳 奈良　平安　中世　近世","早野-7",77,139.5191,35.57053,1
14137006900,14137,"麻生区No.69","","散布地","川崎市麻生区早野718ほか","奈良　平安","早野-8",77,139.5165,35.57066,1
14137007000,14137,"麻生区No.70","","散布地","川崎市麻生区早野634ほか","縄文　弥生　古墳　奈良　平安","鴨志田-1",77,139.5153,35.56853,1
14137007200,14137,"麻生区No.72","","散布地","川崎市麻生区上麻生7-41","縄文　弥生　古墳　奈良　平安 中世","早野-18",77,139.5057,35.57897,1
14137007300,14137,"麻生区No.73","","散布地","川崎市麻生区上麻生7-27","縄文　弥生　古墳　奈良　平安","早野-20",77,139.5028,35.5801,1
14137007500,14137,"麻生区No.75","","散布地","川崎市麻生区片平3-10ほか","縄文　弥生　古墳　奈良　平安","片平-1",81,139.4929,35.58984,1
14137007600,14137,"麻生区No.76","","散布地","川崎市麻生区片平4-8ほか","奈良　平安","片平-2",81,139.4903,35.59211,1
14137007800,14137,"麻生区No.78","","散布地","川崎市麻生区片平4-14ほか","縄文　奈良　平安","片平-6",80,139.4874,35.59375,1
14137007900,14137,"麻生区No.79","","散布地","川崎市麻生区片平2014ほか","縄文　奈良　平安","片平-5",80,139.486,35.59523,1
14137008000,14137,"麻生区No.80","","散布地","川崎市麻生区片平1785ほか","縄文　奈良　平安","片平-7",80,139.4831,35.59626,1
14137008100,14137,"麻生区No.81","桐光学園第ニグラウンド建設予定地内遺跡","散布地","川崎市麻生区片平1642ほか","縄文　奈良　平安","五力田-12",80,139.4828,35.59827,1
14137008200,14137,"麻生区No.82","","集落跡","川崎市麻生区片平1610ほか","縄文　奈良　平安","片平-8",85,139.4799,35.5969,1
14137008400,14137,"麻生区No.84","","散布地","川崎市麻生区片平1556ほか","縄文　弥生　古墳　奈良　平安","五力田-10",80,139.4813,35.60019,1
14137008500,14137,"麻生区No.85","","散布地","川崎市麻生区栗木249ほか","縄文　平安","五力田-11",85,139.4772,35.60273,1
14137008600,14137,"麻生区No.86","栗木南IV遺跡","散布地","川崎市麻生区栗木227ほか","縄文　奈良　平安","五力田-9",85,139.4773,35.6003,1
14137009300,14137,"麻生区No.93","栗木IV遺跡","散布地","川崎市麻生区黒川404ほか","縄文　弥生　古墳　奈良　平安","黒川-3",84,139.4733,35.61377,1
14137010300,14137,"麻生区No.103","","散布地","川崎市麻生区黒川1649ほか","縄文　弥生　古墳　奈良　平安","多摩-1",88,139.453,35.61764,1
14137010500,14137,"麻生区No.105","","散布地 横穴墓","川崎市麻生区岡上526ほか","縄文　弥生　古墳　奈良　平安","栗ヶ谷戸-1",87,139.4766,35.57985,1
14137010600,14137,"麻生区No.106","","散布地","川崎市麻生区岡上593ほか","奈良　平安","岡上-8",87,139.4785,35.5789,1
14137010700,14137,"麻生区No.107","","散布地","川崎市麻生区岡上585ほか","奈良　平安","岡上-9",87,139.4788,35.57818,1
14137010800,14137,"麻生区No.108","","散布地","川崎市麻生区岡上540","縄文　弥生　古墳　奈良　平安","栗ヶ谷戸-2",87,139.4767,35.57785,1
14137010900,14137,"麻生区No.109","","散布地","川崎市麻生区岡上621ほか","弥生　古墳　奈良　平安","岡上-7",87,139.4799,35.57888,1
14137011000,14137,"麻生区No.110","岡上丸山遺跡","散布地","川崎市麻生区岡上675-1ほか","縄文　弥生　古墳　奈良　平安","岡上-6",82,139.4829,35.57904,1
14137011100,14137,"麻生区No.111","","散布地","川崎市麻生区岡上184ほか","縄文　弥生　古墳　奈良　平安","岡上-3",81,139.4871,35.58173,1
14137011200,14137,"麻生区No.112","","散布地","川崎市麻生区岡上137ほか","縄文　弥生　古墳　奈良　平安","岡上-1・2",81,139.4882,35.58145,1
14137011300,14137,"麻生区No.113","","散布地","川崎市麻生区岡上219ほか","縄文　弥生　古墳　奈良　平安","岡上-10",81,139.4859,35.58105,1
14137011400,14137,"麻生区No.114","岡上廃寺推定地、岡上栗畑遺跡","社寺跡 集落跡","川崎市麻生区岡上794","縄文　弥生　古墳　奈良　平安","岡上-4",82,139.4864,35.57898,1
14137011500,14137,"麻生区No.115","","散布地","川崎市麻生区岡上815","縄文　弥生　古墳　奈良　平安","岡上-5",82,139.4846,35.57673,1
14137011700,14137,"麻生区No.117","","散布地","川崎市麻生区岡上972ほか","縄文　弥生　奈良　平安","岡上-12",82,139.4812,35.575,1
14137011900,14137,"麻生区No.119","","散布地","川崎市麻生区岡上1331ほか","弥生　奈良　平安","栗ヶ谷戸-3",87,139.4761,35.5718,1
14137012100,14137,"麻生区No.121","金程向原遺跡第１地点","集落跡 板碑","川崎市麻生区向原1-3ほか","縄文　奈良　平安","細山-23",79,139.5001,35.61564,1
14137012200,14137,"麻生区No.122","金程向原遺跡第２地点","集落跡","川崎市麻生区金程3-16ほか","縄文　奈良　平安","細山-24",79,139.4995,35.61377,1
14137012300,14137,"麻生区No.123","潮見台遺跡Ｆ・Ｇ地点","散布地","川崎市麻生区百合丘3-21ほか","縄文　奈良　平安","稗原-11",69,139.5186,35.60141,1
14137012400,14137,"麻生区No.124","五力田遺跡","集落跡","川崎市麻生区五カ田278ほか","奈良　平安","五力田-14",79,139.4867,35.60724,1
14137012500,14137,"麻生区No.125","五力田遺跡","集落跡","川崎市麻生区五カ田300ほか","奈良　平安","五力田-15",79,139.4847,35.60791,1
14137012800,14137,"麻生区No.128","王禅寺入口遺跡","散布地","川崎市麻生区王禅寺153ほか","奈良　平安","早野-26",77,139.512,35.57983,1
