"JASID","自治体コード","遺跡番号","遺跡名","種類","所在地","時代","旧市番号","地図","経度","緯度","旧石器"
14132000900,14132,"幸区No.9","","散布地","幸区矢上地","旧石器","夢見ヶ崎-9",37,139.6573559,35.55181432,1
14134006700,14134,"高津区No.67","","散布地","高津区新作1-23","旧石器","宮崎-21",52,139.6082817,35.58732785,1
14136013400,14136,"宮前区No.134","","散布地","川崎市宮前区けやき平9ほか","旧石器","土橋-27",58,139.5706832,35.59125723,1
14135006000,14135,"多摩区No.60","枡形山遺跡","散布地 城館跡","川崎市多摩区枡形6-4740ほか","旧石器　縄文　中世","登戸-8",62,139.5612219,35.6111371,1
14137006800,14137,"麻生区No.68","早野上ノ原遺跡","散布地","川崎市麻生区早野798ほか","旧石器　縄文　弥生　古墳 奈良　平安　中世　近世","早野-7",77,139.5190885,35.57052922,1
