place_id,SiteType,Chronology,Pa,Jo,Ya,Ko,Na,He,Me,site_type_tokens,has_special_site_type_flag,has_special_function_site_type,special_site_type_class
13201017865,窯跡,[平安時代],0,0,0,0,0,1,0,窯跡,TRUE,TRUE,special_function
13201017866,窯跡,[平安時代],0,0,0,0,0,1,0,窯跡,TRUE,TRUE,special_function
13201017867,窯跡,[平安時代],0,0,0,0,0,1,0,窯跡,TRUE,TRUE,special_function
13201017868,窯跡,[平安時代],0,0,0,0,0,1,0,窯跡,TRUE,TRUE,special_function
13201017869,窯跡,[平安時代],0,0,0,0,0,1,0,窯跡,TRUE,TRUE,special_function
13201017870,窯跡,[平安時代],0,0,0,0,0,1,0,窯跡,TRUE,TRUE,special_function
13201017871,窯跡,[平安時代],0,0,0,0,0,1,0,窯跡,TRUE,TRUE,special_function
13201017872,窯跡,[平安時代],0,0,0,0,0,1,0,窯跡,TRUE,TRUE,special_function
13201017873,窯跡,[平安時代],0,0,0,0,0,1,0,窯跡,TRUE,TRUE,special_function
13201020700,集落・窯・その他（工房）,[縄文時代（早期・中期）][平安時代],0,1,0,0,0,1,0,集落;窯;その他（工房）,TRUE,TRUE,special_function
13201036600,集落・城館・その他の墓,[旧石器時代][縄文時代（草創期・前期〜晩期）][古墳時代][奈良時代][平安時代][中世][近世],1,1,0,1,1,1,1,集落;城館;その他の墓,TRUE,TRUE,multiple_special_site_types
13201038200,集落・城館,［旧石器時代］[縄文時代（草創期〜後期）][弥生時代（中期）][奈良時代][平安時代][中世][近世],1,1,1,0,1,1,1,集落;城館,TRUE,TRUE,special_function
13201038900,集落・城館,[旧石器時代][縄文時代（早期〜後期）][古墳時代][奈良時代][平安時代][中世][近世],1,1,0,1,1,1,1,集落;城館,TRUE,TRUE,special_function
13201042500,城館,[縄文時代（前期〜中期）][弥生時代（中期）][奈良時代][平安時代][中世][近世],0,1,1,0,1,1,1,城館,TRUE,TRUE,special_function
13201046500,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13201048500,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13201048600,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13201048700,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13201048900,包蔵地・城館,[弥生時代（中期）][中世][近世],0,0,1,0,0,0,1,包蔵地;城館,TRUE,TRUE,special_function
13201049200,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13201049400,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13201049500,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13201049600,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13201050000,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13201050200,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13201050700,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13201052100,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13201064000,集落・生産遺跡,[縄文時代（早期〜中期）][古墳時代][奈良時代][平安時代][近世],0,1,0,1,1,1,0,集落;生産遺跡,TRUE,TRUE,special_function
13201069500,窯・その他（炭窯）,[平安時代][近世],0,0,0,0,0,1,0,窯;その他（炭窯）,TRUE,TRUE,special_function
13201069600,窯跡,[奈良時代],0,0,0,0,1,0,0,窯跡,TRUE,TRUE,special_function
13201070805,集落・城館,[平安時代][中世][近世],0,0,0,0,0,1,1,集落;城館,TRUE,TRUE,special_function
13201075900,集落・その他（工房）,[旧石器時代][縄文時代（早期〜前期）][平安時代],1,1,0,0,0,1,0,集落;その他（工房）,TRUE,TRUE,special_function
13201076200,集落・その他（工房）,[縄文時代（早期〜中期）][平安時代][中世],0,1,0,0,0,1,1,集落;その他（工房）,TRUE,TRUE,special_function
13201076900,集落・その他（炭窯）,[縄文時代（中期）][古墳時代][平安時代][近世],0,1,0,1,0,1,0,集落;その他（炭窯）,TRUE,TRUE,special_function
