phase_id,phase_code,phase_order,sequence_position,phase_label_ja,phase_label_en
Pa,Pa,1,1,旧石器,Palaeolithic
Jo,Jo,2,2,縄文,Jomon
Ya,Ya,3,3,弥生,Yayoi
Ko,Ko,4,4,古墳,Kofun
Na,Na,5,5,奈良,Nara
He,He,6,6,平安,Heian
Me,Me,7,7,中世,Medieval
