sequence_cluster_id,phase_code,phase_order,n_places,presence_rate,sequence_cluster_label
SC0_no_presence,Pa,1,146,0,SC0_no_presence / none
SC0_no_presence,Jo,2,146,0,SC0_no_presence / none
SC0_no_presence,Ya,3,146,0,SC0_no_presence / none
SC0_no_presence,Ko,4,146,0,SC0_no_presence / none
SC0_no_presence,Na,5,146,0,SC0_no_presence / none
SC0_no_presence,He,6,146,0,SC0_no_presence / none
SC0_no_presence,Me,7,146,0,SC0_no_presence / none
SC1,Pa,1,4361,0.14744324696170602,SC1 / Jo
SC1,Jo,2,4361,0.8819078193074983,SC1 / Jo
SC1,Ya,3,4361,0.1359779867002981,SC1 / Jo
SC1,Ko,4,4361,0.2545287778032561,SC1 / Jo
SC1,Na,5,4361,0.38431552396239393,SC1 / Jo
SC1,He,6,4361,0.4521898647099289,SC1 / Jo
SC1,Me,7,4361,0.17106168310020636,SC1 / Jo
SC2,Pa,1,97,0.5051546391752577,SC2 / Ya
SC2,Jo,2,97,0,SC2 / Ya
SC2,Ya,3,97,0.5257731958762887,SC2 / Ya
SC2,Ko,4,97,0,SC2 / Ya
SC2,Na,5,97,0,SC2 / Ya
SC2,He,6,97,0,SC2 / Ya
SC2,Me,7,97,0,SC2 / Ya
SC3,Pa,1,210,0,SC3 / Me
SC3,Jo,2,210,0,SC3 / Me
SC3,Ya,3,210,0.014285714285714285,SC3 / Me
SC3,Ko,4,210,0,SC3 / Me
SC3,Na,5,210,0,SC3 / Me
SC3,He,6,210,0.06666666666666667,SC3 / Me
SC3,Me,7,210,1,SC3 / Me
SC4,Pa,1,188,0.005319148936170213,SC4 / He
SC4,Jo,2,188,0,SC4 / He
SC4,Ya,3,188,0,SC4 / He
SC4,Ko,4,188,0,SC4 / He
SC4,Na,5,188,0,SC4 / He
SC4,He,6,188,1,SC4 / He
SC4,Me,7,188,0,SC4 / He
SC5,Pa,1,29,0.034482758620689655,SC5 / Na
SC5,Jo,2,29,0,SC5 / Na
SC5,Ya,3,29,0,SC5 / Na
SC5,Ko,4,29,0,SC5 / Na
SC5,Na,5,29,1,SC5 / Na
SC5,He,6,29,0,SC5 / Na
SC5,Me,7,29,0,SC5 / Na
