place_id,gap_id,gap_index,gap_start_phase,gap_end_phase,gap_start_order,gap_end_order,gap_length,between_run_from,between_run_to
13101000900,13101000900_G1,1,Ko,Na,4,5,2,13101000900_R1,13101000900_R2
13101002200,13101002200_G1,1,Na,He,5,6,2,13101002200_R1,13101002200_R2
13101004100,13101004100_G1,1,Na,He,5,6,2,13101004100_R1,13101004100_R2
13101004200,13101004200_G1,1,Ko,He,4,6,3,13101004200_R1,13101004200_R2
13101006000,13101006000_G1,1,Ya,Ya,3,3,1,13101006000_R1,13101006000_R2
13101007100,13101007100_G1,1,Ko,Na,4,5,2,13101007100_R1,13101007100_R2
13103000900,13103000900_G1,1,Ya,Ya,3,3,1,13103000900_R1,13103000900_R2
13103006000,13103006000_G1,1,Na,Na,5,5,1,13103006000_R1,13103006000_R2
13103006400,13103006400_G1,1,Ko,Ko,4,4,1,13103006400_R1,13103006400_R2
13103006700,13103006700_G1,1,Ya,He,3,6,4,13103006700_R1,13103006700_R2
13103011500,13103011500_G1,1,Na,He,5,6,2,13103011500_R1,13103011500_R2
13103013300,13103013300_G1,1,Ya,Ya,3,3,1,13103013300_R1,13103013300_R2
13103022300,13103022300_G1,1,Na,He,5,6,2,13103022300_R1,13103022300_R2
13104000800,13104000800_G1,1,Na,Na,5,5,1,13104000800_R1,13104000800_R2
13104001800,13104001800_G1,1,Na,He,5,6,2,13104001800_R1,13104001800_R2
13104005200,13104005200_G1,1,Ko,Ko,4,4,1,13104005200_R1,13104005200_R2
13104006100,13104006100_G1,1,Ya,Na,3,5,3,13104006100_R1,13104006100_R2
13104006700,13104006700_G1,1,Ya,He,3,6,4,13104006700_R1,13104006700_R2
13104006800,13104006800_G1,1,Na,He,5,6,2,13104006800_R1,13104006800_R2
13104007700,13104007700_G1,1,Ya,Ya,3,3,1,13104007700_R1,13104007700_R2
13104010100,13104010100_G1,1,Na,Na,5,5,1,13104010100_R1,13104010100_R2
13104010300,13104010300_G1,1,Ya,Ko,3,4,2,13104010300_R1,13104010300_R2
13104011500,13104011500_G1,1,Ya,Ya,3,3,1,13104011500_R1,13104011500_R2
13104011500,13104011500_G2,2,Na,He,5,6,2,13104011500_R2,13104011500_R3
13104012400,13104012400_G1,1,Ya,He,3,6,4,13104012400_R1,13104012400_R2
13104012600,13104012600_G1,1,Ya,Ko,3,4,2,13104012600_R1,13104012600_R2
13104012800,13104012800_G1,1,Ya,He,3,6,4,13104012800_R1,13104012800_R2
13104013000,13104013000_G1,1,Ya,Ya,3,3,1,13104013000_R1,13104013000_R2
13104013800,13104013800_G1,1,He,He,6,6,1,13104013800_R1,13104013800_R2
13105000100,13105000100_G1,1,Ya,Ya,3,3,1,13105000100_R1,13105000100_R2
13105000300,13105000300_G1,1,Ya,Ya,3,3,1,13105000300_R1,13105000300_R2
13105000300,13105000300_G2,2,Na,He,5,6,2,13105000300_R2,13105000300_R3
13105000700,13105000700_G1,1,Ya,Ya,3,3,1,13105000700_R1,13105000700_R2
13105002600,13105002600_G1,1,Ko,Ko,4,4,1,13105002600_R1,13105002600_R2
13105003300,13105003300_G1,1,Ko,Ko,4,4,1,13105003300_R1,13105003300_R2
13105004700,13105004700_G1,1,Na,Na,5,5,1,13105004700_R1,13105004700_R2
13105004800,13105004800_G1,1,Na,Na,5,5,1,13105004800_R1,13105004800_R2
13105005000,13105005000_G1,1,Jo,Jo,2,2,1,13105005000_R1,13105005000_R2
13105005900,13105005900_G1,1,Ya,Ko,3,4,2,13105005900_R1,13105005900_R2
13105006000,13105006000_G1,1,Ya,He,3,6,4,13105006000_R1,13105006000_R2
13105006500,13105006500_G1,1,Ya,He,3,6,4,13105006500_R1,13105006500_R2
13105006800,13105006800_G1,1,Ya,Na,3,5,3,13105006800_R1,13105006800_R2
13105006900,13105006900_G1,1,Ya,Ya,3,3,1,13105006900_R1,13105006900_R2
13105007300,13105007300_G1,1,Ko,Ko,4,4,1,13105007300_R1,13105007300_R2
13105007300,13105007300_G2,2,He,He,6,6,1,13105007300_R2,13105007300_R3
13105007400,13105007400_G1,1,Ko,Na,4,5,2,13105007400_R1,13105007400_R2
13105008500,13105008500_G1,1,Ya,Ko,3,4,2,13105008500_R1,13105008500_R2
13105009700,13105009700_G1,1,Ko,Na,4,5,2,13105009700_R1,13105009700_R2
13105010700,13105010700_G1,1,Ya,Ya,3,3,1,13105010700_R1,13105010700_R2
13105011300,13105011300_G1,1,Ya,Ya,3,3,1,13105011300_R1,13105011300_R2
13105011300,13105011300_G2,2,Na,He,5,6,2,13105011300_R2,13105011300_R3
13105011500,13105011500_G1,1,He,He,6,6,1,13105011500_R1,13105011500_R2
13105011800,13105011800_G1,1,Ya,Ya,3,3,1,13105011800_R1,13105011800_R2
13105012300,13105012300_G1,1,Ya,He,3,6,4,13105012300_R1,13105012300_R2
13105012600,13105012600_G1,1,Ko,He,4,6,3,13105012600_R1,13105012600_R2
13105012700,13105012700_G1,1,Ya,Ko,3,4,2,13105012700_R1,13105012700_R2
13105013400,13105013400_G1,1,Ya,Ya,3,3,1,13105013400_R1,13105013400_R2
13105013700,13105013700_G1,1,Jo,Ko,2,4,3,13105013700_R1,13105013700_R2
13106000200,13106000200_G1,1,Ya,Ya,3,3,1,13106000200_R1,13106000200_R2
13106000405,13106000405_G1,1,Ya,Ya,3,3,1,13106000405_R1,13106000405_R2
13106000409,13106000409_G1,1,Ya,Ya,3,3,1,13106000409_R1,13106000409_R2
13106000412,13106000412_G1,1,Ko,Ko,4,4,1,13106000412_R1,13106000412_R2
13106000413,13106000413_G1,1,Ya,Ya,3,3,1,13106000413_R1,13106000413_R2
13106000801,13106000801_G1,1,Ko,Ko,4,4,1,13106000801_R1,13106000801_R2
13106003001,13106003001_G1,1,Ya,Ya,3,3,1,13106003001_R1,13106003001_R2
13106003002,13106003002_G1,1,Ya,Ya,3,3,1,13106003002_R1,13106003002_R2
13106003900,13106003900_G1,1,Ya,Ya,3,3,1,13106003900_R1,13106003900_R2
13106004700,13106004700_G1,1,Ya,Ko,3,4,2,13106004700_R1,13106004700_R2
13106006200,13106006200_G1,1,Ya,Ko,3,4,2,13106006200_R1,13106006200_R2
13106006400,13106006400_G1,1,Ya,Ya,3,3,1,13106006400_R1,13106006400_R2
13106007200,13106007200_G1,1,Ko,Ko,4,4,1,13106007200_R1,13106007200_R2
13106009700,13106009700_G1,1,Ya,Ko,3,4,2,13106009700_R1,13106009700_R2
13106010000,13106010000_G1,1,Ya,Ko,3,4,2,13106010000_R1,13106010000_R2
13109001000,13109001000_G1,1,Ko,He,4,6,3,13109001000_R1,13109001000_R2
13109001300,13109001300_G1,1,Ya,Ya,3,3,1,13109001300_R1,13109001300_R2
13109001400,13109001400_G1,1,Ya,Ya,3,3,1,13109001400_R1,13109001400_R2
13109001500,13109001500_G1,1,Ya,Ya,3,3,1,13109001500_R1,13109001500_R2
13109003000,13109003000_G1,1,Ya,Ya,3,3,1,13109003000_R1,13109003000_R2
13110000100,13110000100_G1,1,Ya,Na,3,5,3,13110000100_R1,13110000100_R2
13110000800,13110000800_G1,1,Na,Na,5,5,1,13110000800_R1,13110000800_R2
13110001500,13110001500_G1,1,Ya,He,3,6,4,13110001500_R1,13110001500_R2
13110002900,13110002900_G1,1,Ya,Na,3,5,3,13110002900_R1,13110002900_R2
13110003300,13110003300_G1,1,Ya,Na,3,5,3,13110003300_R1,13110003300_R2
13110004700,13110004700_G1,1,Na,Na,5,5,1,13110004700_R1,13110004700_R2
13110004900,13110004900_G1,1,Ya,He,3,6,4,13110004900_R1,13110004900_R2
13110005600,13110005600_G1,1,Ya,He,3,6,4,13110005600_R1,13110005600_R2
13110006100,13110006100_G1,1,Ya,He,3,6,4,13110006100_R1,13110006100_R2
13111005700,13111005700_G1,1,Na,Na,5,5,1,13111005700_R1,13111005700_R2
13111007100,13111007100_G1,1,Na,Na,5,5,1,13111007100_R1,13111007100_R2
13111008100,13111008100_G1,1,Na,He,5,6,2,13111008100_R1,13111008100_R2
13111009001,13111009001_G1,1,He,He,6,6,1,13111009001_R1,13111009001_R2
13111009300,13111009300_G1,1,Ko,Ko,4,4,1,13111009300_R1,13111009300_R2
13111010600,13111010600_G1,1,Na,He,5,6,2,13111010600_R1,13111010600_R2
13111017200,13111017200_G1,1,Ya,He,3,6,4,13111017200_R1,13111017200_R2
13111023000,13111023000_G1,1,Ya,Ya,3,3,1,13111023000_R1,13111023000_R2
13112000100,13112000100_G1,1,Ya,Ya,3,3,1,13112000100_R1,13112000100_R2
13112000700,13112000700_G1,1,Ya,Na,3,5,3,13112000700_R1,13112000700_R2
13112000900,13112000900_G1,1,Na,Na,5,5,1,13112000900_R1,13112000900_R2
13112001900,13112001900_G1,1,Na,Na,5,5,1,13112001900_R1,13112001900_R2
13112002300,13112002300_G1,1,Ya,Ya,3,3,1,13112002300_R1,13112002300_R2
13112002900,13112002900_G1,1,Ya,Ya,3,3,1,13112002900_R1,13112002900_R2
13112003200,13112003200_G1,1,Ya,Ya,3,3,1,13112003200_R1,13112003200_R2
13112003700,13112003700_G1,1,Na,He,5,6,2,13112003700_R1,13112003700_R2
13112003800,13112003800_G1,1,Ya,Ya,3,3,1,13112003800_R1,13112003800_R2
13112004500,13112004500_G1,1,Jo,Ya,2,3,2,13112004500_R1,13112004500_R2
13112004800,13112004800_G1,1,He,He,6,6,1,13112004800_R1,13112004800_R2
13112005300,13112005300_G1,1,Ya,He,3,6,4,13112005300_R1,13112005300_R2
13112005400,13112005400_G1,1,Ya,Ya,3,3,1,13112005400_R1,13112005400_R2
13112005800,13112005800_G1,1,Ya,He,3,6,4,13112005800_R1,13112005800_R2
13112008500,13112008500_G1,1,Ya,Ya,3,3,1,13112008500_R1,13112008500_R2
13112008500,13112008500_G2,2,Na,He,5,6,2,13112008500_R2,13112008500_R3
13112008600,13112008600_G1,1,Na,Na,5,5,1,13112008600_R1,13112008600_R2
13112011200,13112011200_G1,1,Na,He,5,6,2,13112011200_R1,13112011200_R2
13112012100,13112012100_G1,1,Ya,Ya,3,3,1,13112012100_R1,13112012100_R2
13112012100,13112012100_G2,2,Na,He,5,6,2,13112012100_R2,13112012100_R3
13112012300,13112012300_G1,1,Ya,He,3,6,4,13112012300_R1,13112012300_R2
13112013800,13112013800_G1,1,Na,He,5,6,2,13112013800_R1,13112013800_R2
13112014300,13112014300_G1,1,Ko,Na,4,5,2,13112014300_R1,13112014300_R2
13112015400,13112015400_G1,1,Ya,Ya,3,3,1,13112015400_R1,13112015400_R2
13112015500,13112015500_G1,1,Ya,Ya,3,3,1,13112015500_R1,13112015500_R2
13112016500,13112016500_G1,1,Ya,Ya,3,3,1,13112016500_R1,13112016500_R2
13112016800,13112016800_G1,1,Ya,Ya,3,3,1,13112016800_R1,13112016800_R2
13112016800,13112016800_G2,2,Na,He,5,6,2,13112016800_R2,13112016800_R3
13112018800,13112018800_G1,1,Ya,Ya,3,3,1,13112018800_R1,13112018800_R2
13112018800,13112018800_G2,2,Na,He,5,6,2,13112018800_R2,13112018800_R3
13112019000,13112019000_G1,1,Ya,Ya,3,3,1,13112019000_R1,13112019000_R2
13112020100,13112020100_G1,1,Ya,Ya,3,3,1,13112020100_R1,13112020100_R2
13112020300,13112020300_G1,1,Ya,Ya,3,3,1,13112020300_R1,13112020300_R2
13112021500,13112021500_G1,1,Ya,Ya,3,3,1,13112021500_R1,13112021500_R2
13112023500,13112023500_G1,1,Ya,Ya,3,3,1,13112023500_R1,13112023500_R2
13112023800,13112023800_G1,1,Ya,He,3,6,4,13112023800_R1,13112023800_R2
