place_id,gap_id,gap_index,gap_start_phase,gap_end_phase,gap_start_order,gap_end_order,gap_length,between_run_from,between_run_to
13112024200,13112024200_G1,1,Ya,Ya,3,3,1,13112024200_R1,13112024200_R2
13112024600,13112024600_G1,1,Ya,Ko,3,4,2,13112024600_R1,13112024600_R2
13112024700,13112024700_G1,1,Ya,Ya,3,3,1,13112024700_R1,13112024700_R2
13112024800,13112024800_G1,1,Ya,Ya,3,3,1,13112024800_R1,13112024800_R2
13112024800,13112024800_G2,2,Na,He,5,6,2,13112024800_R2,13112024800_R3
13112025000,13112025000_G1,1,Ya,Ya,3,3,1,13112025000_R1,13112025000_R2
13112025800,13112025800_G1,1,Ya,Ya,3,3,1,13112025800_R1,13112025800_R2
13112026400,13112026400_G1,1,Ya,Ya,3,3,1,13112026400_R1,13112026400_R2
13112026500,13112026500_G1,1,Jo,Ya,2,3,2,13112026500_R1,13112026500_R2
13112027400,13112027400_G1,1,Ya,Ko,3,4,2,13112027400_R1,13112027400_R2
13112027800,13112027800_G1,1,Ya,He,3,6,4,13112027800_R1,13112027800_R2
13112028000,13112028000_G1,1,Ya,Ya,3,3,1,13112028000_R1,13112028000_R2
13112028100,13112028100_G1,1,Ya,Ko,3,4,2,13112028100_R1,13112028100_R2
13112028700,13112028700_G1,1,Ya,Ya,3,3,1,13112028700_R1,13112028700_R2
13112029600,13112029600_G1,1,Na,He,5,6,2,13112029600_R1,13112029600_R2
13112029700,13112029700_G1,1,Ya,Ya,3,3,1,13112029700_R1,13112029700_R2
13112029700,13112029700_G2,2,Na,He,5,6,2,13112029700_R2,13112029700_R3
13112032200,13112032200_G1,1,Ya,Ya,3,3,1,13112032200_R1,13112032200_R2
13112032500,13112032500_G1,1,Ya,Ya,3,3,1,13112032500_R1,13112032500_R2
13112032600,13112032600_G1,1,Ya,He,3,6,4,13112032600_R1,13112032600_R2
13113000200,13113000200_G1,1,Ya,Ya,3,3,1,13113000200_R1,13113000200_R2
13113002600,13113002600_G1,1,Ko,Ko,4,4,1,13113002600_R1,13113002600_R2
13113005200,13113005200_G1,1,Jo,Jo,2,2,1,13113005200_R1,13113005200_R2
13113005800,13113005800_G1,1,Na,Na,5,5,1,13113005800_R1,13113005800_R2
13113009400,13113009400_G1,1,Ya,Ya,3,3,1,13113009400_R1,13113009400_R2
13113009600,13113009600_G1,1,Ko,He,4,6,3,13113009600_R1,13113009600_R2
13113009700,13113009700_G1,1,Ya,Ya,3,3,1,13113009700_R1,13113009700_R2
13114003600,13114003600_G1,1,Ya,Ya,3,3,1,13114003600_R1,13114003600_R2
13114004400,13114004400_G1,1,Ko,He,4,6,3,13114004400_R1,13114004400_R2
13114007500,13114007500_G1,1,Ko,Ko,4,4,1,13114007500_R1,13114007500_R2
13114008200,13114008200_G1,1,Ya,Ya,3,3,1,13114008200_R1,13114008200_R2
13114008400,13114008400_G1,1,Ya,Ya,3,3,1,13114008400_R1,13114008400_R2
13114009900,13114009900_G1,1,Ya,He,3,6,4,13114009900_R1,13114009900_R2
13115000300,13115000300_G1,1,Ya,Ya,3,3,1,13115000300_R1,13115000300_R2
13115000400,13115000400_G1,1,Ya,Ya,3,3,1,13115000400_R1,13115000400_R2
13115001400,13115001400_G1,1,Ya,Ya,3,3,1,13115001400_R1,13115001400_R2
13115001800,13115001800_G1,1,Ya,Ya,3,3,1,13115001800_R1,13115001800_R2
13115002400,13115002400_G1,1,Ya,Ya,3,3,1,13115002400_R1,13115002400_R2
13115002500,13115002500_G1,1,Ya,Ya,3,3,1,13115002500_R1,13115002500_R2
13115003100,13115003100_G1,1,Ya,Na,3,5,3,13115003100_R1,13115003100_R2
13115003700,13115003700_G1,1,Ya,Ya,3,3,1,13115003700_R1,13115003700_R2
13115004400,13115004400_G1,1,Ya,Ya,3,3,1,13115004400_R1,13115004400_R2
13115004600,13115004600_G1,1,Ya,Ya,3,3,1,13115004600_R1,13115004600_R2
13115004700,13115004700_G1,1,Na,He,5,6,2,13115004700_R1,13115004700_R2
13115004800,13115004800_G1,1,Ya,Ya,3,3,1,13115004800_R1,13115004800_R2
13115004900,13115004900_G1,1,Ya,Ya,3,3,1,13115004900_R1,13115004900_R2
13115005600,13115005600_G1,1,Jo,Ya,2,3,2,13115005600_R1,13115005600_R2
13115006300,13115006300_G1,1,Ya,Na,3,5,3,13115006300_R1,13115006300_R2
13115006600,13115006600_G1,1,Ya,Ya,3,3,1,13115006600_R1,13115006600_R2
13115006800,13115006800_G1,1,Na,Na,5,5,1,13115006800_R1,13115006800_R2
13115007100,13115007100_G1,1,Ya,Ya,3,3,1,13115007100_R1,13115007100_R2
13115007200,13115007200_G1,1,Na,He,5,6,2,13115007200_R1,13115007200_R2
13115007600,13115007600_G1,1,Ya,He,3,6,4,13115007600_R1,13115007600_R2
13115007800,13115007800_G1,1,Ya,Ya,3,3,1,13115007800_R1,13115007800_R2
13115007800,13115007800_G2,2,Na,He,5,6,2,13115007800_R2,13115007800_R3
13115008000,13115008000_G1,1,Ya,Ya,3,3,1,13115008000_R1,13115008000_R2
13115008300,13115008300_G1,1,Ya,He,3,6,4,13115008300_R1,13115008300_R2
13115008400,13115008400_G1,1,Ya,Ya,3,3,1,13115008400_R1,13115008400_R2
13115009100,13115009100_G1,1,Ya,Ko,3,4,2,13115009100_R1,13115009100_R2
13115009200,13115009200_G1,1,Ya,Ya,3,3,1,13115009200_R1,13115009200_R2
13115011000,13115011000_G1,1,Ya,Ya,3,3,1,13115011000_R1,13115011000_R2
13115011000,13115011000_G2,2,Na,He,5,6,2,13115011000_R2,13115011000_R3
13115011200,13115011200_G1,1,Ya,Ya,3,3,1,13115011200_R1,13115011200_R2
13115011500,13115011500_G1,1,Ya,Ya,3,3,1,13115011500_R1,13115011500_R2
13115011900,13115011900_G1,1,Ya,Ya,3,3,1,13115011900_R1,13115011900_R2
13115012400,13115012400_G1,1,Ya,Ya,3,3,1,13115012400_R1,13115012400_R2
13115012400,13115012400_G2,2,Na,He,5,6,2,13115012400_R2,13115012400_R3
13115014000,13115014000_G1,1,Ya,Ko,3,4,2,13115014000_R1,13115014000_R2
13115014300,13115014300_G1,1,Ya,Ko,3,4,2,13115014300_R1,13115014300_R2
13115015100,13115015100_G1,1,Ya,Ya,3,3,1,13115015100_R1,13115015100_R2
13115015500,13115015500_G1,1,Ya,Ko,3,4,2,13115015500_R1,13115015500_R2
13115016000,13115016000_G1,1,Ya,Ya,3,3,1,13115016000_R1,13115016000_R2
13115016500,13115016500_G1,1,Ya,Ya,3,3,1,13115016500_R1,13115016500_R2
13115016600,13115016600_G1,1,Ya,Ko,3,4,2,13115016600_R1,13115016600_R2
13115016700,13115016700_G1,1,Ya,Ya,3,3,1,13115016700_R1,13115016700_R2
13115016800,13115016800_G1,1,Ya,Ya,3,3,1,13115016800_R1,13115016800_R2
13115017100,13115017100_G1,1,Ya,Ya,3,3,1,13115017100_R1,13115017100_R2
13115017300,13115017300_G1,1,Ya,Ya,3,3,1,13115017300_R1,13115017300_R2
13115017400,13115017400_G1,1,Na,He,5,6,2,13115017400_R1,13115017400_R2
13115017600,13115017600_G1,1,Na,He,5,6,2,13115017600_R1,13115017600_R2
13115018000,13115018000_G1,1,Ya,Ya,3,3,1,13115018000_R1,13115018000_R2
13115018000,13115018000_G2,2,Na,He,5,6,2,13115018000_R2,13115018000_R3
13115018500,13115018500_G1,1,Ko,He,4,6,3,13115018500_R1,13115018500_R2
13116000100,13116000100_G1,1,Ko,Na,4,5,2,13116000100_R1,13116000100_R2
13116000200,13116000200_G1,1,Ya,Ya,3,3,1,13116000200_R1,13116000200_R2
13116000500,13116000500_G1,1,Na,He,5,6,2,13116000500_R1,13116000500_R2
13116000700,13116000700_G1,1,Ya,Ya,3,3,1,13116000700_R1,13116000700_R2
13116001100,13116001100_G1,1,Ya,Na,3,5,3,13116001100_R1,13116001100_R2
13116001200,13116001200_G1,1,Ya,Na,3,5,3,13116001200_R1,13116001200_R2
13116001600,13116001600_G1,1,Ya,Ya,3,3,1,13116001600_R1,13116001600_R2
13117000100,13117000100_G1,1,Ko,Na,4,5,2,13117000100_R1,13117000100_R2
13117000900,13117000900_G1,1,Ko,Ko,4,4,1,13117000900_R1,13117000900_R2
13117001200,13117001200_G1,1,Ya,Na,3,5,3,13117001200_R1,13117001200_R2
13117001500,13117001500_G1,1,He,He,6,6,1,13117001500_R1,13117001500_R2
13117002500,13117002500_G1,1,Ya,Ya,3,3,1,13117002500_R1,13117002500_R2
13117003900,13117003900_G1,1,Ya,Ya,3,3,1,13117003900_R1,13117003900_R2
13117004700,13117004700_G1,1,Ko,Ko,4,4,1,13117004700_R1,13117004700_R2
13117004800,13117004800_G1,1,Ya,Ya,3,3,1,13117004800_R1,13117004800_R2
13117004800,13117004800_G2,2,Na,He,5,6,2,13117004800_R2,13117004800_R3
13117005000,13117005000_G1,1,Ya,Na,3,5,3,13117005000_R1,13117005000_R2
13118000400,13118000400_G1,1,Ko,Ko,4,4,1,13118000400_R1,13118000400_R2
13118001100,13118001100_G1,1,Ko,Ko,4,4,1,13118001100_R1,13118001100_R2
13119000700,13119000700_G1,1,Na,Na,5,5,1,13119000700_R1,13119000700_R2
13119001300,13119001300_G1,1,Ya,Ya,3,3,1,13119001300_R1,13119001300_R2
13119001400,13119001400_G1,1,Ko,Ko,4,4,1,13119001400_R1,13119001400_R2
13119001600,13119001600_G1,1,Ya,Ya,3,3,1,13119001600_R1,13119001600_R2
13119001600,13119001600_G2,2,Na,Na,5,5,1,13119001600_R2,13119001600_R3
13119001700,13119001700_G1,1,Ya,Ya,3,3,1,13119001700_R1,13119001700_R2
13119002300,13119002300_G1,1,Ya,He,3,6,4,13119002300_R1,13119002300_R2
13119002800,13119002800_G1,1,Na,He,5,6,2,13119002800_R1,13119002800_R2
13119003400,13119003400_G1,1,Na,He,5,6,2,13119003400_R1,13119003400_R2
13119003500,13119003500_G1,1,Na,Na,5,5,1,13119003500_R1,13119003500_R2
13119003800,13119003800_G1,1,Na,Na,5,5,1,13119003800_R1,13119003800_R2
13119004100,13119004100_G1,1,Na,Na,5,5,1,13119004100_R1,13119004100_R2
13119005200,13119005200_G1,1,Na,He,5,6,2,13119005200_R1,13119005200_R2
13119005600,13119005600_G1,1,Na,Na,5,5,1,13119005600_R1,13119005600_R2
13119006600,13119006600_G1,1,Na,Na,5,5,1,13119006600_R1,13119006600_R2
13119007100,13119007100_G1,1,Ko,Ko,4,4,1,13119007100_R1,13119007100_R2
13119007500,13119007500_G1,1,Ya,Ya,3,3,1,13119007500_R1,13119007500_R2
13119007600,13119007600_G1,1,Ya,Na,3,5,3,13119007600_R1,13119007600_R2
13119009800,13119009800_G1,1,Ya,Ya,3,3,1,13119009800_R1,13119009800_R2
13119010600,13119010600_G1,1,Na,Na,5,5,1,13119010600_R1,13119010600_R2
13119010800,13119010800_G1,1,Ya,Na,3,5,3,13119010800_R1,13119010800_R2
13119011300,13119011300_G1,1,Ko,Na,4,5,2,13119011300_R1,13119011300_R2
13119011800,13119011800_G1,1,Jo,Jo,2,2,1,13119011800_R1,13119011800_R2
13119012200,13119012200_G1,1,Ko,Ko,4,4,1,13119012200_R1,13119012200_R2
13119012600,13119012600_G1,1,Ya,Ya,3,3,1,13119012600_R1,13119012600_R2
13119012800,13119012800_G1,1,Ya,Ya,3,3,1,13119012800_R1,13119012800_R2
13119013400,13119013400_G1,1,Na,Na,5,5,1,13119013400_R1,13119013400_R2
13119017000,13119017000_G1,1,Ya,Ya,3,3,1,13119017000_R1,13119017000_R2
13119017000,13119017000_G2,2,Na,He,5,6,2,13119017000_R2,13119017000_R3
13119017200,13119017200_G1,1,Ko,Ko,4,4,1,13119017200_R1,13119017200_R2
13120000200,13120000200_G1,1,Ya,Ko,3,4,2,13120000200_R1,13120000200_R2
13120000300,13120000300_G1,1,Ya,Ko,3,4,2,13120000300_R1,13120000300_R2
13120000400,13120000400_G1,1,Ya,He,3,6,4,13120000400_R1,13120000400_R2
13120000700,13120000700_G1,1,Ko,Na,4,5,2,13120000700_R1,13120000700_R2
13120002000,13120002000_G1,1,Ko,Ko,4,4,1,13120002000_R1,13120002000_R2
13120003800,13120003800_G1,1,Ya,He,3,6,4,13120003800_R1,13120003800_R2
13120004500,13120004500_G1,1,Ko,He,4,6,3,13120004500_R1,13120004500_R2
13120005000,13120005000_G1,1,Ya,Ya,3,3,1,13120005000_R1,13120005000_R2
13120006400,13120006400_G1,1,Na,He,5,6,2,13120006400_R1,13120006400_R2
13120008600,13120008600_G1,1,Ya,Ya,3,3,1,13120008600_R1,13120008600_R2
13120008800,13120008800_G1,1,Ya,Ya,3,3,1,13120008800_R1,13120008800_R2
13120009100,13120009100_G1,1,Ko,Ko,4,4,1,13120009100_R1,13120009100_R2
13120009800,13120009800_G1,1,Ko,Ko,4,4,1,13120009800_R1,13120009800_R2
13120010800,13120010800_G1,1,Na,Na,5,5,1,13120010800_R1,13120010800_R2
13120012000,13120012000_G1,1,Ya,Ya,3,3,1,13120012000_R1,13120012000_R2
13120012900,13120012900_G1,1,Ko,Ko,4,4,1,13120012900_R1,13120012900_R2
13120014300,13120014300_G1,1,Na,Na,5,5,1,13120014300_R1,13120014300_R2
13120014800,13120014800_G1,1,Ya,He,3,6,4,13120014800_R1,13120014800_R2
13120015200,13120015200_G1,1,Ya,Ya,3,3,1,13120015200_R1,13120015200_R2
13120015400,13120015400_G1,1,Ya,Ya,3,3,1,13120015400_R1,13120015400_R2
13121000200,13121000200_G1,1,He,He,6,6,1,13121000200_R1,13121000200_R2
13121001300,13121001300_G1,1,Ya,Ya,3,3,1,13121001300_R1,13121001300_R2
13122000100,13122000100_G1,1,Ko,Ko,4,4,1,13122000100_R1,13122000100_R2
13122000800,13122000800_G1,1,Ko,Ko,4,4,1,13122000800_R1,13122000800_R2
13201001600,13201001600_G1,1,Ya,Ya,3,3,1,13201001600_R1,13201001600_R2
13201001700,13201001700_G1,1,Ya,Ya,3,3,1,13201001700_R1,13201001700_R2
13201001900,13201001900_G1,1,Ya,Ko,3,4,2,13201001900_R1,13201001900_R2
13201002000,13201002000_G1,1,Ya,Ya,3,3,1,13201002000_R1,13201002000_R2
13201002200,13201002200_G1,1,Ya,Ya,3,3,1,13201002200_R1,13201002200_R2
13201002300,13201002300_G1,1,Ya,Ya,3,3,1,13201002300_R1,13201002300_R2
13201002500,13201002500_G1,1,Ya,Ya,3,3,1,13201002500_R1,13201002500_R2
13201002600,13201002600_G1,1,Ya,Ya,3,3,1,13201002600_R1,13201002600_R2
13201002700,13201002700_G1,1,Na,Na,5,5,1,13201002700_R1,13201002700_R2
13201003200,13201003200_G1,1,Ya,Ya,3,3,1,13201003200_R1,13201003200_R2
13201003200,13201003200_G2,2,Na,Na,5,5,1,13201003200_R2,13201003200_R3
13201003400,13201003400_G1,1,Na,Na,5,5,1,13201003400_R1,13201003400_R2
13201003500,13201003500_G1,1,Ya,Na,3,5,3,13201003500_R1,13201003500_R2
13201003600,13201003600_G1,1,Ya,Na,3,5,3,13201003600_R1,13201003600_R2
13201003800,13201003800_G1,1,Ya,Ya,3,3,1,13201003800_R1,13201003800_R2
13201003800,13201003800_G2,2,Na,Na,5,5,1,13201003800_R2,13201003800_R3
13201004000,13201004000_G1,1,Ya,Na,3,5,3,13201004000_R1,13201004000_R2
13201004100,13201004100_G1,1,Ko,Na,4,5,2,13201004100_R1,13201004100_R2
13201004200,13201004200_G1,1,Ya,He,3,6,4,13201004200_R1,13201004200_R2
13201004500,13201004500_G1,1,Ya,Ko,3,4,2,13201004500_R1,13201004500_R2
13201004600,13201004600_G1,1,Ya,Ya,3,3,1,13201004600_R1,13201004600_R2
13201004600,13201004600_G2,2,Na,Na,5,5,1,13201004600_R2,13201004600_R3
13201004700,13201004700_G1,1,Ya,Na,3,5,3,13201004700_R1,13201004700_R2
13201004900,13201004900_G1,1,Ya,Na,3,5,3,13201004900_R1,13201004900_R2
13201005300,13201005300_G1,1,Ya,He,3,6,4,13201005300_R1,13201005300_R2
13201005600,13201005600_G1,1,Ya,Ya,3,3,1,13201005600_R1,13201005600_R2
13201005600,13201005600_G2,2,Na,Na,5,5,1,13201005600_R2,13201005600_R3
