phase_code,phase_order,phase_label_ja,n_places,presence_count,apparent_absence_count,presence_rate
Pa,1,旧石器,5628,694,4934,0.12331201137171287
Jo,2,縄文,5628,3846,1782,0.6833688699360341
Ya,3,弥生,5628,647,4981,0.11496090973702915
Ko,4,古墳,5628,1639,3989,0.2912224591329069
Na,5,奈良,5628,1705,3923,0.3029495380241649
He,6,平安,5628,2174,3454,0.3862828713574982
Me,7,中世,5628,1024,4604,0.18194740582800284
