metric,n_points,moran_i,expectation,variance,statistic,p_value
continuity_index,5030,0.20713467452574436,-1.9884668920262477e-4,4.163061580301114e-5,32.13387544684745,7.418857483252667e-227
longest_run_length,5030,0.1807562014635625,-1.9884668920262477e-4,4.160929045853367e-5,28.052756899953764,1.848443794656284e-173
gap_count,5030,0.18214966827386,-1.9884668920262477e-4,4.1650588870961944e-5,28.25476228382203,6.219759513200194e-176
max_gap_length,5030,0.15638839190987938,-1.9884668920262477e-4,4.164364105334574e-5,24.26509624411841,2.2909017238121306e-130
intermittency_index,5030,0.15256965975121664,-1.9884668920262477e-4,4.165068935910285e-5,23.671334136136963,3.5592204885862337e-124
