special_site_type_class,has_special_function_site_type,n_rows
kofun_mortuary,FALSE,149
mound_burial_or_isolated,FALSE,45
mound_burial_or_isolated,TRUE,1
multiple_special_site_types,FALSE,63
multiple_special_site_types,TRUE,6
special_function,TRUE,228
