place_id,phase_code,presence,phase_order,next_phase_code,next_phase_order,next_presence,transition,phase_pair,phase_pair_order
13101002200,He,0,6,Me,7,1,new,He->Me,6
13101003000,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13101003000,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
13101003000,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13101003000,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101003000,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101003000,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101004100,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13101004100,Jo,1,2,Ya,3,1,continue,Jo->Ya,2
13101004100,Ya,1,3,Ko,4,1,continue,Ya->Ko,3
13101004100,Ko,1,4,Na,5,0,drop,Ko->Na,4
13101004100,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101004100,He,0,6,Me,7,1,new,He->Me,6
13101004200,Pa,1,1,Jo,2,1,continue,Pa->Jo,1
13101004200,Jo,1,2,Ya,3,1,continue,Jo->Ya,2
13101004200,Ya,1,3,Ko,4,0,drop,Ya->Ko,3
13101004200,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101004200,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101004200,He,0,6,Me,7,1,new,He->Me,6
13101004500,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13101004500,Jo,0,2,Ya,3,1,new,Jo->Ya,2
13101004500,Ya,1,3,Ko,4,0,drop,Ya->Ko,3
13101004500,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101004500,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101004500,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101004900,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13101004900,Jo,1,2,Ya,3,1,continue,Jo->Ya,2
13101004900,Ya,1,3,Ko,4,0,drop,Ya->Ko,3
13101004900,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101004900,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101004900,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101005100,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13101005100,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
13101005100,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13101005100,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101005100,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101005100,He,0,6,Me,7,1,new,He->Me,6
13101005200,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13101005200,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
13101005200,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13101005200,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101005200,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101005200,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101005300,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13101005300,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
13101005300,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13101005300,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101005300,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101005300,He,0,6,Me,7,1,new,He->Me,6
13101005500,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13101005500,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13101005500,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13101005500,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101005500,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101005500,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101005600,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13101005600,Jo,1,2,Ya,3,1,continue,Jo->Ya,2
13101005600,Ya,1,3,Ko,4,0,drop,Ya->Ko,3
13101005600,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101005600,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101005600,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101005700,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13101005700,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13101005700,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13101005700,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101005700,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101005700,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101005800,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13101005800,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13101005800,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13101005800,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101005800,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101005800,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101006000,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13101006000,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13101006000,Ya,0,3,Ko,4,1,new,Ya->Ko,3
13101006000,Ko,1,4,Na,5,1,continue,Ko->Na,4
13101006000,Na,1,5,He,6,1,continue,Na->He,5
13101006000,He,1,6,Me,7,0,drop,He->Me,6
13101006500,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13101006500,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13101006500,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13101006500,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101006500,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101006500,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101006600,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13101006600,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
13101006600,Ya,0,3,Ko,4,1,new,Ya->Ko,3
13101006600,Ko,1,4,Na,5,0,drop,Ko->Na,4
13101006600,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101006600,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101007100,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13101007100,Jo,1,2,Ya,3,1,continue,Jo->Ya,2
13101007100,Ya,1,3,Ko,4,0,drop,Ya->Ko,3
13101007100,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101007100,Na,0,5,He,6,1,new,Na->He,5
13101007100,He,1,6,Me,7,0,drop,He->Me,6
13101007500,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13101007500,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
13101007500,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13101007500,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101007500,Na,0,5,He,6,1,new,Na->He,5
13101007500,He,1,6,Me,7,0,drop,He->Me,6
13101007800,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13101007800,Jo,0,2,Ya,3,1,new,Jo->Ya,2
13101007800,Ya,1,3,Ko,4,0,drop,Ya->Ko,3
13101007800,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101007800,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101007800,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101009400,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13101009400,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
13101009400,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13101009400,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101009400,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101009400,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101009800,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13101009800,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
13101009800,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13101009800,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101009800,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101009800,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101009900,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13101009900,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13101009900,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13101009900,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101009900,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101009900,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101010200,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13101010200,Jo,1,2,Ya,3,1,continue,Jo->Ya,2
13101010200,Ya,1,3,Ko,4,0,drop,Ya->Ko,3
13101010200,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101010200,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101010200,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13102000100,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13102000100,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13102000100,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13102000100,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13102000100,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13102000100,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13102000200,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13102000200,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
13102000200,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13102000200,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13102000200,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13102000200,He,0,6,Me,7,1,new,He->Me,6
13102000300,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13102000300,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
13102000300,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13102000300,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13102000300,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13102000300,He,0,6,Me,7,1,new,He->Me,6
13102001200,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
