ID,都道府県,遺跡群名,遺跡名,地点地区名,文化層石器文化,遺跡群名読み方,遺跡名読み方,地点区名読み方,所在地,緯度,Latitude,経度,Longitude,測地系,標高,ナイフ形石器,台形（様）石器,斧形石器,剥片尖頭器,角錐状石器三稜尖頭器,槍先形尖頭器,両面調整石器,細石刃細石核等,神子柴型石斧,有茎（舌）尖頭器,掻器削器,彫器,砥石,叩石,台石,礫器,その他の石器,草創期土器,ブロック･ユニット,礫群配石,炭化物集中,その他の遺構,特記事項,文献,調査歴,作成年月日,作成者,更新年月日,更新者
90303 ,栃木県,,上林遺跡,,第２文化層,,Kami-bayashi,,佐野市高萩町,361801 ,36.300278 ,1393623 ,139.600833 ,世界,23 ,○,○,○,,,,,,,,○,,○,○,○,,石核・ドリル・楔形石器,,64,,,,日本最大の環状ブロック,中村紀男1979i/出居博1998a,発掘調査,20060630,芹澤清八・谷中　隆・津野田陽介,,
90304 ,栃木県,,四ツ道北遺跡,第１次,,,Yo-tu-michi-kita,First survey,佐野市高萩町,361755 ,36.284722 ,1393544 ,139.584444 ,世界,24 ,○,○,,,,,,,,,○,,,,,,石核,,,,,,８点が散在的に出土,出居博1998b/出居博ほか2000,発掘調査,20060630,芹澤清八・谷中　隆・津野田陽介,,
100004 ,群馬県,,今井三騎堂遺跡,,第Ⅳ文化層　AT下,,Imai-sankido,Layer 4,前橋市東大室町　　　　　　　　　　　　　　　　　　　　　　伊勢崎市赤堀今井町,362305 ,36.384722 ,1391218 ,139.202222 ,世界,149 ,○,○,○,,,,,,,,○,,,○,,,石核/剥片/砕片/礫/礫片,,○,○,,,環状ブロック群,群馬県埋蔵文化財調査事業団2004a,発掘調査,20080731,勢藤力,,
100008 ,群馬県,,今井見切塚遺跡,,第Ⅳ文化層　AT下,,Imai-mikirizuka,Layer 4,前橋市東大室町　　　　　　　　　　　　　　　　　　　　　　伊勢崎市赤堀今井町,362251 ,36.366944 ,1391213 ,139.200833 ,世界,147 ,○,○,○,,,,,,,,○,○,○,○,○,,楔形石器/石刃/石核/剥片/砕片/削片/礫/礫片,,○,○,,,環状ブロック群,群馬県埋蔵文化財調査事業団2007b,発掘調査,20080803,勢藤力,,
100025 ,群馬県,,荒砥北三木堂Ⅱ遺跡,,第Ⅲ文化層,,Arato-kitasankidou,Layer 3,前橋市今井町,362217 ,36.368611 ,1390907 ,139.151944 ,世界,90 ,○,○,○,,,,,,,,,,,,,,石核/剥片/砕片,,○,,,,環状ブロック群,群馬県埋蔵文化財調査事業団2008b,発掘調査,20080623,阿久澤智和・麻生敏隆,,
100036 ,群馬県,,今井道上道下Ⅱ遺跡,,第Ⅱ文化層,,Imai-mitiuemichisita-2,Layer 2,前橋市今井町,362211 ,36.366944 ,1390911 ,139.150278 ,世界,88 ,,○,○,,,,,,,,,,,○,,,石刃/石核/剥片/砕片,,○,,,,,群馬県埋蔵文化財調査事業団2008b,発掘調査,20080623,阿久澤智和・麻生敏隆,,
100039 ,群馬県,内堀遺跡群,内堀遺跡,,,uchibori,Uchibori,,前橋市西大室町,362316 ,36.385000 ,1391133 ,139.184167 ,世界,125 ,○,○,○,,,,,,,,○,○,,○,,,石核/石刃/剥片/砕片,,○,,,,,前原豊1998,発掘調査,20080706,阿久澤智和・麻生敏隆,,
100078 ,群馬県,,富田漆田遺跡,,,,Tomita-urushida,,前橋市富田町,362328 ,36.385556 ,1390830 ,139.133333 ,世界,120 ,,○,,,,,,,,,,○,,,,,石核/剥片/砕片,,○,,,,,群馬県埋蔵文化財調査事業団2008b,発掘調査,20080623,阿久澤智和・麻生敏隆,,
100080 ,群馬県,,富田西原遺跡,,,,Tomita-nishihara,,前橋市富田町,362323 ,36.384167 ,1390834 ,139.134444 ,世界,100 ,○,○,,,,,,,,,○,○,,○,,,削片/楔形石器/石刃/石核/剥片/砕片,,○,,,,,群馬県埋蔵文化財調査事業団2008b,発掘調査,20080623,阿久澤智和・麻生敏隆,,
100097 ,群馬県,,二之宮千足遺跡,,第Ⅱ文化層,,Ninomiya-senzoku,Layer 2,前橋市二之宮町,362151 ,36.350278 ,1390946 ,139.151667 ,世界,85 ,,○,,,,,,,,,,,,,,,石核/剥片/砕片,,○,,,風倒木?,,群馬県埋蔵文化財調査事業団1992b,発掘調査,20080706,阿久澤智和・麻生敏隆,,
100109 ,群馬県,長根遺跡群,折茂Ⅲ遺跡,,,nagane,Orimo-Ⅲ,,高崎市吉井町長根,361452 ,36.233889 ,1385816 ,138.968333 ,世界,162 ,○,○,,,,,,,,,,,,○,,,,,○,,,環状ブロック群,,吉井町教育委員会2005,発掘調査,20081010,軽部達也･中島誠,,
100115 ,群馬県,,多比良追部野遺跡,,,,Taira-oppeno,,高崎市吉井町多比良字追部野,361435 ,36.234722 ,1390010 ,139.000000 ,世界,147 ,○,○,,,,,,,,,○,,,○,○,,○,,○,,,,,群馬県埋蔵文化財調査事業団1997b,発掘調査,20081010,軽部達也･中島誠,,
100118 ,群馬県,,矢田遺跡,,,,Yata,,高崎市吉井町矢田,361438 ,36.235556 ,1385934 ,138.984444 ,世界,150 ,,○,,,,,,,,,○,,,○,○,,○,,○,,,,,群馬県埋蔵文化財調査事業団1993d,発掘調査,20081010,軽部達也･中島誠,,
100128 ,群馬県,,三ッ子沢中遺跡,,,,Mitugosawa-naka,,高崎市榛名町三ッ子沢,362232 ,36.367222 ,1385516 ,138.918333 ,世界,207 ,○,○,○,,,,,,,,○,,,○,○,,○,,○,,,,,群馬県埋蔵文化財調査事業団2000a,発掘調査,20081010,軽部達也･中島誠,,
100154 ,群馬県,,山上城跡,Ⅸ次調査,,,Yamakamijouato,9th survey,桐生市新里町山上字本町,362533 ,36.417500 ,1391339 ,139.219167 ,世界,204 ,○,,○,,,,,,,,,,,,,,,,,,,,単独で槍先形尖頭器,新里村教育委員会2005,発掘調査,20081010,小菅将夫,,
100158 ,群馬県,,武井遺跡,寄居山地区,Ⅰ石器文化,,Takei,Loc. Yoriiyama Layer 1,桐生市新里町武井字内出東,362430 ,36.400000 ,1391418 ,139.235556 ,世界,160 ,○,○,,,,,,,,,,,,,,,,,,,,,暗色帯,杉原荘介1977,発掘調査,20081010,小菅将夫,,
100160 ,群馬県,,武井遺跡,内出東地区,下層,,Takei,Loc. Utidehigasi Lower-layer,桐生市新里町武井字内出東,362429 ,36.402500 ,1391415 ,139.234722 ,世界,160 ,○,○,○,,,,,,,,,,,,,,,,○,○,,,暗色帯,岩宿フォーラム実行委員会2000,発掘調査,20081010,小菅将夫,,
100176 ,群馬県,,十二社遺跡,,第Ⅰ文化層,,Junisou,Layer 1,桐生市新里町野字十二社,362354 ,36.384444 ,1391407 ,139.235278 ,世界,140 ,○,○,○,,,,,,,,,,,,,,石刃,,○,,,,,加部二生・小菅将夫1992,発掘調査,20081010,小菅将夫,,
100196 ,群馬県,,天ヶ堤遺跡,,第3文化層　AT下,,Amagatsutsumi,Layer 3,伊勢崎市三和町,362109 ,36.352500 ,1391339 ,139.219167 ,世界,88 ,○,○,○,,,,,,,,○,○,,○,,,石核/剥片/砕片/礫,,○,,,,環状ブロック群,群馬県埋蔵文化財調査事業団2008c,発掘調査,20080801,勢藤力,,
100204 ,群馬県,,大上遺跡,,第3文化層　AT下,,Oｈgami,Layer 3,伊勢崎市上田町,362108 ,36.352222 ,1391348 ,139.218889 ,世界,88 ,○,○,,,,,,,,,○,○,,○,○,○,楔形石器/石刃/石核/剥片/砕片/削片/礫,,○,○,,,,群馬県埋蔵文化財調査事業団2008d,発掘調査,20080801,勢藤力,,
100205 ,群馬県,,大上遺跡,,第4文化層　AT下,,Oｈgami,Layer 4,伊勢崎市上田町,362108 ,36.352222 ,1391348 ,139.218889 ,世界,88 ,○,○,○,,,,,,,,○,○,,○,○,,楔形石器/石核/剥片/砕片/礫,,○,,,,環状ブロック群,群馬県埋蔵文化財調査事業団2008d,発掘調査,20080801,勢藤力,,
100210 ,群馬県,,書上遺跡,,第4文化層　ＡＴ下,,Kakiage,Layer 4,伊勢崎市三和町,362111 ,36.350278 ,1391333 ,139.217500 ,世界,88 ,○,○,,,,,,,,,,,,,,,剥片,,,,,,,群馬県埋蔵文化財調査事業団2008e,発掘調査,20080810,勢藤力,,
100213 ,群馬県,,書上本山遺跡,,AT下,,Kakiage-honzan,,伊勢崎市三和町,362051 ,36.333611 ,1391318 ,139.218889 ,世界,83 ,○,○,,,,,,,,,,,,,○,,石刃/石核/剥片/砕片,,○,,,,,群馬県埋蔵文化財調査事業団1992c,発掘調査,20080731,勢藤力,,
100228 ,群馬県,,権現山遺跡,第3地点,BP上,,Gongenyama,Loc. 3,伊勢崎市豊城町,361954 ,36.317778 ,1391314 ,139.217778 ,世界,75 ,△,,△,,,,,,,,△,,,,,,石核/剥片,,,,,,石器は現在所在不明,相沢忠洋･関矢晃1988,採集資料,20080823,勢藤力,,
100232 ,群馬県,,三和工業団地Ⅰ遺跡,,第4文化層　ＡＴ下,,Sanwa-kogyodanchi-1,Layer 4,伊勢崎市三和町,362116 ,36.351667 ,1391323 ,139.217500 ,世界,88 ,○,○,○,,,,,,,,○,○,,○,,,楔形石器/石刃/石核/剥片/砕片/礫/礫片,,○,○,○,,環状ブロック群,群馬県埋蔵文化財調査事業団1999a,発掘調査,20080731,勢藤力,,
100234 ,群馬県,,三和工業団地Ⅲ遺跡,,ＡＴ下,,Sanwa-kogyodanchi-3,,伊勢崎市三和町,362116 ,36.351667 ,1391323 ,139.217500 ,世界,84 ,○,○,,,,,,,,,○,,,,,○,石刃/石核/剥片,,○,,,,,伊勢崎市教育委員会2004c,発掘調査,20080823,勢藤力,,
100242 ,群馬県,,下触牛伏遺跡,,第Ⅱ文化層　ＡＴ下,,Shimofure-ushibuse,Layer 2,伊勢崎市下触町,362156 ,36.351667 ,1391125 ,139.184722 ,世界,96 ,○,○,○,,,,,,,,○,○,,○,,,石核/剥片/砕片,,○,○,,,環状ブロック群,群馬県埋蔵文化財調査事業団1986a,発掘調査,20080810,勢藤力,,
100261 ,群馬県,,八寸長溝遺跡,,ＡＴ下,,Hachisu-nagamizo,,伊勢崎市日乃出町,361909 ,36.319167 ,1391358 ,139.218889 ,世界,62 ,,○,,,,,,,,,,,,○,,,石核/剥片/砕片/礫片,,○,,,,,群馬県埋蔵文化財調査事業団2001b,発掘調査,20080731,勢藤力,,
100307 ,群馬県,,細谷合ノ谷遺跡,1区,6層（暗色帯）,,Hosoya-ainoya,Loc. 1,太田市細谷町（旧字合ノ谷）,361613 ,36.267500 ,1392110 ,139.350000 ,世界,35 ,,○,,,,,,,,,,,,,,,,,,,,遺構なし,,群馬県埋蔵文化財調査事業団2007f,発掘調査,20080728,中村渉,,
100339 ,群馬県,,薮塚遺跡,,「岩宿相当層」,,Ｙabutuka,,太田市藪塚町（旧字台山）,362228 ,36.368889 ,1391843 ,139.300833 ,世界,137 ,○,○,,,,,,,,,,,,,,,石核/剥片,,,,,遺構なし,,杉原荘介1955/須藤隆司1986,発掘調査,20080728,中村渉,,
100372 ,群馬県,,北町遺跡,第2文化層,,,Kitamathi,Layer 2,渋川市北橘町八崎,362917 ,36.485278 ,1390131 ,139.016944 ,世界,200 ,,○,,,,,,,,,○,,,○,,,剥片/石核　,,,,,,,北橘村教育委員会1996,発掘調査,20081010,後藤佳一,,
