"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","遺構","主な出土品","経度","緯度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明","色"
13101004900,13101,"49","いちばんちょういせき","一番町遺跡","千代田区 一番町","[縄文時代][弥生時代][近世]","武家屋敷","[縄文時代]土坑　[弥生時代]方形周溝墓　[近世]建物　土坑　地下室　井戸","縄文土器　弥生土器　陶磁器　瓦　金属製品",139.739685,35.68690979,"0","縄文","弥生","0","0","0","0","近世","0","orange"
13103006000,13103,"60","いさらごかいづかいせき","伊皿子貝塚遺跡","港区 三田四丁目","[縄文時代（後期）][弥生時代][古墳時代][平安時代][近世]","集落・貝塚・社寺","[縄文時代]住居　土坑　[弥生時代]方形周溝墓　[古墳時代]住居　[平安時代]住居 [近世]礎石　溝状遺構　石垣","縄文土器　弥生土器　土師器　土製品　石製品　貝製品　牛骨　魚骨　陶磁器",139.739954,35.64150056,"0","縄文","弥生","古墳","0","平安","0","近世","0","orange"
13104000200,13104,"2","おちあいいせき","落合遺跡","新宿区 中落合四丁目　 中井一丁目　 中井二丁目","[旧石器時代][縄文時代（早期?後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落・屋敷","[旧石器時代]礫群　[縄文時代]竪穴住居　土坑　炉跡　集石　土器焼成坑　ピット　[弥生時代]竪穴住居　掘立柱建物跡　方形周溝墓　[古墳時代]住居　[奈良時代][平安時代]掘立柱建物　竪穴住居跡　土坑　[近世]杭列　焼土　溝状遺構　ピット　[時期不明]建物　住居　ピット　溝","石器　ナイフ形石器　石核　剥片　砕片　縄文土器　打斧　石槍　石鏃　石核　弥生土器　石包丁　土師器　須恵器　鉄製品　陶磁器　刀子　砥石　坏",139.6805457,35.71627471,"旧石器","縄文","弥生","古墳","奈良","平安","0","近世","0","orange"
13104004900,13104,"49","しもとつかいせき","下戸塚遺跡","新宿区 西早稲田一丁目　 西早稲田三丁目","[旧石器時代][縄文時代（草創期?後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・屋敷","[旧石器時代]石器ブロック　礫群　[縄文時代]土坑　集石遺構　土坑　炉穴　陥坑　[弥生時代]竪穴式住居　環壕　方形周溝墓　土坑　[古墳時代]竪穴式住居跡　土坑　方形周溝墓　円墳　[奈良時代]竪穴式住居　土坑　掘立柱建物跡　溝　[中世]掘立柱建物跡　柵列　井戸　地下式坑　土坑　溝　方形周溝状区画溝　[近世]建物跡　柵列　地下室　井戸　土坑　溝状遺構　竪穴状遺構　畝状遺構　ピット","剥片　礫　縄文土器　石器　弥生土器　ガラス製小玉　青銅製品　土製勾玉　蓑玉　炭化米　金属製品　石製有孔円板　滑石製管玉　石製品　鉄製品　ガラス製品　ベンガラ塊　土師器　須恵器　灰釉　緑釉陶器　砥石　土製品　鉄器　墨書土器　磁器　陶器　瓦器　中世土器　埋納銭貨　青磁　土製品　瓦　木製品　近世土器",139.7169465,35.71088671,"旧石器","縄文","弥生","古墳","奈良","平安","中世","近世","0","orange"
13104008000,13104,"80","にしわせださんちょうめいせき","西早稲田三丁目遺跡","新宿区 西早稲田三丁目 高田馬場二丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][近世]","包蔵地・集落・屋敷","[旧石器時代]石器ブロック 礫群 [縄文時代]集石 集石土坑 住居跡 [弥生時代]竪穴住居跡 [弥生時代][古墳時代]住居跡 掘立柱建物跡 方形周溝墓 溝状遺構 土坑 [古墳時代]住居跡 掘立柱建物跡 土坑 竪穴式住居跡 [近世]地下室 溝状遺構 土坑","石器 礫 縄文土器 弥生土器 ガラス製品 壷棺 鉄釧 土師器 須恵器 土製品 石製品 鉄製品 古墳土器 磁器 陶器 金属製品 骨製品 木製品 せっ器 近世土器",139.7115907,35.71294957,"旧石器","縄文","弥生","古墳","0","0","0","近世","0","orange"
13104010700,13104,"107","きたしんじゅくにちょうめいせき","北新宿二丁目遺跡","新宿区 北新宿一丁目 北新宿二丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代]","包蔵地・集落","[旧石器時代]礫群 石器集中部 [縄文時代]炉穴 埋甕 土坑 竪穴住居跡 柱穴 根穴 [弥生時代]竪穴住居跡 炉穴 柱穴 土坑 方形周溝墓 溝跡 住居跡 [弥生～古墳時代]竪穴住居跡 掘立柱建物跡 [古墳時代]竪穴住居跡 [近世]柱穴","ナイフ形石器 石核 剥片 石器 自然遺物 縄文土器 石器 弥生土器 土製品 石製品（砥石） 銅製品（銅釧） 土師器 磁器 陶器 ?器 土器 瓦 金属製品 ガラス玉 銭貨",139.6900837,35.70114116,"旧石器","縄文","弥生","古墳","0","0","0","0","0","orange"
13104013800,13104,"138","しろがねちょうにしいせき","白銀町西遺跡","新宿区 白銀町 赤城元町","[縄文時代][弥生時代（後期）][古墳時代][奈良時代][中世][近世]","集落・屋敷","[弥生時代]～[古墳時代]住居跡 溝状遺構 方形周溝墓 土坑 [奈良時代]住居跡 [近世]地下室 土坑 井戸 溝 柱穴 甕棺 蔵骨器","弥生土器 土師器 須恵器 磁器 陶器 ?器 近世土器 瓦 土製品 金属製品 骨角製品 石製品 古墳土器",139.7374699,35.70457764,"0","縄文","弥生","古墳","奈良","0","中世","近世","0","orange"
13111007300,13111,"73","さんのういせき・さんのういせきないよこあなぼぐん","山王遺跡・山王遺跡内横穴墓群","大田区 山王二丁目　 山王三丁目","[弥生時代（中期～後期）][古墳時代][奈良時代]","集落・貝塚・横穴墓","[弥生時代]環濠　住居　方形周溝墓　[古墳時代]住居　[奈良時代]横穴墓3基　[時期不明]地下式土坑","弥生土器　石器　土師器　須恵器　鉄鏃　刀子　直刀　人骨",139.7252696,35.58752753,"0","0","弥生","古墳","奈良","0","0","0","0","orange"
13111009001,13111,"90-1","こうみょうじいせき","光明寺遺跡","大田区 鵜の木一丁目","[旧石器時代][縄文時代（早期）][弥生時代][古墳時代][奈良時代][中世][近世]","集落・その他（墓地）","[旧石器時代]石器集中　礫群　[縄文時代]陥し穴　[弥生時代]住居　方形周溝墓　[中世][近世]竪穴状遺構　墓地　集石土坑　集石","石器　礫　縄文土器　弥生土器　陶磁器　蔵骨器　板碑",139.684314,35.57385397,"旧石器","縄文","弥生","古墳","奈良","0","中世","近世","0","orange"
13111017300,13111,"173","とりつでんえんちょうふこうとうがっこうないいせき","都立田園調布高等学校内遺跡","大田区 田園調布南","[縄文時代（前期][弥生時代（後期）]","集落","[縄文時代]土坑　[弥生時代]住居　集石炉　貯蔵穴　柱穴　配石　方形周溝墓","縄文土器　打斧　磨斧　礫器　石槍　石鏃　石錐　楔形石器　石皿　磨石　土製円板　孔雀石製装飾品　真珠　弥生土器　敲石　玉類",139.6765192,35.58252941,"0","縄文","弥生","0","0","0","0","0","0","orange"
