"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","遺構","主な出土品","経度","緯度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明","色"
13104002000,13104,"20","わかばいっちょうめいせき","若葉一丁目遺跡","新宿区 若葉一丁目","[縄文時代][近世]","貝塚・屋敷","[近世]地下室　大型土坑　土坑　小穴","磁器　陶器　せっ器　土器　瓦　土製品　金属製品　ガラス製品　石製品",139.7274147,35.68253764,"0","縄文","0","0","0","0","0","近世","0","purple"
13105000300,13105,"3","おおつかさんちょうめいせき","大塚三丁目遺跡","文京区 大塚三丁目","[縄文時代][古墳時代][中世][近世]","包蔵地・貝塚?・屋敷・その他（村）","[縄文時代]土坑　[中世]溝　[近世]地下室　井戸　土坑　柱穴列　礎石列など","（縄文）土器・石器　（古墳）土師器・須恵器　（中世）?b器・土製品・板碑　（近世）陶磁器・?b器・土器・土製品・瓦・金属製品・石製品など",139.7373743,35.7204176,"0","縄文","0","古墳","0","0","中世","近世","0","purple"
13105000800,13105,"8","","文京区No.8遺跡","文京区 小日向四丁目","[縄文時代]","貝塚","","",139.7390566,35.71556745,"0","縄文","0","0","0","0","0","0","0","purple"
13105001100,13105,"11","でんづういんうらかいづか","伝通院裏貝塚","文京区 小石川三丁目","[縄文時代][弥生時代][古墳時代][近世]","包蔵地・集落・貝塚?・社寺・屋敷","[弥生時代]?[古墳時代]堅穴住居跡　土坑　ピット　[近世]地下室　土坑　井戸　溝　焼土集中部　小穴","（縄文?古代）土器　（古墳）土師器　（近世）陶磁器・?b器・土器・土製品・瓦・木製品",139.7466784,35.71247324,"0","縄文","弥生","古墳","0","0","0","近世","0","purple"
13105001200,13105,"12","ひさかたちょういせき","久堅町遺跡","文京区 小石川四丁目","[縄文時代][近世]","貝塚・屋敷","[近世]土坑　地下式土坑　井戸","縄文土器　打斧　陶磁器　瓦　金属器",139.7437945,35.71328165,"0","縄文","0","0","0","0","0","近世","0","purple"
13105001400,13105,"14","どうざかいせき","動坂遺跡","文京区 本駒込三丁目　本駒込四丁目","[旧石器時代][縄文時代（中期?晩期）][弥生時代][近世]","包蔵地・集落・貝塚・屋敷","[縄文時代]貝塚　堅穴住居跡　集石跡　土坑　溝　[近世]地下室　溝　柱穴","（縄文）土器・石器（打製石器・磨製石器・石鏃・石皿・）　（弥生）土器　（近世）陶磁器・土器・瓦・金属製品・土製品・石製品など",139.7560854,35.72972681,"旧石器","縄文","弥生","0","0","0","0","近世","0","purple"
13105002100,13105,"21","こいしかわしょくぶつえんないかいづか・はらまちいせき","小石川植物園内貝塚・原町遺跡","文京区 白山三丁目　白山四丁目","[旧石器時代][縄文時代（中期?晩期）][近世]","包蔵地・集落・貝塚・屋敷跡","[縄文時代]竪穴住居跡　土坑　集石　ピット　[近世]土坑　地下室　ピット　地下坑　井戸　溝　塀跡　かわらけ廃棄遺構","(旧石器)石器　(縄文)土器　石器（打斧　磨斧　石槍　石鏃　石匙　石皿　凹石　石棒　石剣）　土偶　(近世)陶磁器　土器　土製品　瓦　金属製品　石製品　銭貨　動物遺体　自然遺物",139.7455797,35.7204176,"旧石器","縄文","0","0","0","0","0","近世","0","purple"
13105002200,13105,"22","はらまちいせき","原町遺跡","文京区 白山四丁目","[縄文時代][近世]","貝塚・屋敷","[近世]土坑　植栽痕　ピット","縄文式土器　（近世）陶磁器・?b器・土器",139.7455454,35.72312128,"0","縄文","0","0","0","0","0","近世","0","purple"
13105002500,13105,"25","せんだぎかいづか","千駄木貝塚","文京区 千駄木一丁目","[旧石器時代][縄文時代][弥生時代（後期）][近世]","集落・貝塚・その他の墓・屋敷","[縄文時代]炉　土坑　住居　集石　炉　廃屋跡　[弥生時代]住居","（縄文）土器・石器・石製品・人骨　（弥生）土器　（近）陶磁器",139.758987,35.722748,"旧石器","縄文","弥生","0","0","0","0","近世","0","purple"
13105002800,13105,"28","やよいちょういせきぐん","弥生町遺跡群","文京区 弥生二丁目　根津一丁目","[縄文時代][弥生時代][近世]","貝塚","","",139.7641535,35.71590195,"0","縄文","弥生","0","0","0","0","近世","0","purple"
13105002801,13105,"28-101","やよいちょうかいづか","弥生町貝塚","文京区 弥生二丁目","[縄文時代][弥生時代]","貝塚","","縄文土器　打斧　磨斧　石鏃　土製耳飾　石棒　弥生土器",139.7618189,35.7184943,"0","縄文","弥生","0","0","0","0","0","0","purple"
13105002802,13105,"28-102","やよいちょうあさのていかいづか","弥生町浅野邸貝塚","文京区 根津一丁目","[縄文時代（後期?晩期）]","貝塚","","縄文土器　石斧　石鏃　耳飾　独鈷石　土版",139.7631579,35.71749082,"0","縄文","0","0","0","0","0","0","0","purple"
13105002803,13105,"28-103","やよいにちょうめいせき","弥生二丁目遺跡","文京区 弥生二丁目","[縄文時代（早期?晩期）][弥生時代][近世]","貝塚","※一部、国指定史跡弥生二丁目遺跡となっています。 [弥生時代]溝","縄文土器　弥生土器　燈明皿　砥石　灼骨",139.7645655,35.7167382,"0","縄文","弥生","0","0","0","0","近世","0","purple"
