itemId,ISEKI_NO,TYPE,ERA,x,y,name,layerId,layerName,mapId,orgGeomType,source_first_seen,source_level,source_hits
432,80,散布地,縄文、奈良～平安,139.32963118404277,35.60142177080892,80,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
431,82,散布地,縄文、奈良～平安,139.32752945513923,35.59919743558231,82,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
427,84,集落跡,縄文、奈良～平安,139.31772339518426,35.597633785166614,84,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
424,86,散布地,縄文、奈良～平安,139.31552037633318,35.59510332330262,86,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
423,87,散布地,縄文、奈良～平安,139.31705369710883,35.59082934433178,87,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
426,89,散布地,縄文、古墳、奈良～平安,139.3247568409952,35.59262582986765,89,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
418,92,散布地,縄文、古墳、奈良～平安,139.3150502641007,35.58310465806657,92,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
421,97,散布地,縄文,139.32148456828335,35.585895298442416,97,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
415,100,散布地,縄文、古墳、奈良～平安,139.3226794754904,35.57940369694477,100,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
416,110,散布地,縄文、古墳、奈良～平安,139.33133745783118,35.5763905372839,110,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
393,112,集落跡,旧石器、縄文、奈良～平安、近世,139.3430126222388,35.572304748977984,112,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
389,121,散布地,旧石器、縄文、奈良～平安、近世,139.35532080436772,35.5646839832356,121,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
369,127,散布地,縄文、中世,139.36092142870322,35.55828359920651,127,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
367,129,散布地,縄文,139.35615714425174,35.55691212369689,129,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
363,131,散布地,旧石器、縄文,139.35169911545017,35.55626812189339,131,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
401,135,散布地,旧石器、縄文、奈良～平安,139.3693108033294,35.55361293909252,135,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
245,145,集落跡,縄文、古墳、奈良～平安,139.3398461909998,35.54407174634028,145,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
243,147,散布地,縄文,139.33979241542733,35.53916450302679,147,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
259,150,散布地,縄文,139.35339548199377,35.543496626293766,150,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
356,152,散布地,縄文,139.35833552089125,35.54757276988893,152,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
360,154,集落跡,縄文,139.36155041785184,35.54793420230371,154,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
361,155,集落跡,縄文、奈良～平安、近世,139.36381082386885,35.54946786972523,155,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
262,157,散布地,縄文,139.36374781952816,35.542444867206065,157,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
399,160,散布地,縄文,139.3702509730125,35.55033421635156,160,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
400,161,集落跡,縄文,139.37314735325143,35.55010945746684,161,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
396,163,散布地,縄文,139.37089096660284,35.545484214825535,163,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
397,165,散布地,旧石器、奈良～平安,139.37833153574394,35.544195525717875,165,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
297,170,散布地,縄文,139.37332313980883,35.541553166026546,170,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
298,171,散布地,旧石器,139.3708426304511,35.5408163897485,171,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
291,172,散布地,縄文,139.37388142488854,35.539046411327774,172,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
293,173,散布地,縄文、弥生,139.37537923545327,35.539522003729004,173,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
287,176,散布地,縄文、奈良～平安,139.37150177422308,35.53596098581899,176,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
261,177,散布地,縄文、奈良～平安,139.36657588682624,35.537660453438335,177,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
260,178,散布地,旧石器、縄文,139.35629451090173,35.53832353557242,178,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
256,182,散布地,縄文,139.35603441324469,35.53544422480581,182,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
257,183,集落跡,旧石器、縄文、奈良～平安,139.35947032876683,35.535297792025624,183,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
251,185,集落跡,旧石器、縄文、古墳、奈良～平安、中世、近世,139.359074357203,35.52926221630979,185,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
240,186-2,古墳,古墳,139.36085076450937,35.5281757814911,186-2,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
