itemId,ISEKI_NO,SiteName,TYPE,ERA,x,y,name,layerId,layerName,mapId,orgGeomType,source_first_seen,source_level,source_hits
467,42-6,,横穴墓,古墳,139.42636532366600,35.55185586780780,42-6,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,33
470,43,,集落跡,旧石器、縄文、古墳、奈良～平安、中世、近世,139.42260453979800,35.5552938962473,43,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3228,13,17
469,44,,集落跡,旧石器、縄文、奈良～平安、中世、近世,139.42264064019900,35.557603973339800,44,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,33
471,45,,集落跡,縄文、古墳、奈良～平安,139.42201531722600,35.55894420478580,45,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,37
402,46,,散布地,縄文、古墳、奈良～平安,139.41700972565700,35.55827802518060,46,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3228,13,17
405,47,,集落跡,旧石器、縄文、奈良～平安,139.41765197345200,35.56071604500370,47,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,16
407,48,,散布地,縄文、古墳、奈良～平安,139.4142606398680,35.563787014906000,48,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,18
404,49,,散布地,縄文、古墳、奈良～平安,139.41321081960300,35.561740530858000,49,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,18
406,50,,散布地,縄文、奈良～平安,139.4088218338350,35.564956534385100,50,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,16
410,51,,集落跡,縄文、古墳、奈良～平安,139.4083739197000,35.568341636711800,51,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3227,13,44
403,52,,塚,近世,139.40134407452600,35.56504070691280,52,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,35
409,53,,散布地,縄文、古墳、奈良～平安,139.40434398613600,35.57118168269590,53,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3227,13,33
449,54,,散布地、集落跡,旧石器、縄文、古墳、奈良～平安、中世、近世,139.40731898867900,35.57431397310900,54,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3227,13,35
408,55,,城館跡,中世,139.40742532517700,35.57238653246940,55,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3227,13,37
450,56,,散布地,旧石器、奈良～平安,139.40128266942400,35.575407903919100,56,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3227,13,39
448,57,,散布地,旧石器、奈良～平安,139.40042349969800,35.57490510305530,57,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3227,13,33
447,58,,集落跡,旧石器、縄文、古墳、奈良～平安,139.39868664537600,35.576723061780200,58,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3227,13,39
452,59,,散布地,縄文、古墳、奈良～平安、中世、近世,139.40041313962800,35.578872425379000,59,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3227,13,35
451,60,,塚,中世,139.3997875286880,35.57863799356100,60,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3227,13,39
455,61,,集落跡,旧石器、縄文、古墳、奈良～平安,139.39783138755700,35.58125096137550,61,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3227,13,37
454,62,,散布地,弥生,139.39886331421700,35.58298214412220,62,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3227,13,33
442,63,,集落跡,縄文、古墳、奈良～平安、中世、近世,139.3915747531010,35.583335487275300,63,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,35
443,64,,城館跡,中世,139.39284401757900,35.5837787507462,64,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,37
446,65,,散布地,縄文、古墳、奈良～平安,139.38844425484500,35.5867544343805,65,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,35
445,66,,散布地,縄文,139.38797030428600,35.585667624282300,66,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,35
444,67,,横穴墓,古墳,139.38643707504200,35.58744971830290,67,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,35
456,68,,集落跡、その他の遺跡（狩場）,縄文、弥生、古墳、奈良～平安,139.37412769948100,35.5914737908541,68,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,35
457,69,,散布地,縄文、古墳、奈良～平安,139.36853194652300,35.59192670734940,69,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,35
441,70,,散布地,古墳、奈良～平安,139.36681175798700,35.59630823963270,70,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,35
436,71,,散布地,古墳、奈良～平安,139.3670570249470,35.594161502286000,71,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,35
435,72,,集落跡,旧石器、縄文、古墳、奈良～平安、中世、近世,139.36131307615600,35.59528170615100,72,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,35
440,73,,散布地,奈良～平安,139.36211984900400,35.59861429087550,73,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,37
439,74,,散布地,縄文、古墳、奈良～平安,139.3578362189370,35.598226754226000,74,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,35
434,75,,散布地,古墳、奈良～平安,139.3548728268930,35.59378957326120,75,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,35
438,76,,散布地,旧石器、縄文、古墳、奈良～平安、近世,139.35265240538900,35.598960449844400,76,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,35
437,77,,散布地,縄文、古墳、奈良～平安,139.34541026485400,35.60017964674890,77,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3227,13,37
561,78,,散布地,縄文、奈良～平安,139.3425535044670,35.60264597642610,78,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,18
433,79,,集落跡　（市登録史跡　元橋本遺跡）,旧石器、縄文、奈良～平安、中近世,139.33685746140600,35.60196849236380,79,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3226,13,44
432,80,,散布地,縄文、奈良～平安,139.32963118404300,35.60142177080890,80,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
430,81,,散布地,奈良～平安,139.33158170965200,35.59860046777570,81,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3227,13,19
431,82,,散布地,縄文、奈良～平安,139.32752945513900,35.59919743558230,82,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
429,83,,集落跡,旧石器、縄文、古墳、奈良～平安、中世、近世,139.32000299326900,35.601791618778200,83,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3226,13,45
427,84,,集落跡,縄文、奈良～平安,139.31772339518400,35.597633785166600,84,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
428,85,,散布地,縄文、古墳、奈良～平安,139.3232738301580,35.597451002837200,85,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3227,13,37
424,86,,散布地,縄文、奈良～平安,139.31552037633300,35.59510332330260,86,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
423,87,,散布地,縄文、奈良～平安,139.31705369710900,35.59082934433180,87,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
425,88,,散布地,奈良～平安,139.3215100209550,35.59209063697790,88,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3227,13,37
426,89,,散布地,縄文、古墳、奈良～平安,139.3247568409950,35.59262582986770,89,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
172,90,,散布地,縄文、奈良～平安,139.30535693465500,35.58504925188300,90,0,埋蔵文化財包蔵地,13-36,polygon,u7264_v3227,13,42
173,91,,散布地,奈良～平安,139.31072903992500,35.58608022561560,91,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3227,13,37
418,92,,散布地,縄文、古墳、奈良～平安,139.3150502641010,35.58310465806660,92,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
170,93,,集落跡,旧石器、縄文、古墳、奈良～平安、近世,139.3082830842650,35.58175117097060,93,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3227,13,37
413,94,,散布地,縄文、奈良～平安,139.3165113496730,35.5799754162323,94,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3227,13,19
163,95,,集落跡,縄文、奈良～平安,139.3123036616100,35.57819010597120,95,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3227,13,23
411,96,,散布地,奈良～平安,139.3160794116480,35.57667165186750,96,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3227,13,37
421,97,,散布地,縄文,139.32148456828300,35.585895298442400,97,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
422,98,,散布地,縄文、奈良～平安,139.32952805894300,35.58281677264080,98,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,18
419,99,,散布地,縄文,139.32344418181700,35.58208367425250,99,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,20
415,100,,散布地,縄文、古墳、奈良～平安,139.3226794754900,35.57940369694480,100,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
414,101,,散布地,縄文、奈良～平安,139.3245670709980,35.57723344019070,101,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3227,13,37
412,102,,散布地,縄文、奈良～平安,139.32055322043100,35.57513101515480,102,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3227,13,19
377,103,,散布地,縄文、奈良～平安,139.3237789456510,35.571315526171700,103,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3227,13,37
378,104,,散布地,縄文,139.32092531829900,35.569795729561100,104,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3227,13,37
376,105,,散布地,縄文,139.31919323017700,35.568641997084800,105,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,21
375,106,,集落跡,縄文、奈良～平安,139.32582210061600,35.56298889070400,106,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,21
373,107,,集落跡,縄文　奈良～平安,139.32480256395500,35.5610844766231,107,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3228,13,37
350,108,,散布地、集落跡,縄文、奈良～平安,139.3267895368370,35.55489298866620,108,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3228,13,16
354,109,,散布地,縄文、奈良～平安,139.32884793565700,35.55465865818820,109,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3228,13,18
416,110,,散布地,縄文、古墳、奈良～平安,139.33133745783100,35.5763905372839,110,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
417,111,,集落跡,旧石器、縄文、奈良～平安,139.3367120744970,35.575825276887200,111,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,22
393,112,,集落跡,旧石器、縄文、奈良～平安、近世,139.3430126222390,35.572304748978000,112,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
394,113,,散布地,旧石器,139.34738519805300,35.57128139909880,113,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3227,13,18
391,114,,散布地,縄文、弥生、奈良～平安、近世,139.3431519889380,35.5692383620295,114,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3227,13,46
392,115,,散布地,縄文、奈良～平安,139.34922158575000,35.56810992189840,115,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3227,13,37
383,116,,散布地,縄文、弥生、古墳、奈良～平安、中世,139.3479349145770,35.56582672874510,116,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,21
381,117,,散布地,縄文、中世～近世,139.34571820571800,35.56423176203550,117,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,21
382,118,,集落跡,縄文、奈良～平安、中世,139.350963309641,35.56563522870050,118,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,19
384,119,,集落跡,旧石器、縄文、奈良～平安,139.3503701430710,35.56490030688380,119,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3228,13,40
379,120,,集落跡,旧石器、縄文、奈良～平安、近世,139.34887367037400,35.562435762409100,120,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3228,13,16
389,121,,散布地,旧石器、縄文、奈良～平安、近世,139.35532080436800,35.5646839832356,121,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
390,122,,散布地,縄文、奈良～平安,139.35403188707600,35.564142093077900,122,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,35
385,123,,集落跡,旧石器、縄文、奈良～平安,139.35578359027300,35.56099506466530,123,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,35
